,FOOT\foot1_001.txt,FOOT\foot2_001.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,Item Set,Dynamic EQ,Trade Key,Expire,Prefix,
White Racing Shoes,FOOT\foot1_F0729.txt,FOOT\foot2_F0729.txt,6,153,0,0,2,10,3098,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO735
Heart Snowboard Boots,FOOT\foot1_F0730.txt,FOOT\foot2_F0730.txt,6,153,1000,0,2,23,2668,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO736
Chinese Dress Shoes,FOOT\foot1_F0731.txt,FOOT\foot2_F0731.txt,6,153,1000,0,2,10,3102,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO737
Blue Racing Shoes,FOOT\foot1_F0732.txt,FOOT\foot2_F0732.txt,6,153,0,0,2,10,3098,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO738
Astronaut Shoes,FOOT\foot1_F0733.txt,FOOT\foot2_F0733.txt,6,153,1000,0,2,10,3107,244,579,,,,,,,,,,,,,,,,,,50,,1,1,65,,,,,,LFOO739
Alien Shoes,FOOT\foot1_F0734.txt,FOOT\foot2_F0734.txt,6,153,1000,0,2,10,3111,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO740
Pink Racing Shoes,FOOT\foot1_F0735.txt,FOOT\foot2_F0735.txt,6,153,0,0,2,10,3098,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO741
Bunny Slippers,FOOT\bunnyslip.txt,FOOT\bunnyslip.txt,,153,1550,0,2,10,660,244,579,,,,,,,,,,,,,,,,,,55,,10,10,85,,,,,,LFOO742
GM Shoes,FOOT\gmshoes.txt,FOOT\gmshoes.txt,6,153,1550,0,2,10,3098,244,579,,,,,,,,,,,,,,,,,,120,,5000,5000,100,,,,,,LFOO743
Winter Walker Feet,FOOT\foot1_devil.txt,FOOT\foot2_devil.txt,6,153,1000,0,2,23,4864,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO744
Light Blue Santa Boots,FOOT\foot1_F07150.txt,FOOT\foot2_F07150.txt,6,153,1000,0,3,10,2657,236,579,,,,,,,,,,,,,,,,,,50,,10,10,85,,,,,,LFOO745
Winter Snowboard Boots,FOOT\foot1_20800.txt,FOOT\foot2_20800.txt,6,153,1000,0,2,23,7732,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO746
Comfy Slippers,FOOT\steampunk_dress_m_foot_red_0907_cr.txt,FOOT\steampunk_dress_f_foot_red_0907_cr.txt,6,153,0,0,2,10,3114,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO747
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina Cleats,FOOT\foot1_wc_argentine.txt,FOOT\foot2_wc_argentine.txt,6,153,1000,0,2,20,4121,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO750
Australia Cleats,FOOT\foot1_wc_austrlia.txt,FOOT\foot2_wc_austrlia.txt,6,153,1000,0,2,20,10253,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO751
Brazil Cleats,FOOT\foot1_wc_brazil.txt,FOOT\foot2_wc_brazil.txt,6,153,1000,0,2,20,4123,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO752
Canada Cleats,FOOT\foot1_wc_canada.txt,FOOT\foot2_wc_canada.txt,6,153,1000,0,2,20,9275,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO753
England Cleats,FOOT\foot1_wc_england.txt,FOOT\foot2_wc_england.txt,6,153,1000,0,2,20,4125,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO754
France Cleats,FOOT\foot1_wc_france.txt,FOOT\foot2_wc_france.txt,6,153,1000,0,2,20,4126,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO755
Germany Cleats,FOOT\foot1_wc_germany.txt,FOOT\foot2_wc_germany.txt,6,153,1000,0,2,20,4127,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO756
Italy Cleats,FOOT\foot1_wc_italy.txt,FOOT\foot2_wc_italy.txt,6,153,1000,0,2,20,4128,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO757
Japan Cleats,FOOT\foot1_wc_japan.txt,FOOT\foot2_wc_japan.txt,6,153,1000,0,2,20,4129,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO758
South Korea Cleats,FOOT\foot1_wc_korea.txt,FOOT\foot2_wc_korea.txt,6,153,1000,0,2,20,4130,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO759
Mexico Cleats,FOOT\foot1_wc_mexico.txt,FOOT\foot2_wc_mexico.txt,6,153,1000,0,2,20,4131,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO760
Netherlands Cleats,FOOT\foot1_wc_netherlands.txt,FOOT\foot2_wc_netherlands.txt,6,153,1000,0,2,20,4132,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO761
Philippine Cleats,FOOT\foot1_wc_phil.txt,FOOT\foot2_wc_phil.txt,6,153,1000,0,2,20,4134,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO762
Spain Cleats,FOOT\foot1_wc_spain.txt,FOOT\foot2_wc_spain.txt,6,153,1000,0,2,20,4135,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO763
USA Cleats,FOOT\foot1_wc_usa.txt,FOOT\foot2_wc_usa.txt,6,153,1000,0,2,20,4136,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO764
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Ice Skates,FOOT\foot1_skateBlack.txt,FOOT\foot2_skateBlack.txt,6,153,0,0,2,23,4412,244,579,,,,,,,,,,,,,,,,,,100,,20,10,80,,,,,,LFOO766
Undersea Ice Skates,FOOT\foot1_skateBlue.txt,FOOT\foot2_skateBlue.txt,6,153,0,0,2,23,4413,244,579,,,,,,,,,,,,,,,,,,100,,20,10,80,,,,,,LFOO767
Exotic Ice Skates,FOOT\foot1_skateRed.txt,FOOT\foot2_skateRed.txt,6,153,0,0,2,23,4414,244,579,,,,,,,,,,,,,,,,,,100,,20,10,80,,,,,,LFOO768
Floral Ice Skates,FOOT\foot1_skateWhite.txt,FOOT\foot2_skateWhite.txt,6,153,0,0,2,23,4415,244,579,,,,,,,,,,,,,,,,,,100,,20,10,80,,,,,,LFOO769
Captain Zack Boots,FOOT\FOOT1_captain_pirate.txt,FOOT\FOOT2_captain_pirate.txt,7,153,0,0,0,0,4540,240,579,,,,,,,,,,,,,,,,,,30,,20,10,70,,,,,,LFOO770
Black Magic School Shoes,FOOT\foot1_F0732.txt,FOOT\foot2_F0732.txt,6,153,0,0,2,10,8435,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO771
Orange Magic School Shoes,FOOT\foot1_F0732.txt,FOOT\foot2_F0732.txt,6,153,0,0,2,10,8450,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO772
Purple Magic School Shoes,FOOT\foot1_F0732.txt,FOOT\foot2_F0732.txt,6,153,0,0,2,10,8451,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO773
Pink Bunny Slippers,,,,153,1550,0,2,10,2576,244,579,,,,,,,,,,,,,,,,,,55,,10,10,85,,,,,,LFOO774
Vicious Bunny Slippers,,,,153,1550,0,2,10,2578,244,579,,,,,,,,,,,,,,,,,,55,,10,10,85,,,,,,LFOO775
Blue Heels,,,6,153,1000,0,2,10,2905,244,579,,,,,,,,,,,,,,,,,,50,,1,1,80,,,,,,LFOO776
Trendy School Shoes,,,6,153,1000,0,2,10,2906,244,579,,,,,,,,,,,,,,,,,,50,,1,1,80,,,,,,LFOO777
Beige Gothic Lolita Shoes,,,6,153,0,0,2,10,3960,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO778
Pink Gothic Lolita Shoes,,,6,153,0,0,2,10,3961,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO779
Black Gothic Lolita Shoes,,,6,153,0,0,2,10,3962,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO780
Pink Magical Shoes,,,6,153,0,0,2,10,4006,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO781
Blue Magical Shoes,,,6,153,0,0,2,10,4007,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO782
Green Magical Shoes,,,6,153,0,0,2,10,4008,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO783
Yellow Magical Shoes,,,6,153,0,0,2,10,4009,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO784
Belgium Cleats,,,6,153,1000,0,2,20,4130,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO785
Poland Cleats,,,6,153,1000,0,2,20,4136,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO786
Portugal Cleats,,,6,153,1000,0,2,20,4130,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO787
Blue Bunny Slippers,,,,153,0,0,2,10,9772,244,579,,,,,,,,,,,,,,,,,,55,,10,10,85,,,,,,LFOO788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Rudolph Boots,FOOT\foot1_22000_blue_1116_na1117.txt,FOOT\foot2_22000_blue_1116_na1117.txt,6,153,1500,0,3,22,7725,236,579,,,,4,,,,,,,,,,,,,,20,,5,3,70,,,,,,LFOO790
Warm Winter Boots,FOOT\lg_famu_foot_1012_cr.txt,FOOT\lg_famu_foot_1012_cr.txt,6,153,1000,0,2,25,4495,244,579,,,,,,,,,,,,,,,,,,20,,17,1,70,,,,,,LFOO791
Punk Christmas Boots,FOOT\maidxmas_m_1116_na.txt,FOOT\maidxmas_f_1116_na.txt,6,151,1000,0,6,25,3695,244,579,,,,,,,,,,,,,,,,,,20,,5,6,70,,,,,,LFOO792
Stylish Christmas Boots,FOOT\foot1_22300.txt,FOOT\foot2_22300.txt,6,151,1000,0,6,25,3694,244,579,,,,,,,,,,,,,,,,,,20,,5,6,70,,,,,,LFOO793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wedding Shoes,FOOT\foot1_fashion001_a.txt,FOOT\foot2_fashion001_a.txt,7,153,1000,0,1,10,3500,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO800
Kimono Sandals,FOOT\foot1_fashion002_2.txt,FOOT\foot2_fashion002_2.txt,6,153,1000,0,1,10,3501,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO801
Pirate boots,FOOT\foot1_fashion003_c.txt,FOOT\foot2_fashion003_c.txt,6,153,10000,0,1,10,3502,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO802
Chinese Shoes,FOOT\foot1_fashion004_d.txt,FOOT\foot2_fashion004_d.txt,7,153,1000,0,1,10,3503,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO803
Bear Feet,FOOT\foot1_fashion005_e.txt,FOOT\foot2_fashion005_e.txt,6,153,10000,0,1,10,3504,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO804
Frog Feet,FOOT\foot1_fashion006_f.txt,FOOT\foot2_fashion006_f.txt,7,153,10000,0,2,10,3505,244,579,,,,,,,,,,,,,12,3,,15,3,30,,10,8,85,,,,,,LFOO805
Koala Feet,FOOT\foot1_fashion006_p.txt,FOOT\foot2_fashion006_p.txt,6,153,10000,0,1,10,3506,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO806
Yokono Bunny Slippers,FOOT\foot1_fashion007_g.txt,FOOT\foot2_fashion007_g.txt,7,153,10000,0,1,10,3507,244,579,,,,,,,,,,,,,12,3,,,,30,,10,8,85,,,,,,LFOO807
Pastery Chef's Shoes,FOOT\foot1_fashion007_h.txt,FOOT\foot2_fashion007_h.txt,7,153,10000,0,1,10,4189,244,579,,,,,,,,,,,,,19,10,,11,3,30,,10,8,85,,,,,,LFOO808
Kodomatchi Shoes,FOOT\foot1_fashion008_i.txt,FOOT\foot2_fashion008_i.txt,7,153,10000,0,1,10,3510,244,579,,,,,,,,,,,,,19,15,,21,15,30,,10,8,85,,,,,,LFOO809
Leopard shoes,FOOT\foot1_fashion009_o.txt,FOOT\foot2_fashion009_o.txt,6,153,0,0,2,10,3511,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO810
Medieval Boots,FOOT\foot1_fashion010_k.txt,FOOT\foot2_fashion010_k.txt,6,153,10000,0,1,10,3512,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO811
Bounty Hunter Boots,FOOT\foot1_fashion011_l.txt,FOOT\foot2_fashion011_l.txt,6,153,10000,0,1,10,3513,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO812
Purple Bunny Shoes,FOOT\foot1_fashion012_q.txt,FOOT\foot2_fashion012_q.txt,6,153,1000,0,1,10,3980,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO813
Medieval Shoes,FOOT\foot1_fashion013_r.txt,FOOT\foot2_fashion013_r.txt,6,153,0,0,1,10,3573,244,579,,,,,,,,,,,,,,,,,,30,,10,8,80,,,,,,LFOO814
Jester Shoes,FOOT\foot1_fashion014_s.txt,FOOT\foot2_fashion014_s.txt,7,153,10000,0,1,10,4704,244,579,,,,,,,,,,,,,13,3,,,,30,,10,8,85,,,,,,LFOO815
thRose,FOOT\foot1_fashion017_1017.txt,FOOT\foot2_fashion017_1017.txt,6,153,10000,0,1,10,3517,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO816
Airplane Attendant Shoes,FOOT\foot1_fashion018_1018.txt,FOOT\foot2_fashion018_1018.txt,6,153,1000,0,2,10,3517,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO817
thRose,FOOT\foot1_fashion019_1019.txt,FOOT\foot2_fashion019_1019.txt,6,153,10000,0,2,10,3519,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO818
thRose,FOOT\foot1_fashion020_1020.txt,FOOT\foot2_fashion020_1020.txt,6,153,10000,0,1,10,3520,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO819
Red Wonder Shoes,,FOOT\hu_konan_foot_w.txt,6,153,10000,0,1,10,3519,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO820
Pink Wonder Shoes,,FOOT\hu_can_foot_w.txt,6,153,10000,0,1,10,3520,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO821
Green Wonder Shoes,,FOOT\hu_kyomo_foot_w.txt,6,153,10000,0,1,10,3521,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO822
Orange Wonder Shoes,,FOOT\hu_marurin_foot_w.txt,6,153,10000,0,1,10,3523,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO823
Yellow Wonder Shoes,,FOOT\hu_piro_foot_w.txt,6,153,10000,0,1,10,3524,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO824
Blue Wonder Shoes,,FOOT\hu_ura_foot_w.txt,6,153,10000,0,1,10,3525,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO825
Purple Wonder Shoes,,FOOT\hu_yokyun_foot_w.txt,6,153,10000,0,2,10,3526,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO826
Pink Cat Shoes,FOOT\ugo_ichigo_foot_m.txt,FOOT\ugo_ichigo_foot_w.txt,6,153,10000,0,2,10,3527,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO827
Tiger Shoes,FOOT\foot1_fashion021_1021.txt,FOOT\foot2_fashion021_1021.txt,7,153,10000,0,1,10,3528,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO828
Racing Boots,FOOT\foot1_fashion022_1022.txt,FOOT\foot2_fashion022_1022.txt,7,153,10000,0,1,10,3529,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO829
Trendy Beach Sandals,FOOT\foot1_fashion023_1023.txt,FOOT\foot2_fashion023_1023.txt,6,153,1000,0,1,10,8547,244,579,,,,,,,,,,,,,,,,,,30,,5,3,80,,,,,,LFOO830
Dancing Shoes,FOOT\foot1_fashion024_1024.txt,FOOT\foot2_fashion024_1024.txt,6,153,0,0,1,10,8221,244,579,,,,,,,,,,,,,,,,,,30,,10,10,80,,,,,,LFOO831
Police Shoes,FOOT\foot1_fashion025_1025.txt,FOOT\foot2_fashion025_1025.txt,7,153,10000,0,2,10,3532,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO832
Grey Woppie Shoes,FOOT\whoopeefoot2_m_1026_ka.txt,FOOT\whoopeefoot2_m_1026_ka.txt,6,153,1000,0,2,10,4442,,579,,,,,,,,,,,,,12,3,,11,4,30,,10,8,85,,,,,,LFOO833
Kaiman Shoes,FOOT\kaimanfoot_m_1021_wa.txt,FOOT\kaimanfoot_f_1021_wa.txt,6,153,1000,0,2,10,4443,,579,,,,,,,,,,,,,10,3,,11,3,30,,10,8,85,,,,,,LFOO834
Pink and Red Winter Boots,FOOT\mint_xmas_foot_pink_1101_wa.txt,FOOT\cr_xmas_foot_pink_1101_wa.txt,6,153,1000,0,2,10,4444,,579,,,,,,,,,,,,,14,6,,,,30,,10,8,80,,,,,,LFOO835
White and Red Winter Boots,FOOT\mint_xmas_foot_white_1101_wa.txt,FOOT\cr_xmas_foot_white_1101_wa.txt,6,153,1000,0,2,10,4446,,579,,,,,,,,,,,,,14,6,,,,30,,10,8,80,,,,,,LFOO836
Black and Red Winter Boots,FOOT\mint_xmas_foot_chick_1101_wa.txt,FOOT\cr_xmas_foot_hyou_1101_wa.txt,6,153,1000,0,2,10,4447,,579,,,,,,,,,,,,,14,6,,,,30,,10,8,80,,,,,,LFOO837
Witch Shoes,FOOT\ugo_ichigo_foot_m.txt,FOOT\ugo_ichigo_foot_w.txt,6,153,1000,0,2,10,2473,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO838
Purple Witch Shoes,FOOT\ugo_ichigo_foot_m.txt,FOOT\ugo_ichigo_foot_w.txt,6,153,1000,0,2,10,2474,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO839
hai temp. name,FOOT\foot1_career015_1o.txt,FOOT\foot2_career015_1o.txt,6,153,18764,0,19,10,4157,244,579,,,,,,,,31,50,,,,,,,,,37,1,49,16,99,,,,,,LFOO840
Pumpkin Jester Shoes,FOOT\ugo_ichigo_foot_m.txt,FOOT\ugo_ichigo_foot_w.txt,6,153,1000,0,2,10,3460,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO841
Bat Shoes,FOOT\ugo_ichigo_foot_m.txt,FOOT\ugo_ichigo_foot_w.txt,6,153,1000,0,2,10,4543,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO842
Pumpkin Shoes,,,6,153,1000,0,2,10,8603,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO843
Loose Socks Loafers,,,6,153,0,0,2,10,9761,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO844
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai temp. name,FOOT\foot1_career015_o.txt,FOOT\foot2_career015_o.txt,6,153,18764,0,19,10,4158,244,579,,,,,,,,31,50,,,,,,,,,37,1,49,16,99,,,,,,LFOO848
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Shoes,FOOT\alicefoot_m.txt,FOOT\alicefoot_f.txt,6,153,1000,0,2,100,3902,,579,,,,,,,,,,,,,12,3,,14,10,100,,19,15,80,,,,,,LFOO857
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach Geta,FOOT\geta_b_m.txt,FOOT\geta_b_w.txt,6,153,1500,0,6,10,5830,228,580,93,1,1836,1,,,,,,,,,14,5,,,,20,10,5,3,80,,,,,,LFOO865
Black Geta,FOOT\geta_b_m.txt,FOOT\geta_b_w.txt,6,153,1500,0,6,10,8548,228,580,93,1,1836,1,,,,,,,,,14,5,,,,20,10,5,3,80,,,,,,LFOO866
Blue Geta,FOOT\geta_b_m.txt,FOOT\geta_b_w.txt,6,153,1500,0,6,10,8549,228,580,93,1,1836,1,,,,,,,,,14,5,,,,20,10,5,3,80,,,,,,LFOO867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai temp. name,FOOT\foot1_career016_p.txt,FOOT\foot2_career016_p.txt,6,153,18764,0,19,10,4160,244,579,,,,,,,,31,50,,,,,,,,,37,1,49,16,99,,,,,,LFOO873
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai temp. name,FOOT\foot1_career016_1p.txt,FOOT\foot2_career016_1p.txt,6,153,18764,0,19,10,4161,244,579,,,,,,,,31,50,,,,,,,,,37,1,49,16,99,,,,,,LFOO881
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimono Sandals,FOOT\foot1_fashion002_2.txt,FOOT\foot2_fashion002_2.txt,6,153,1000,0,2,10,3501,244,579,,,,,,,,,,,,,,,,,,50,,1,1,85,,,,,,LFOO889
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Shoes,FOOT\foot1_fashion038_1038.txt,FOOT\foot2_fashion038_1038.txt,6,153,1000,0,2,23,8082,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO897
Organization X Shoes,FOOT\foot1_warlock_koh.txt,FOOT\foot1_warlock_koh.txt,6,153,1000,0,2,10,3931,244,579,,,,,,,,,,,,,,,,,,70,,50,50,80,,,,,,LFOO898
Art Student Shoes,,,6,153,1000,0,2,10,3987,244,579,,,,,,,,,,,,,,,,,,50,,1,1,80,,,,,,LFOO899
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai temp name,FOOT\foot1_fashion039_1039.txt,FOOT\foot2_fashion039_1039.txt,6,134,10000,0,19,10,4164,244,579,,,,,,,,,,,,,,,,,,127,1,13,5,,,,,,,LFOO905
Cameroon Cleats,,,6,153,1000,0,2,20,4135,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO906
Costa Rica Cleats,,,6,153,1000,0,2,20,9274,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO907
Croatia Cleats,,,6,153,1000,0,2,20,4136,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO908
Denmark Cleats,,,6,153,1000,0,2,20,9275,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO909
Ecuador Cleats,,,6,153,1000,0,2,20,4129,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO910
Ghana Cleats,,,6,153,1000,0,2,20,4136,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO911
Iran Cleats,,,6,153,1000,0,2,20,4136,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO912
Qatar Cleats,,,6,153,1000,0,2,20,9275,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO913
