string,,,,,,,,,,,,,,,,,,,,,,,,,Can Target,300,,1,,,,,,,,,,,,string,string,,Unused,Collision On/Off,Bone Index,Box X Scale,Box Y Scale,Box Z Scale,Ignore Database Data,Dialog Mob,Event Id,Invincible,Seasonal Event,Stun Immune,Swap,Pet Scale,Pet Y,Pet Height,Damage Limit,Servertype,Hide Armory,Expire Damage,Stat Tracker,AB Adjust,AX,AY,AZ,BX,BY,BZ,AB Hit,Block AOE Damage,Clan Stat Tracker,Whitelist
Cherry Blossom Smouly,smallree3.mon,300,600,160,1074,,70,1886,295,215,191,90,87,100,,169,,3,,60,35,,,,,1400,1,1,0,,,,402,1401,,,,,,LNPC0938,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goddess Arua Sequence,arua_ghost01.mon,100,150,100,,,200,9999,300,300,300,300,300,100,,108,,3,,60,35,,,,,250,1,0,0,,,,402,1401,,,,,,LNPC0939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goddess Arua Buff,arua_ghost02.mon,450,750,40,,,200,9999,300,300,300,300,300,100,,91,,3,,60,35,,,,,250,1,0,0,,,,402,1401,,,,,,LNPC0940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Ghost,jghost01.mon,700,1000,150,,,200,10000,999,999,999,999,999,100,,284,,3,,60,0,,,,,250,1,1,0,,,,402,1401,,,,,,LNPC0941,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astarot King,astarot.mon,300,710,430,1055,,155,15870,886,569,693,571,235,110,,454,,,,100,50,,,,,250,10,2,,321,,,454,1401,322,,,,,LNPC0396,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mummy,Mummy_male01.mon,220,550,170,,,63,31,301,148,198,153,122,100,,443,31,211,30,50,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0943,,,,,,,,,,,,,,,,,,,,,,,41,1,0,-10,20,95,60,140,,,,
Mummy Ranger,Mummy_male02.mon,220,550,170,1041,,65,32,306,151,203,153,122,100,,1459,31,211,40,50,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0944,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,
Mummy Soldier,Mummy_male03.mon,220,550,170,1135,,67,32,312,153,212,153,122,100,,1456,32,211,40,50,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0945,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,
Mummy Captain,Mummy_male05.mon,220,550,170,117,,68,33,319,156,220,153,122,100,,1456,33,211,40,50,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0946,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,
Mummy Lieutenant,Mummy_male06.mon,220,550,170,1136,,70,33,325,160,225,153,122,100,,1458,33,211,40,50,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0947,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,
Yeti,Mummy_Female01.mon,220,550,170,,,91,3932,361,238,328,153,122,100,,3,,3,,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,Mummy_Female02.mon,220,550,170,,,91,3932,361,238,328,153,122,100,,3,,3,,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,Mummy_Female03.mon,220,550,170,69,,91,3932,361,238,328,153,122,100,,3,,3,,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,Mummy_Female04.mon,220,550,170,350,,91,3932,361,238,328,153,122,100,,3,,3,,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,Mummy_Female05.mon,220,550,170,316,,91,3932,361,238,328,153,122,100,,3,,3,,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,Sandman01.mon,220,550,210,,,91,3932,361,238,328,153,122,100,,3,,3,,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,Sandman02.mon,220,550,213,,,91,3932,361,238,328,153,122,100,,3,,3,,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,Sandman03.mon,220,550,210,,,91,3932,361,238,328,153,122,100,,3,,3,,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,Sandman04.mon,220,550,250,,,91,3932,361,238,328,153,122,100,,3,,3,,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,Sandman05.mon,220,550,260,,,91,3932,361,238,328,153,122,100,,3,,3,,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,stoneguard01.mon,220,550,200,,,91,3932,361,238,328,153,122,100,,3,,3,,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,stoneguard02.mon,220,550,190,,,91,3932,361,238,328,153,122,100,,3,,3,,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,stoneguard03.mon,220,550,230,15,12,91,3932,361,238,328,153,122,100,,3,,3,,,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,stoneguard04.mon,220,550,250,15,12,91,3932,361,238,328,153,122,100,,3,,3,,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lich Priest,Lich01.mon,220,550,350,,,78,632,429,238,338,153,122,100,,1457,542,212,15,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0962,,,,,,,,,,,,,,,,,,,,,,,,1,0,-50,50,130,250,300,,,,
Lich Pharaoh,Lich02.mon,220,550,370,,,85,698,456,238,368,153,122,100,,1457,603,212,15,60,35,,,,,300,1,1,0,,,,402,1401,,,,,,LNPC0963,,,,,,,,,,,,,,,,80,-60,50,,,,,,1,0,-50,50,130,250,300,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metal Moldy,mole3.mon,180,410,120,,,53,2749,220,127,370,160,61,100,,166,,3,,60,31,,,,,250,1,1,0,,,,402,1401,,,,,,LNPC0965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Name,gacha_muku_dance01.mon,0,0,110,,,1,4800,10,10,999,999,999,100,,188,,,,,50,,,,,0,1,1,0,,,,,,,,,,,LNPC0966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,Chicken.mon,180,266,60,,,1,3932,1,1,1,1,3,20,,164,,,,100,30,,,,,15,14,1,0,,,,401,1401,,,20,,,LNPC1276,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
Love Pig,Ev_PigMon2.mon,180,266,80,,,1,3932,1,1,1,1,3,20,,164,,,,100,30,,,,,15,14,1,0,,,,401,1401,,,20,,,LNPC3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAGE Porkie,pig1.mon,170,390,100,,,250,2000,5000,5000,5000,5000,2000,100,,193,,3,,100,31,,,,,250,,1,41,,,,402,1401,,,,,255000000,LNPC0970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Ghost,jghost01.mon,450,750,130,,,200,9999,300,300,300,300,300,100,,91,,3,,60,35,,,,,250,1,0,0,,,,402,1401,,,,,,LNPC0940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Ghost,jghost01.mon,450,750,80,,,200,9999,300,300,300,300,300,100,,91,,3,,60,35,,,,,250,1,0,0,,,,402,1401,,,,,,LNPC0940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Team Fairy,arua_ghost02.mon,450,750,60,,,200,9999,300,300,300,300,300,100,,91,,3,,60,35,,,,,250,1,0,0,,,,402,1401,,,,,,LNPC0940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Team Fairy,arua_ghost02.mon,450,750,60,,,200,9999,300,300,300,300,300,100,,91,,3,,60,35,,,,,250,1,0,0,,,,402,1401,,,,,,LNPC0940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goddess of Love,arua_ghost01.mon,100,150,100,,,200,9999,300,300,300,300,300,100,,108,,3,,60,35,,,,,250,1,0,0,,,,402,1401,,,,,,LNPC0939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow Cone,snowman.mon,290,490,120,,,1,5,18,65,600,600,600,105,,,,,,,,,,,,250,999,1,0,,,,401,1401,,,,,,,,,,,,,,,,,,,,,,90,-30,10,,,,,,,,,,,,,,,,
Halloween Tree summon,tree1.mon,0,0,65,1073,,30,2000,10,10,300,300,40,100,,1257,0,,,,50,,,,1,10,,1,40,,,,,,,,,,,LNPC0977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halloween Tree,tree1.mon,0,0,120,,,250,1000,10,10,9999,9999,9999,100,,1188,,,,,,,,,1,10,0,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
material bag,ban2.mon,200,250,40,,,19,734,58,69,69,29,29,100,,467,,,,,,,,,,0,1,1,0,,,,,,,,,,200200200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
material bag,ban2.mon,200,250,40,,,19,734,58,69,69,29,29,100,,455,,,,,,,,,,0,1,1,0,,,,,,,,,,200200200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event Bag,ban2.mon,200,250,40,,,19,734,58,69,69,29,29,100,,442,,,,,,,,,,0,1,1,0,,,,,,,,,,200200200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halloween Box,ban2.mon,200,250,40,,,19,734,58,69,69,29,29,100,,479,,,,,,,,,,0,1,1,0,,,,,,,,,,200200200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Gift Bag,ban2.mon,200,250,40,,,19,734,58,69,69,29,29,100,,421,,,,,,,,,,0,1,1,0,,,,,,,,,,200200200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mall Goodie Bag,ban2.mon,200,250,40,,,19,734,58,69,69,29,29,100,,422,,,,,,,,,,0,1,1,0,,,,,,,,,,200200200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Event] Santa Claus,santa1.mon,0,0,200,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Spirit,snowman.mon,290,490,100,,,1,5,18,65,600,600,600,105,,,,,,,,,,,,250,999,1,0,,,,401,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudolph Santa,santa2.mon,280,450,120,,,35,19,124,92,103,91,31,100,,,,,,,,,,,,250,999,1,26,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Tree,tree1.mon,0,0,100,,,30,2000,10,10,300,300,40,100,,,,,,,30,,,,,10,,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Name,ban2.mon,200,250,40,,,19,734,58,69,69,29,29,100,,290,,,,,,,,,,0,1,1,0,,,,,,,,,,200200200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summoning Stone,healstone1.mon,0,0,90,,,1,20,1,1,1,1,1,100,,289,0,0,0,99,,,,,,10,,2,,,,,,1302,,,16,,246009047,LNPC0990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Name,ban2.mon,200,250,30,,,19,734,58,69,69,29,29,100,,281,0,,,,,,,,,0,,1,41,,,,,,,,,,200200200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Tree,tree1.mon,0,0,65,1073,,30,2000,10,10,300,300,40,100,,282,0,,,,50,,,,1,10,,1,40,,,,,,,,,,,LNPC0992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Name,ban2.mon,200,250,40,,,19,734,58,69,69,29,29,100,,284,,,,,,,,,,0,1,1,0,,,,,,,,,,200200200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Easter] Easter Bunny,EasterBunny.mon,50,400,130,,,30,1000,10,10,1000,10,10,100,,,,,,,,,,,,0,999,1,0,,,,,1401,,,,,,LNPC0994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Easter] Missing Easter Egg,EasterEgg.mon,50,400,30,,,30,1000,10,10,1000,10,10,100,,,,,,,,,,,,0,999,1,0,,,,,1401,,,,,100100100,LNPC0995,,90,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,
Escaped Bunny,EasterBunny.mon,50,400,70,,,3,31,12,56,27,17,15,95,,481,1,,,,,,,,,0,1,1,0,,,,,1401,,,,,,LNPC0996,,,,,,,,,,,,,2,,,,,,35,,,,,,,,,,,,,,,
Easter Egg,EasterEgg.mon,50,400,40,,,30,1000,10,10,1000,10,10,100,,398,,,,,25,,,,,0,0,1,0,,,,,1401,,,,,100100100,LNPC0575,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easter Bunny,EasterBunny.mon,150,400,110,,,30,1000,10,10,1000,10,10,100,,398,,,,,50,,,,,0,0,1,0,,,,,1401,,,,,,LNPC0574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Tree,tree1.mon,0,0,120,,,250,1000,10,10,9999,9999,9999,100,,1108,,,,,,,,,1,10,0,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Balloons,balloon.mon,0,0,120,,,30,2000,10,10,300,300,40,100,,282,0,,,,50,,,,,10,,1,40,,,,,,,,,,060030030,LNPC1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Village Chief] Cornell,chief.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,29,70,,,,,,,,200,999,,1,,,,,1401,,,10,,,LNPC1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Akram Kingdom Minister] Warren,scholar1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,36,54,,,,,,,,200,999,,14,,,,,1401,,,10,,,LNPC1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Co-Founder of the Junon Order] Francis,archbishop1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,25,59,,,,,,,,200,999,,2,,,,,1401,,,10,,,LNPC1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Ferrell Guild Staff] Crow,youngman1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,37,57,,,,,,,,200,999,,13,,,,,1401,,,10,,,LNPC1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Righteous Crusader] Leonard,warrior1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,35,55,,,219,,,,,200,999,,16,,,,,1401,,,10,,,LNPC1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Arumic Merchant] Tryteh,magician1.mon,0,0,130,,,10,100,100,100,100,100,100,100,,,32,56,,,221,222,,,,200,999,,3,,,,,1401,,,10,,,LNPC1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Gypsy Jewel Seller] Mina,gypsy1.mon,0,0,130,,,10,100,100,100,100,100,100,100,,,39,58,,,225,,,,,200,999,,17,,,,,1401,,,10,,,LNPC1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Weapon Seller] Raffle,weapondealer.mon,0,0,130,,,10,100,100,100,100,100,100,100,,205,35,65,,,229,230,231,232,,200,999,,18,,,,,1401,,,10,,,LNPC1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Armor Seller] Carrion,smith1.mon,0,0,130,,,10,100,100,100,100,100,100,100,,,41,66,,,233,234,235,236,,200,999,,11,,,,,1401,,,10,,,LNPC1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Designer] Keenu,cutter.mon,0,0,120,,,10,100,100,100,100,100,100,100,,207,30,67,,,237,238,239,240,,200,999,,4,,,,,1401,,,10,,,LNPC1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Eccentric Inventor] Spero,inventor1.mon,0,0,110,,,10,100,100,100,100,100,100,100,,,41,68,,,241,,,,,200,999,,5,,,,,1401,,,10,,,LNPC1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Ferrell Guild Staff] Ulysses,youngman1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,33,57,,,245,,,,,200,999,,13,,,,,1401,,,10,,,LNPC1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Tavern Owner] Sharlin,landlady.mon,0,0,130,,,10,100,100,100,100,100,100,100,,208,42,69,,,249,,,,,200,999,,6,,,,,1401,,,10,,,LNPC1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Guide] Lena,guide.mon,240,300,130,,,10,100,100,100,100,100,100,100,,,34,72,,,,,,,,200,999,,7,,,,,1401,,,10,,,LNPC1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Resident] Luth,youngman1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,37,71,,,,,,,,200,999,,13,,,,,1401,,,10,,,LNPC1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Livestock Farmer] Lampa,cowboy.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,73,,,577,581,,,,200,999,,8,,,,,1401,,,10,,,LNPC1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Teleporter] Selladin,magician1.mon,0,0,130,,,10,100,100,100,100,100,100,100,,,,56,,,221,222,223,,,200,999,,3,,,,,1401,,,10,,,LNPC1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Cornell Grandson] Cheney,chenie.mon,0,0,120,,,10,100,100,100,100,100,100,100,,209,,,,,,,,,,200,999,,36,,,,,1401,,,10,,,LNPC1018,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
[Lena Sister] Shirley,shari_arisha.mon,0,0,80,,,10,100,100,100,100,100,100,100,,210,,56,,,,,,,,200,999,,9,,,,,1401,,,10,,,LNPC1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Keenu Daughter] Arisa,shari_arisha.mon,0,0,80,,,10,100,100,100,100,100,100,100,,211,,56,,,,,,,,200,999,,9,,,,,1401,,,10,,,LNPC1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Boy in the Hut]Huey,child1.mon,120,300,120,,,10,100,100,100,100,100,100,100,,,,73,,,307,,,,,200,999,,12,,,,,1401,,,10,,,LNPC1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gate,LUNA_gate.mon,120,300,100,,,10,100,100,100,100,100,100,100,,,,,,,307,,,,,200,999,,12,,,,,1401,,,10,,,LNPC1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gate,LUNA_gate_01.mon,120,300,100,,,10,100,100,100,100,100,100,100,,,,,,,307,,,,,200,999,,12,,,,,1401,,,10,,,LNPC1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congratulations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,1401,,,,,,LNPC1024,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Blank NPC for LUA,ban.mon,0,0,100,,,250,9999,1,1,9999,9999,9999,100,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Blank NPC for LUA,ban.mon,0,0,100,,,250,9999,1,1,9999,9999,9999,100,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Blank NPC for LUA,ban.mon,0,0,100,,,250,9999,1,1,9999,9999,9999,100,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Blank NPC for LUA,ban.mon,0,0,100,,,250,9999,1,1,9999,9999,9999,100,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,-500,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Blank NPC for LUA,ban.mon,800,500,100,,,250,9999,1,1,9999,9999,9999,100,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
[Visitor Guide] Arua Fairy,fairy1.mon,0,0,80,,,10,100,100,100,100,100,100,100,,,,72,,,307,,,,,200,999,,10,,,,,1401,,,10,,,LNPC1030,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Visitor Guide] Ronway,ronwea.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,72,,,291,,,,,200,999,,19,,,,,1401,,,10,,,LNPC1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Akram Minister] Mairard,scholar1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,54,,,,,,,,200,999,,14,,,,,1401,,,10,,,LNPC1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Righteous Crusader] Port,warrior1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,55,,,,,,,,200,999,,16,,,,,1401,,,10,,,LNPC1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Smith] Ronk,smith1.mon,0,0,130,,,10,100,100,100,100,100,100,100,,,,65,,,303,304,,,,200,999,,11,,,,,1401,,,10,,,LNPC1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Little Street Vendor] Pony,child1.mon,120,300,120,,,10,100,100,100,100,100,100,100,,,,73,,,307,292,,,,200,999,,12,,,,,1401,,,10,,,LNPC1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Ferrell Guild Staff] Seyon,youngman1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,57,,,311,,,,,200,999,,13,,,,,1401,,,10,,,LNPC1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Old Fisherman] Myad,scholar1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,71,,,,,,,,200,999,,14,,,,,1401,,,10,,,LNPC1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Village Chief] Gray,scholar1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,70,,,,,,,,200,999,,14,,,,,1401,,,10,,,LNPC1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Fruit Store] Reene,harin.mon,0,0,115,,,10,100,100,100,100,100,100,100,,,,69,,,323,,,,,200,999,,37,,,,,1401,,,10,,,LNPC1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Novice Designer] Cassirin,cutter.mon,240,300,120,,,10,100,100,100,100,100,100,100,,,,67,,,304,,,,,200,999,,4,,,,,1401,,,10,,,LNPC1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Old Man] Myad,scholar1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,71,,,,,,,,200,999,,14,,,,,1401,,,10,,,LNPC1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Ferrell Storage Keeper] Bill Gate,youngman1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,57,,,,,,,,200,999,,13,,,,,1401,,,10,,,LNPC1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Name,osirisu.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,57,,,,,,,,200,999,,60,,,,,1401,,,10,,,LNPC1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event Team,ban.mon,0,0,100,,,250,9999,1,1,9999,9999,9999,100,,813,,,,,,,,,1,0,,,,,,,,,,,,,,LNPC1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event Team,ban.mon,0,0,100,,,250,9999,1,1,9999,9999,9999,100,,812,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correct Firework,ban.mon,0,0,300,,,250,9999,1,1,9999,9999,9999,100,,816,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Balloon,balloon.mon,0,0,100,,,30,2000,10,10,300,300,40,100,,282,0,,,,1,,,,1,10,,1,40,,,,,,,,,,,LNPC1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Visitor Guide] Arua Fairy,fairy1.mon,0,0,80,,,10,100,100,100,100,100,100,100,,,,72,,,593,,,,,200,999,,10,,,,,,,,10,,,LNPC1030,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Game Dealer] Varga,gambler.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,74,,,,,,,,200,999,,148,,,,401,1401,,,19,,,LNPC1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Visitor Guide] Arua Fairy,fairy1.mon,0,0,80,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,10,,,,,1401,,,10,,,LNPC1030,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Arumic Resercher] Lutis,scholar1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,56,,,,,,,,200,999,,14,,,,,1401,,,10,,,LNPC1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Mountain Guide] Shannon,Robber1.mon,0,0,120,203,,10,100,100,100,100,100,100,100,,,,72,,,,,,,,200,999,,20,,,,,1401,,,10,,,LNPC1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Cleric] Karitte,woman1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,72,,,,,,,,200,999,,15,,,,,1401,,,10,,,LNPC1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Visitor Guide] Arua Fairy,fairy1.mon,290,630,80,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,10,,,,,1401,,,10,,,LNPC1030,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Station Guide] Rocky,youngman1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,57,,,,,,,,200,999,,13,,,,,1401,,,10,,,LNPC1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
