,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durability,Rare Type,Defence,Magic Resistence,Move Speed,Item Set,Dynamic EQ,Trade Key,Expire,Effect,NPC,Space,Prefix,
??????????,BACK\back_shield06.txt,,6,161,1000,0,30,16,26,248,,,,,,,,,,,,,,,,,,,50,,20,7,,,,,,,,,,LBAC756
??????????,BACK\back_shield06.txt,,6,161,1000,0,30,16,27,248,,,,,,,,,,,,,,,,,,,50,,20,7,,,,,,,,,,LBAC757
??????????,BACK\back_shield06.txt,,6,161,1000,0,30,16,28,248,,,,,,,,,,,,,,,,,,,50,,20,7,,,,,,,,,,LBAC758
??????????,BACK\back_shield06.txt,,6,161,1000,0,30,16,29,248,,,,,,,,,,,,,,,,,,,50,,20,7,,,,,,,,,,LBAC759
??????????,BACK\back_shield06.txt,,6,161,1000,0,30,16,30,248,,,,,,,,,,,,,,,,,,,50,,20,7,,,,,,,,,,LBAC760
Black Seraph Wing,BACK\back_wing14.txt,,7,163,1200,0,20,16,776,248,,,,,,,,,,,,,,23,60,,,,50,,8,10,,,,,,,,,,LBAC761
Astarot Silver Wing,BACK\back_wing15.txt,,7,163,1200,0,10,16,782,248,,,,,,,,,,,,,,23,90,,,,50,,10,19,,,,,,,,,,LBAC762
Astarot White Wing,BACK\back_wing16.txt,,7,163,1200,0,10,16,778,248,,,,,,,,,,,,,,23,90,,,,50,,10,19,,,,,,,,,,LBAC763
Astarot Pink Wing,BACK\back_wing17.txt,,7,163,1200,0,10,16,780,248,,,,,,,,,,,,,,23,90,,,,50,,10,19,,,,,,,,,,LBAC764
Summer Seraph Wing,BACK\back_wingss.txt,,,163,1200,0,20,40,2985,248,,,,,,,,,,,,,,23,40,,12,5,50,,1,1,,,,,,,,,,LBAC765
Elementary School Bag,BACK\back_pack06.txt,,7,162,1000,0,5,16,789,248,,,,,,,,,,,,,,25,1000,,,,50,,15,8,,,,,,,,24,,LBAC766
Thor's Bass Drum,BACK\back_shield13.txt,,7,161,1000,0,20,16,803,248,579,,,,,,,,,,,,,38,90,,18,5,50,,20,7,,,,,,,,,,LBAC767
Kerokero Umbrella,BACK\back_shield14.txt,,7,161,1000,0,3,25,804,248,578,,,,,,,,,,,,,14,5,,,,20,,6,1,,,,,,,,,,LBAC768
Dolphin Bag,BACK\back_pack07.txt,,7,162,1000,0,5,16,790,248,,,,,,,,,,,,,,25,1000,,,,50,10,15,8,,,,,,,,24,,LBAC769
Black Cross Shield,BACK\back_shield15.txt,,7,161,1000,0,30,16,763,248,,,,,,,,,,,,,,38,100,,18,8,50,,45,15,,,,,,,,,,LBAC770
Astarot Black Wing,BACK\back_wing18.txt,,7,163,1200,0,10,16,813,248,,,,,,,,,,,,,,23,90,,,,50,,10,19,,,,,,,,,,LBAC771
Astarot Red Wing,BACK\back_wing19.txt,,7,163,1200,0,10,16,814,248,,,,,,,,,,,,,,23,90,,,,50,,10,19,,,,,,,,,,LBAC772
Golden Astarot Wings,BACK\back_F07730.txt,,,163,325168,0,20,56,765,248,579,16,9,390,43,,,,31,115,,,,23,80,,10,5,65,,12,17,,,,,,,,,,LBAC773
Pink Bear Bag,BACK\back_F07740.txt,,,162,8640,0,5,30,754,248,579,16,2,365,25,,,,31,32,,,,25,440,,,,35,,1,3,,,,,,,,6,,LBAC774
White Rabbit Bag,BACK\back_F07750.txt,,,162,27560,0,5,42,755,248,579,,,366,28,,,,31,51,,,,25,600,,,,45,,2,2,,,,,,,,,,LBAC775
Kitten Bag,BACK\back_F07760.txt,,,162,78200,0,5,65,756,248,579,,,368,45,,,,31,105,,,,25,1100,,14,10,80,,10,15,,,,,,,,21,,LBAC776
Elephant Bag,BACK\back_F07770.txt,,,162,11590,0,30,46,757,248,579,,,367,41,,,,31,92,,,,25,1200,,,,68,,10,8,,,,,,,,18,,LBAC777
Castle Gear Backshield,BACK\back_F07780.txt,,,161,68230,0,25,50,758,248,579,16,6,358,39,,,,31,85,,,,38,60,,,,59,,24,11,,,,,,,,,,LBAC778
Seal backpack,BACK\back_F07790.txt,,6,162,1000,0,20,40,759,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC779
Pig Backpack,BACK\back_F07800.txt,,6,162,1000,0,10,40,2800,248,579,,,,,,,,,,,,,,,,,,75,,1,1,,,,,,,,,,LBAC780
Penguin Backpack,BACK\back_F07810.txt,,6,162,1000,0,20,40,760,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC781
Raccoon Dog Backpack,BACK\back_F07820.txt,,6,162,1000,0,20,40,2801,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC782
Private Store Backpack,BACK\back_F07830.txt,,,162,26300,0,5,40,2802,248,579,,,,,,,,,,,,,25,800,,,,54,,5,3,,,,,,,,18,,LBAC783
Spotted Kitten Backpack,BACK\back_F07840.txt,,6,162,1000,0,20,40,2809,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC784
Black Rabbit Bag,BACK\back_F07850.txt,,6,162,1000,0,20,40,2811,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC785
Purple Elephant Backpack,BACK\back_F07860.txt,,6,162,1000,0,20,40,2810,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC786
Pink Raccoon Dog Backpack,BACK\back_F07870.txt,,6,162,1000,0,20,40,2813,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC787
Panda Backpack,BACK\back_F07880.txt,,6,162,1000,0,20,40,2814,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC788
Moon Kana Bag,BACK\back_F07890.txt,,6,162,1000,0,20,40,2831,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC789
Astarot Purple Wing,BACK\back_F07900.txt,,7,163,1200,0,10,16,2704,248,579,,,,,,,,,,,,,23,90,,,,50,,10,19,,,,,,,,,,LBAC790
Black Pig Bag,BACK\back_F07910.txt,,6,162,0,0,10,40,2842,248,579,,,,,,,,,,,,,,,,,,75,,1,1,,,,,,,,,,LBAC791
Snowman Bag,BACK\back_F07920.txt,,,162,1000,0,20,40,2843,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirwin Wings,BACK\back_F07940.txt,,,163,51200,0,25,40,764,248,579,,,,,,,,31,120,,,,23,85,,,,30,,13,18,,,,,,,,,,LBAC794
White Tirwin Wings,BACK\back_F07950.txt,,7,163,1200,0,10,16,2812,248,579,,,,,,,,,,,,,23,75,,,,30,,10,15,,,,,,,,,,LBAC795
Black Tirwin Wings,BACK\back_F07960.txt,,7,163,1200,0,10,16,2705,248,579,,,,,,,,,,,,,23,75,,,,30,,10,15,,,,,,,,,,LBAC796
Fiery Tirwin Wings,BACK\back_F07970.txt,,7,163,1200,0,10,16,3056,248,579,,,,,,,,,,,,,23,75,,,,30,,10,15,,,,,,,,,,LBAC797
Valentine Wings,BACK/back_Valentine2011.txt,,6,163,1000,0,5,16,4462,248,579,,,,,,,,,,,,,23,30,,,,30,,3,12,,,,,,,,,,LBAC798
Summer Wave Seraph Wing,BACK\back_wingss.txt,,,163,1200,0,20,40,8544,248,,,,,,,,,,,,,,23,40,,12,5,50,,1,1,,,,,,,,,,LBAC799
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spero's Wooden Chest,BACK\back_pack01.txt,,6,162,31450,0,10,29,816,248,579,,,,,,,,,,,,,25,410,,,,46,,2,1,,,,,,,,9,,LBAC801
Cutie Bag,BACK\back_pack03.txt,,,162,16050,0,5,34,746,248,579,16,5,374,25,,,,31,46,,,,25,550,,,,50,,2,1,,,,,,,,12,,LBAC206
White Rabbit Bag,BACK\back_F07750.txt,,,162,27560,0,5,42,755,248,579,16,6,366,28,,,,31,51,,,,25,600,,,,45,,2,2,,,,,,,,12,,LBAC775
Street Bag,BACK\back_pack04.txt,,,162,24900,0,5,41,748,248,579,16,6,375,30,,,,31,62,,,,25,650,,,,58,,2,3,,,,,,,,15,,LBAC208
Tamiya Bag,BACK\back_01800.txt,,,162,35000,0,5,47,750,248,579,16,7,373,38,,,,31,78,,,,25,750,,,,66,,3,1,,,,,,,,18,,LBAC210
Elephant Bag,BACK\back_F07770.txt,,,162,11590,0,30,46,757,248,248,16,8,367,41,,,,31,92,,,,25,1200,,,,68,,10,8,,,,,,,,18,,LBAC777
Magic Cubic,BACK\back_shield11.txt,,,162,95550,0,5,53,749,248,579,16,9,376,42,,,,31,100,,,,25,1100,,,,77,,12,8,,,,,,,,21,,LBAC212
Kitten Bag,BACK\back_F07760.txt,,,162,78200,0,5,65,756,248,579,16,9,368,45,,,,31,105,,,,25,1000,,14,10,80,,10,15,,,,,,,,21,,LBAC776
Reinforced Miners' Bag,BACK\hydralizer.txt,,,162,1000000,0,45,93,5559,248,579,16,10,451,35,,,,31,120,,,,25,1300,,14,35,75,,25,23,,,,,,708,,24,,LBAC102
Black Succubus Wing,BACK\back_F08100.txt,,7,163,1200,0,20,16,2712,248,579,,,,,,,,,,,,,23,70,,,,50,,5,7,,,,,,,,,,LBAC810
Black Butterfly Wing,BACK\back_F08110.txt,,7,163,1200,0,20,16,2711,248,579,,,,,,,,,,,,,23,70,,,,50,,4,9,,,,,,,,,,LBAC811
Pink Cross Backshield,BACK\back_F08120.txt,,7,161,1000,0,30,16,3077,248,579,,,,,,,,,,,,,38,100,,18,8,50,,45,15,,,,,,,,,,LBAC812
Brown Bunny Bag,BACK\back_F0813.txt,,6,162,1000,0,5,16,4791,248,579,93,1,1832,1,,,,,,,,,,,,,,50,10,15,10,,,,,,,,,,LBAC813
Blue Cross Backshield,BACK\back_F0814.txt,,6,161,1000,0,30,16,693,248,579,,,,,,,,,,,,,38,100,,18,8,50,,1,1,,,,,,,,,,LBAC814
Pink Sereph Wings,BACK\back_F0815.txt,,6,163,1000,0,2,16,2717,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC815
Astronaut Pack,BACK\back_F0816.txt,,6,162,1000,0,30,16,3108,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC816
White Bear Bag,BACK\back_F0817.txt,,6,162,1000,0,20,16,2775,248,579,,,,,,,,,,,,,,,,,,50,,1,1,,,,,,,,,,LBAC817
Green Cross Backshield,BACK\back_F0818.txt,,6,161,1000,0,30,16,691,248,579,,,,,,,,,,,,,38,100,,18,8,50,,1,1,,,,,,,,,,LBAC818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Ribbon,BACK\back_fashion_wing010.txt,,,160,10000,0,18,10,4486,248,579,,,,,,,,,,,,,23,30,,,,50,3,0,0,,,,,,,,,,LBAC820
Rainbow Wings,BACK\back_fashion_wing013.txt,,7,163,10000,0,18,10,6516,248,579,,,,,,,,,,,,,23,75,,,,30,,35,30,,,,,,,,,,LBAC821
Gabriel Wings,BACK\back_fashion_wing015.txt,,7,163,10000,0,18,10,6529,248,579,,,,,,,,,,,,,23,75,,,,30,,35,30,,,,,,,,,,LBAC822
Blue Gabriel Wings,BACK\back_fashion_wing017.txt,,7,163,10000,0,18,10,6542,248,579,,,,,,,,,,,,,23,75,,,,30,,35,30,,,,,,,,,,LBAC823
Pink Cupid Wings,BACK\yunmao_wing_pink.txt,BACK\yunmao_wing_pink.txt,6,163,1200,0,2,10,8232,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC824
Little Blue Astarot Wings,BACK\small_wing10.txt,BACK\small_wing10.txt,6,163,1200,0,20,100,4278,248,579,,,,100,,,,,,,,,23,90,,,,50,,10,19,,,,,,,,,,LBAC825
Little Pink Crow Wings,BACK\devil_mint_wing_black.txt,BACK\devil_mint_wing_black.txt,,163,5000,0,16,20,4279,248,579,,,,,,,,31,20,,,,23,60,,14,4,50,,9,4,,,,,,,,,,LBAC826
Blue Crow Wings,BACK\devil_mint_wing_0510_ble_waka.txt,BACK\devil_mint_wing_0510_ble_waka.txt,,163,5000,0,16,20,4280,248,579,,,,,,,,31,20,,,,23,60,,14,4,50,,9,4,,,,,,,,,,LBAC827
Pink Angel Wings,BACK\angel_wing_pink.txt,BACK\angel_wing_pink.txt,6,163,1000,0,2,10,4281,,579,,,,,,,,,,,,,23,60,,14,8,50,,8,11,,,,,,,,,,LBAC828
Ghost Backpack,BACK\haigorei_1001_ka.txt,BACK\haigorei_1001_ka.txt,,162,0,0,0,10,4282,248,579,,,,,,,,,,,,,23,30,,,,50,,1,3,,,,,,,,,,LBAC829
Alice's Rabbit Bag,BACK\AliceRabbit_0510_ka.txt,BACK\AliceRabbit_0510_ka.txt,6,162,1000,0,5,15,4792,248,579,93,1,1832,1,,,,,,,,,,,,,,50,10,15,10,,,,,,,,,,LBAC830
Purple Bunny Bag,BACK\back_F0826.txt,,6,162,1000,0,5,15,4793,248,579,93,1,1832,1,,,,,,,,,,,,,,50,10,15,10,,,,,,,,,,LBAC831
White Bunny Bag,BACK\BACK_BUNNY_BACKPACK01.txt,,6,162,1000,0,5,15,4794,248,579,,,,,,,,,,,,,,,,,,50,,15,10,,,,,,,,,,LBAC832
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wings Fixed Craft Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hook Wing,BACK\Hookerwing.txt,,,163,136000,0,20,76,5360,248,579,16,9,446,30,,,,31,146,,,,23,70,,24,5,65,,14,19,,,,,,,,,,LBAC50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Hook Wings,BACK\Hookwing.txt,,,163,189000,0,25,76,5361,248,579,16,9,447,35,,,,31,146,,,,23,100,,24,10,65,,19,24,,,,,,,,,,LBAC53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archangel Wings,BACK\back_wing99.txt,,,163,283000,0,38,66,788,248,579,16,10,395,50,,,,31,148,,,,23,110,,21,25,67,,19,29,0,,,,,,,,,LBAC441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archdevil Wings,BACK\back_wing98.txt,,,163,283000,0,38,66,791,248,579,16,10,396,50,,,,31,148,,,,23,110,,19,25,67,,19,29,0,,,,,,,,,LBAC442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen Archangel Wings,BACK\frozenaaw.txt,,,163,400000,0,38,66,696,248,579,16,11,401,50,,,,31,181,,,,23,165,,20,30,67,,30,54,0,,,,,,,,,LBAC436
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen Archdevil Wings,BACK\frozenadw.txt,,,163,400000,0,38,66,697,248,579,16,11,402,50,,,,31,181,,,,23,165,,20,30,67,,44,40,0,,,,,,,,,LBAC437
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damned Angel Wings,BACK\damned_aw.txt,,,163,1000000,0,40,93,5560,248,579,16,12,450,50,,,,31,185,,,,23,175,,62,30,75,,23,42,,,,,,,,,,LBAC101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor's Back Arms,BACK\robotArms.txt,0,,161,31450,0,10,29,4810,248,579,,,,,,,,31,180,,,,18,55,,24,21,45,13,173,128,,,,,,,,,,LBAC850
Snapper Shell,BACK\snapperShell.txt,0,,161,31450,0,10,29,4811,248,579,,,,,,,,31,180,,,,38,730,,19,200,45,13,307,77,,,,,,,,,,LBAC851
Spero's Wooden Keg Pack,BACK\SperosWoodenKegPack.txt,0,6,162,31450,0,10,33,4812,248,579,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,714,,,,LBAC852
Doctor's Generator,BACK\doctors_generator.txt,0,6,161,31450,0,10,33,4813,248,579,,,,,,,,31,180,,,,,,,,,30,,28,39,,,,,,,,,,LBAC853
Millenium Backshield,BACK\millenium_backshield.txt,0,,161,31450,0,10,33,4814,248,579,,,,,,,,31,190,,,,19,20,,21,20,32,,36,36,,,,,,,,,,LBAC854
Mechanic's Generator,BACK\doctors_generator.txt,0,,161,31450,0,10,29,4815,248,579,,,,,,,,31,200,,,,,,,,,23,5,55,33,,,,,,,,,,LBAC855
Kriento's Wooden Keg Pack,BACK\SperosWoodenKegPack.txt,0,2,162,31450,0,10,29,4816,248,579,,,,,,,,31,200,,,,,,,,,23,5,55,33,,,,,,,,,,LBAC856
Millenium Backshield,BACK\millenium_backshield.txt,0,,161,31450,0,10,29,4817,248,579,,,,,,,,31,200,,,,38,850,,19,220,48,15,317,87,,,,,,,,,,LBAC857
Servant's Mantle,BACK\Follower_Cape01.txt,0,,161,31450,0,10,29,4818,248,579,,,,,,,,31,210,,,,,,,,,23,10,100,120,,,,,,,,,,LBAC858
Vassal's Mantle,BACK\Follower_Cape02.txt,0,,161,31450,0,10,29,4819,248,579,,,,,,,,31,210,,,,,,,,,23,10,120,100,,,,,,,,,,LBAC859
Dalping Backshield,BACK\back_darubin_1021_ka.txt,,,161,4500,0,20,19,8812,248,579,,,,,,,,31,13,,,,21,10,,,,35,,2,3,,,,,,,,,,LBAC860
Jet Boost Unlit,BACK\SperosWoodenKegPack.txt,0,6,162,31450,0,10,33,4812,248,579,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,LBAC861
Sacred Eucar Backshield,,,6,161,42000,0,10,50,10036,248,580,,,,,,,,31,110,,,,38,100,,39,100,60,,33,23,,,,,,,,,,LBAC862
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem Backshield,BACK\back_career_shield_002.txt,,,161,52001,0,30,55,3552,248,580,16,7,342,45,,,,31,126,,,,38,100,,18,5,63,,38,20,,,,,,,,,,LBAC187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribal Backshield,BACK\back_shield98.txt,,,161,259000,0,25,61,808,248,580,16,8,359,58,,,,31,132,,,,38,110,,18,4,74,,44,22,,,,,,,,,,LBAC582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanctuary Backshield,BACK\back_career_shield_003.txt,,,161,120102,0,30,66,3553,248,580,16,9,343,59,,,,31,157,,,,38,135,,18,8,80,,51,27,,,,,,,,,,LBAC188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlphos Gleaming Blades,BACK\back_shield_swords.txt,,,161,212550,0,20,83,8349,248,579,16,11,360,50,,,,31,184,,,,38,250,,18,10,75,,63,33,,,,,,,,,,LBAC875
Force Ring Backshield,BACK \force_ring.txt,,,161,1000000,0,45,93,5561,248,580,16,12,449,50,,,,31,200,,,,38,150,,20,15,75,,64,32,,,,,,,,,,LBAC100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lala Power Wing,BACK\back_wing12.txt,,6,163,1292,0,10,66,7236,248,579,,,,,,,,31,125,,,,23,90,,20,20,77,,13,19,,,,,,,,,,LBAC880
Iced Worm Dragon Wing,BACK\back_wing06.txt,,,163,81700,0,20,54,7272,248,579,16,10,490,40,,,,31,88,,,,23,90,,24,5,75,,16,21,,,,,,,,,,LBAC881
Iced Damned Angel Wings,BACK\damned_aw.txt,,,163,1000000,0,40,93,7285,248,579,16,10,491,40,,,,31,135,,,,23,90,,24,5,75,,21,26,,,,,,,,,,LBAC882
Iced Lizard Backshield,BACK\back_shield08.txt,,,161,40000,0,40,46,7298,248,580,16,10,492,40,,,,31,74,,,,38,125,,24,10,75,,29,15,,,,,,,,,,LBAC883
Iced Antares Backshield,BACK\back_shield99.txt,,,161,458600,0,50,68,7311,248,580,16,10,493,40,,,,31,164,,,,38,165,,24,10,75,,59,33,,,,,,,,,,LBAC884
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaman Backshield,BACK \BACK_CAREER_SHIELD016.txt,,,161,182550,0,20,70,8569,248,580,,,,,,,,31,155,,,,38,140,,12,8,75,,30,48,,,,,,,,,,LBAC886
Light Wing Test,,,,161,1000000,0,45,93,8569,248,580,,,,,,,,,,,,,,,,,,75,,64,32,,,,,,705,,,,LBAC887
Blue Cupid Wing,,,6,163,1200,0,2,10,4526,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC888
Yellow Cupid Wing,,,6,163,1200,0,2,10,4527,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC889
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominant Blue Symbol,BACK\back_shade01.txt,,,159,512000,0,40,65,7748,248,579,,,,,,,,31,170,,,,27,35,,18,15,60,,8,10,,,,,,,,,,LBAC891
Dominant Yellow Symbol,BACK\back_shade02.txt,,,159,512000,0,40,65,7749,248,579,,,,,,,,31,170,,,,27,35,,24,15,60,,8,10,,,,,,,,,,LBAC892
Prophetic Light Crest,BACK\back_shade03.txt,,,159,620000,0,40,65,7750,248,579,,,,,,,,31,172,,,,27,35,,38,400,60,,8,10,,,,,,,,,,LBAC893
Ominous Light Crest,BACK\back_shade04.txt,,,159,620000,0,40,65,7751,248,579,,,,,,,,31,172,,,,27,35,,20,15,60,,8,10,,,,,,,,,,LBAC894
Purifying Crecent Light,BACK\back_shade05.txt,,,159,650000,0,40,66,7752,248,579,,,,,,,,31,175,,,,27,40,,22,10,60,,10,12,,,,,,,3796,,,LBAC895
Tainting Crecent Light,BACK\back_shade06.txt,,,159,650000,0,40,66,7753,248,579,,,,,,,,31,175,,,,27,70,,22,5,60,,10,12,,,,,,,3797,,,LBAC896
Sunrise Shade Symbol,BACK\back_shade07.txt,,,159,680000,0,40,66,7754,248,579,,,,,,,,31,200,,,,,,,,,65,,10,10,,,,,,,,,,LBAC897
Sunset Shade Symbol,BACK\back_shade08.txt,,,159,680000,0,40,66,7755,248,579,,,,,,,,31,200,,,,,,,,,65,,10,10,,,,,,,,,,LBAC898
Illusive Shade Symbol,BACK\back_shade09.txt,,,159,750000,0,40,68,7756,248,579,,,,,,,,31,220,,,,,,,,,67,,10,10,,,,,,,,,,LBAC899
Dimensions Symbol,BACK\back_shade10.txt,,,159,750000,0,40,68,7757,248,579,,,,,,,,31,220,,,,,,,,,67,,10,10,,,,,,,,,,LBAC900
more shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Cupid Wing,,,6,163,1200,0,2,10,9153,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC911
Orange Cupid Wing,,,6,163,1200,0,2,10,9154,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC912
Purple Cupid Wing,,,6,163,1200,0,2,10,9155,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC913
Sea Cupid Wing,,,6,163,1200,0,2,10,9156,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC914
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halloween Ripped Cape,BACK\champ_hunter_back_burgundy_20231221.txt,,6,160,1000,0,1,38,9850,248,579,,,,,,,,,,,,,,,,,,30,,10,10,,,,,,,,,,LBAC916
Ember Cupid Wing,BACK\yunmao_wing.txt,,6,163,1200,0,2,10,10115,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC917
Emerald Cupid Wing,BACK\yunmao_wing.txt,,6,163,1200,0,2,10,10116,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC918
Lime Cupid Wing,BACK\yunmao_wing.txt,,6,163,1200,0,2,10,10117,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC919
Sapphire Cupid Wing,BACK\yunmao_wing.txt,,6,163,1200,0,2,10,10118,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC920
Sunlight Cupid Wing,BACK\yunmao_wing.txt,,6,163,1200,0,2,10,10119,248,579,,,,,,,,,,,,,23,45,,,,50,,3,7,,,,,,,,,,LBAC921
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
