,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability Type,Break IDX,,,Arms Type,Hide Player,Scaling,Preview,Expire,Prefix,Show Back,
,,,,,,,,,,246,580,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,246,580,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,246,580,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,246,580,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,246,580,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,246,580,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,246,580,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
????????????B,,3,,551,204100,0,5,30,2256,246,580,,1,,,21,30,,,,,,,19,4,,,,25,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
????????????,,3,,551,,,5,32,2257,246,580,,1,,,21,32,,,,,,,19,5,,,,26,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??????????,,3,,551,,,5,34,2258,246,580,,2,,,21,34,,,,,,,19,6,,,,27,,,, ,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,36,2259,246,580,,2,,,21,36,,,,,,,19,6,,,,27,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,38,2260,246,580,,3,,,21,38,,,,,,,19,7,,,,28,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,40,,246,580,,3,,,21,40,,,,,,,19,8,,,,29,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,42,,246,580,,4,,,21,42,,,,,,,19,9,,,,30,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,44,,246,580,,4,,,21,44,,,,,,,19,10,,,,30,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,46,,246,580,,4,,,21,46,,,,,,,19,10,,,,31,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,48,,246,580,,5,,,21,48,,,,,,,19,11,,,,32,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle Launcher,3Ddata\PAT\CART\ABILITY\cart01_ability05.txt,4,,551,94400,,15,55,2250,246,580,,,,150,21,30,,,,,,,,,,,,34,,,3, ,,3000,100,7,,,8,261,,,,,,,,,,,705,,125,191,,,,,,,,,,,7,,,,0,,1,,103,,,2186,,,,LPAT312
Battle Machine Gun,3Ddata\PAT\CART\ABILITY\cart01_ability06.txt,4,,551,105800,,15,60,2249,246,580,,,,170,21,35,,,,,,,,,,,,36,,,5, ,,2000,200,7,,,9,261,,,,,,,,,,,705,,125,286,,,,,,,,,,,7,,,,0,,1,,104,,,2186,,,,LPAT311
,,3,,551,,,5,54,,246,580,,6,,,21,54,,,,,,,19,14,,,,34,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,56,,246,580,,6,,,21,56,,,,,,,19,14,,,,35,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,58,,246,580,,6,,,21,58,,,,,,,19,15,,,,35,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,60,,246,580,,7,,,21,60,,,,,,,19,16,,,,36,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,62,,246,580,,7,,,21,62,,,,,,,19,17,,,,37,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,64,,246,580,,7,,,21,64,,,,,,,19,18,,,,37,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,66,,246,580,,8,,,21,66,,,,,,,19,18,,,,38,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,68,,246,580,,8,,,21,68,,,,,,,19,19,,,,39,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.I.G Balloon,3Ddata\PAT\CART\ABILITY\cart01_ability10.txt,3,6,541,0,0,5,30,2241,246,580,,,,,21,30,,,,,,,19,5,,21,5,30,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,0,,1,,,,,2186,,,,LPAT321
Butterfly Wing Test,,3,6,541,0,0,5,30,2241,246,580,,,,,21,30,,,,,,,19,5,,21,5,30,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,1270,1271,,,,,,,,,,0,,1,,,,,2186,,,,LPAT322
P.I.G Balloon Preview,,3,,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,76,,246,580,,9,,,21,76,,,,,,,19,22,,,,42,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,78,,246,580,,9,,,21,78,,,,,,,19,23,,,,42,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,80,,246,580,,9,,,21,80,,,,,,,19,24,,,,43,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,82,,246,580,,10,,,21,82,,,,,,,19,25,,,,44,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,551,,,5,84,,246,580,,10,,,21,84,,,,,,,19,26,,,,45,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Drill Arms,,4,,603,850489,0,30,50,4025,246,580,22,3,1087,78,31,30,,,,,,,,,,,,48,,,2, ,,350,22,10,,,1,261,,,,,,,,,,131,704,99,125,,0,0,0,0,69,69,0,0,69,69,,,,,,,2,,0,,,2188,,,,LPAT329
Wooden Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear01_ARM01.txt,4,,552,423500,0,30,40,5418,246,580,22,1,1081,50,31,30,,,,,,,18,40,,26,20,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT330
Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,2269,246,580,22,1,1081,50,31,30,,,,,,,18,60,,26,25,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT331
Drill Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM02R.txt,4,,552,499200,0,30,50,2270,246,580,22,1,1082,54,31,30,,,,,,,18,70,,26,30,48,,,4, ,,350,400,10,,,1,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT332
Sword Wheel Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM03R.txt,4,,552,551400,0,30,65,2271,246,580,22,2,1083,59,31,30,,,,,,,18,80,,26,35,50,,,5, ,,300,430,11,,,2,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT333
Cannon Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM04R.txt,4,,552,585700,0,30,60,2272,246,580,22,2,1084,64,31,30,,,,,,,18,90,,26,40,46,,,6, ,,3300,440,12,,,3,261,,,,,,,,,,,705,,125,191,,,,,,,,,,,8,,,,,,2,,0,,,2188,,,,LPAT334
Spear Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM05R.txt,4,,552,604200,0,30,55,2273,246,580,22,2,1085,68,31,30,,,,,,,18,100,,26,45,54,,,5, ,,600,410,10,,,4,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT335
Black Wooden Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5486,246,580,91,1,1753,1,31,30,,,,,,,18,40,,26,20,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT336
Blue Wooden Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5487,246,580,91,1,1754,1,31,30,,,,,,,18,40,,26,20,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT337
Green Wooden Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5488,246,580,91,1,1755,1,31,30,,,,,,,18,40,,26,20,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT338
Pink Wooden Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5489,246,580,91,1,1756,1,31,30,,,,,,,18,40,,26,20,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT339
Purple Wooden Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5490,246,580,91,1,1757,1,31,30,,,,,,,18,40,,26,20,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT340
Red Wooden Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5491,246,580,91,1,1758,1,31,30,,,,,,,18,40,,26,20,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT341
White Wooden Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5492,246,580,91,1,1759,1,31,30,,,,,,,18,40,,26,20,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT342
Yellow Wooden Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5493,246,580,91,1,1760,1,31,30,,,,,,,18,40,,26,20,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT343
Black Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5499,246,580,91,1,1762,1,31,30,,,,,,,18,60,,26,25,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT344
Blue Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5500,246,580,91,1,1763,1,31,30,,,,,,,18,60,,26,25,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT345
Green Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5501,246,580,91,1,1764,1,31,30,,,,,,,18,60,,26,25,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT346
Pink Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5502,246,580,91,1,1765,1,31,30,,,,,,,18,60,,26,25,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT347
Purple Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5503,246,580,91,1,1766,1,31,30,,,,,,,18,60,,26,25,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT348
Red Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5504,246,580,91,1,1767,1,31,30,,,,,,,18,60,,26,25,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT349
White Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5505,246,580,91,1,1768,1,31,30,,,,,,,18,60,,26,25,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT350
Yellow Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM01.txt,4,,552,423500,0,30,40,5506,246,580,91,1,1769,1,31,30,,,,,,,18,60,,26,25,52,,,3, ,,300,350,9,,,0,261,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT351
Black Sword Wheel Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM03R.txt,4,,552,551400,0,30,65,2271,246,580,91,1,1771,1,31,30,,,,,,,18,80,,26,35,50,,,5, ,,300,430,11,,,2,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,108,,,2188,,,,LPAT352
Blue Sword Wheel Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM03R.txt,4,,552,551400,0,30,65,2271,246,580,91,1,1772,1,31,30,,,,,,,18,80,,26,35,50,,,5, ,,300,430,11,,,2,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,108,,,2188,,,,LPAT353
Green Sword Wheel Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM03R.txt,4,,552,551400,0,30,65,2271,246,580,91,1,1773,1,31,30,,,,,,,18,80,,26,35,50,,,5, ,,300,430,11,,,2,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,108,,,2188,,,,LPAT354
Pink Sword Wheel Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM03R.txt,4,,552,551400,0,30,65,2271,246,580,91,1,1774,1,31,30,,,,,,,18,80,,26,35,50,,,5, ,,300,430,11,,,2,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,108,,,2188,,,,LPAT355
Purple Sword Wheel Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM03R.txt,4,,552,551400,0,30,65,2271,246,580,91,1,1775,1,31,30,,,,,,,18,80,,26,35,50,,,5, ,,300,430,11,,,2,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,108,,,2188,,,,LPAT356
Red Sword Wheel Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM03R.txt,4,,552,551400,0,30,65,2271,246,580,91,1,1776,1,31,30,,,,,,,18,80,,26,35,50,,,5, ,,300,430,11,,,2,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,108,,,2188,,,,LPAT357
White Sword Wheel Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM03R.txt,4,,552,551400,0,30,65,2271,246,580,91,1,1777,1,31,30,,,,,,,18,80,,26,35,50,,,5, ,,300,430,11,,,2,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,108,,,2188,,,,LPAT358
Yellow Sword Wheel Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM03R.txt,4,,552,551400,0,30,65,2271,246,580,91,1,1778,1,31,30,,,,,,,18,80,,26,35,50,,,5, ,,300,430,11,,,2,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,108,,,2188,,,,LPAT359
Black Cannon Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM04R.txt,4,,552,585700,0,30,60,5525,246,580,91,1,1780,1,31,30,,,,,,,18,90,,26,40,46,,,6, ,,3300,440,12,,,3,261,,,,,,,,,,,705,,125,191,,,,,,,,,,,8,,,,,,2,,104,,,2188,,,,LPAT360
Blue Cannon Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM04R.txt,4,,552,585700,0,30,60,5526,246,580,91,1,1781,1,31,30,,,,,,,18,90,,26,40,46,,,6, ,,3300,440,12,,,3,261,,,,,,,,,,,705,,125,191,,,,,,,,,,,8,,,,,,2,,104,,,2188,,,,LPAT361
Green Cannon Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM04R.txt,4,,552,585700,0,30,60,5527,246,580,91,1,1782,1,31,30,,,,,,,18,90,,26,40,46,,,6, ,,3300,440,12,,,3,261,,,,,,,,,,,705,,125,191,,,,,,,,,,,8,,,,,,2,,104,,,2188,,,,LPAT362
Pink Cannon Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM04R.txt,4,,552,585700,0,30,60,5528,246,580,91,1,1783,1,31,30,,,,,,,18,90,,26,40,46,,,6, ,,3300,440,12,,,3,261,,,,,,,,,,,705,,125,191,,,,,,,,,,,8,,,,,,2,,104,,,2188,,,,LPAT363
Purple Cannon Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM04R.txt,4,,552,585700,0,30,60,5529,246,580,91,1,1784,1,31,30,,,,,,,18,90,,26,40,46,,,6, ,,3300,440,12,,,3,261,,,,,,,,,,,705,,125,191,,,,,,,,,,,8,,,,,,2,,104,,,2188,,,,LPAT364
Red Cannon Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM04R.txt,4,,552,585700,0,30,60,5530,246,580,91,1,1785,1,31,30,,,,,,,18,90,,26,40,46,,,6, ,,3300,440,12,,,3,261,,,,,,,,,,,705,,125,191,,,,,,,,,,,8,,,,,,2,,104,,,2188,,,,LPAT365
White Cannon Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM04R.txt,4,,552,585700,0,30,60,5531,246,580,91,1,1786,1,31,30,,,,,,,18,90,,26,40,46,,,6, ,,3300,440,12,,,3,261,,,,,,,,,,,705,,125,191,,,,,,,,,,,8,,,,,,2,,104,,,2188,,,,LPAT366
Yellow Cannon Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM04R.txt,4,,552,585700,0,30,60,5532,246,580,91,1,1787,1,31,30,,,,,,,18,90,,26,40,46,,,6, ,,3300,440,12,,,3,261,,,,,,,,,,,705,,125,191,,,,,,,,,,,8,,,,,,2,,104,,,2188,,,,LPAT367
Black Spear Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM05R.txt,4,,552,604200,0,30,55,5538,246,580,91,1,1789,1,31,30,,,,,,,18,100,,26,45,54,,,5, ,,600,410,10,,,4,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,101,,,2188,,,,LPAT368
Blue Spear Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM05R.txt,4,,552,604200,0,30,55,5539,246,580,91,1,1790,1,31,30,,,,,,,18,100,,26,45,54,,,5, ,,600,410,10,,,4,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,101,,,2188,,,,LPAT369
Green Spear Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM05R.txt,4,,552,604200,0,30,55,5540,246,580,91,1,1791,1,31,30,,,,,,,18,100,,26,45,54,,,5, ,,600,410,10,,,4,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,101,,,2188,,,,LPAT370
Pink Spear Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM05R.txt,4,,552,604200,0,30,55,5541,246,580,91,1,1792,1,31,30,,,,,,,18,100,,26,45,54,,,5, ,,600,410,10,,,4,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,101,,,2188,,,,LPAT371
Purple Spear Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM05R.txt,4,,552,604200,0,30,55,5542,246,580,91,1,1793,1,31,30,,,,,,,18,100,,26,45,54,,,5, ,,600,410,10,,,4,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,101,,,2188,,,,LPAT372
Red Spear Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM05R.txt,4,,552,604200,0,30,55,5543,246,580,91,1,1794,1,31,30,,,,,,,18,100,,26,45,54,,,5, ,,600,410,10,,,4,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,101,,,2188,,,,LPAT373
White Spear Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM05R.txt,4,,552,604200,0,30,55,5544,246,580,91,1,1795,1,31,30,,,,,,,18,100,,26,45,54,,,5, ,,600,410,10,,,4,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,101,,,2188,,,,LPAT374
Yellow Spear Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM05R.txt,4,,552,604200,0,30,55,5545,246,580,91,1,1796,1,31,30,,,,,,,18,100,,26,45,54,,,5, ,,600,410,10,,,4,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,101,,,2188,,,,LPAT375
Black Drill Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM02R.txt,4,,552,499200,0,30,50,5512,246,580,91,1,1798,1,31,30,,,,,,,18,70,,26,30,48,,,4, ,,350,400,10,,,1,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,107,,,2188,,,,LPAT376
Blue Drill Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM02R.txt,4,,552,499200,0,30,50,5513,246,580,91,1,1799,1,31,30,,,,,,,18,70,,26,30,48,,,4, ,,350,400,10,,,1,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,107,,,2188,,,,LPAT377
Green Drill Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM02R.txt,4,,552,499200,0,30,50,5514,246,580,91,1,1800,1,31,30,,,,,,,18,70,,26,30,48,,,4, ,,350,400,10,,,1,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,107,,,2188,,,,LPAT378
Pink Drill Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM02R.txt,4,,552,499200,0,30,50,5515,246,580,91,1,1801,1,31,30,,,,,,,18,70,,26,30,48,,,4, ,,350,400,10,,,1,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,107,,,2188,,,,LPAT379
Purple Drill Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM02R.txt,4,,552,499200,0,30,50,5516,246,580,91,1,1802,1,31,30,,,,,,,18,70,,26,30,48,,,4, ,,350,400,10,,,1,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,107,,,2188,,,,LPAT380
Red Drill Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM02R.txt,4,,552,499200,0,30,50,5517,246,580,91,1,1803,1,31,30,,,,,,,18,70,,26,30,48,,,4, ,,350,400,10,,,1,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,107,,,2188,,,,LPAT381
White Drill Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM02R.txt,4,,552,499200,0,30,50,5518,246,580,91,1,1804,1,31,30,,,,,,,18,70,,26,30,48,,,4, ,,350,400,10,,,1,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,107,,,2188,,,,LPAT382
Yellow Drill Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_ARM02R.txt,4,,552,499200,0,30,50,5519,246,580,91,1,1805,1,31,30,,,,,,,18,70,,26,30,48,,,4, ,,350,400,10,,,1,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,107,,,2188,,,,LPAT383
Oro Black Arms,3Ddata\PAT\CastleGear\CastleGear15\ARMS\CGA_F02420.txt,4,,552,499200,0,30,50,5551,246,580,91,1,1807,1,31,35,,,,,,,18,180,,26,50,73,,,3, ,,300,350,9,,,0,,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT384
Oro Blue Arms,3Ddata\PAT\CastleGear\CastleGear15\ARMS\CGA_F02420.txt,4,,552,499200,0,30,50,5552,246,580,91,1,1808,1,31,35,,,,,,,18,180,,26,50,73,,,3, ,,300,350,9,,,0,,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT385
Oro Green Arms,3Ddata\PAT\CastleGear\CastleGear15\ARMS\CGA_F02420.txt,4,,552,499200,0,30,50,5553,246,580,91,1,1809,1,31,35,,,,,,,18,180,,26,50,73,,,3, ,,300,350,9,,,0,,,,,,,,,,,131,702,520,125,,,,,,,,,,,,,,,,,,2,,0,,,2188,,,,LPAT386
