,,(0-10),(1-99),(0-2),(0-..),(1-200),(0-9),(0-20),(0-999),"(0,1)",,,(1~100%),(0-200),0:???????? 1: ???????? 2:???????? 3:????????,(????????),(0-999),(????????),(0-999),(0-63),Ability,Ability Amount,(-100~150),"-??????,",(-100-500),(-100~150),,,0:???????? 1:???????? 2:???????? 3:????????,(????????????),[  OR???? ],-?????? ????????,???? ????????-,,(????????),[OR????],-??????????,????????-,(1????????????),(0-9),- ?????? ??????,???? ???????? -,(1????????????),(0-9),(??????????),(1-250),- ?????? ??????,???? ?????????? -,(????????????),,(1-999),(????????????),100=????,,(1~ ),(??????????????),(????????????????),(??????????),(??????????????),(????????????????),(??????????),(??????????????),(????????????????),(??????????),(??????????????),(????????????????),(??????????),(????????),100=????,(???????? ??????),(????????????????),(????????????????),(??????????),74,75,76,77,78,79,80,81,82,83,84,Zulie (85),Learn Bypass,Skill Tree,Buff Summon,Clan Skill Timer,(??????????)
Screw Attack,1591,7,55,1,3,520,5,,175,1,21,,58,20,1,17,65,,,56,19,30,16,,,,,,2,251,252,580,,,,,,,1421,12,,,,,,,,,,,130,111,100,131,,1031,999,131,,,,,,,,,,93,100,1,,,,110,999,137,,,,,,,,,,,,,,LSkill1591
Screw Attack,1591,8,66,1,3,540,5,,190,1,21,,60,20,1,17,70,,,57,19,30,17,,,,,,2,251,252,580,,,,,,,1421,13,,,,,,,,,,,130,111,100,131,,1031,999,131,,,,,,,,,,93,100,1,,,,110,999,137,,,,,,,,,,,,,,LSkill1591
Screw Attack,1591,9,79,1,3,560,5,,205,1,21,,64,20,1,17,75,,,58,19,30,18,,,,,,2,251,252,580,,,,,,,1421,14,,,,,,,,,,,130,111,100,131,,1031,999,131,,,,,,,,,,93,100,1,,,,110,999,137,,,,,,,,,,,,,,LSkill1591
Screw Attack,1591,10,94,1,3,580,5,,230,1,21,,68,20,1,17,85,,,59,19,30,20,,,,,,2,251,252,580,,,,,,,1421,15,,,,,,,,,,,130,111,100,131,,1031,999,131,,,,,,,,,,93,100,1,,,,110,999,137,,,,,,,,,,,,,,LSkill1591
Heart Hit,1601,1,20,1,6,2200,5,,80,1,17,,35,15,2,17,40,,,50,24,,30,,,,,,2,,,,,,43,,,,1461,7,1451,5,,,,,,,,,132,111,100,131,,1031,999,131,,,,1662,999,,,,,216,100,1,277,3,,1067,999,67,,,,,,,,,,,1,,,LSkill1601
Heart Hit,1601,2,25,1,6,2230,5,,95,1,17,,38,15,2,17,43,,,52,24,,33,,,,,,2,,,,,,,,,,1461,8,,,,,,,,,,,132,111,100,131,,1031,999,131,,,,1662,999,,,,,216,100,1,277,3,,1067,999,67,,,,,,,,,,,,,,LSkill1601
Heart Hit,1601,3,31,1,6,2260,5,,110,1,17,,41,16,2,17,46,,,54,24,,36,,,,,,2,,,,,,,,,,1461,9,,,,,,,,,,,132,111,100,131,,1031,999,131,,,,1662,999,,,,,216,100,1,277,3,,1067,999,67,,,,,,,,,,,,,,LSkill1601
Heart Hit,1601,4,38,1,6,2290,5,,125,1,17,,44,16,2,17,49,,,56,24,,39,,,,,,2,,,,,,,,,,1461,10,,,,,,,,,,,132,111,100,131,,1031,999,131,,,,1662,999,,,,,216,100,1,277,3,,1067,999,67,,,,,,,,,,,,,,LSkill1601
Heart Hit,1601,5,46,1,6,2320,5,,140,1,17,,47,17,2,17,52,,,58,24,,42,,,,,,2,,,,,,,,,,,,,,,,,,,,,,132,111,100,131,,1031,999,131,,,,1662,999,,,,,216,100,1,277,3,,1067,999,67,,,,,,,,,,,,,,LSkill1601
Heart Hit,1601,6,54,1,6,2350,5,,155,1,17,,51,17,2,17,55,,,60,24,,45,,,,,,2,,,,,,,,,,1461,11,,,,,,,,,,,132,111,100,131,,1031,999,131,,,,1662,999,,,,,216,100,1,277,3,,1067,999,67,,,,,,,,,,,,,,LSkill1601
Heart Hit,1601,7,64,1,6,2380,5,,170,1,17,,56,18,2,17,58,,,62,24,,48,,,,,,2,,,,,,,,,,1461,12,,,,,,,,,,,132,111,100,131,,1031,999,131,,,,1662,999,,,,,216,100,1,277,3,,1067,999,67,,,,,,,,,,,,,,LSkill1601
Heart Hit,1601,8,75,1,6,2410,5,,185,1,17,,59,18,2,17,61,,,64,24,,51,,,,,,2,,,,,,,,,,1461,13,,,,,,,,,,,132,111,100,131,,1031,999,131,,,,1662,999,,,,,216,100,1,277,3,,1067,999,67,,,,,,,,,,,,,,LSkill1601
Heart Hit,1601,9,88,1,6,2440,5,,200,1,17,,63,19,2,17,64,,,66,24,,54,,,,,,2,,,,,,,,,,1461,14,,,,,,,,,,,132,111,100,131,,1031,999,131,,,,1662,999,,,,,216,100,1,277,3,,1067,999,67,,,,,,,,,,,,,,LSkill1601
Heart Hit,1601,10,103,1,6,2600,5,,220,1,17,,67,20,2,17,70,,,68,24,,60,,,,,,2,,,,,,,,,,1461,15,,,,,,,,,,,132,111,100,131,,1031,999,131,,,,1662,999,,,,,216,100,1,277,3,,1067,999,67,,,,,,,,,,,,,,LSkill1601
Primer Hit,1611,1,40,1,3,400,5,,220,1,,,,,1,17,70,,,70,,,,,,,,,1,251,252,580,,,65,,,,1591,10,,,,,,,,,,,216,111,90,131,,1031,999,131,,,,,,,,,,93,100,1,,,,1666,999,137,1665,999,137,,,,,,,,1,,,LSkill1611
Primer Hit,1611,2,46,1,3,420,5,,242,1,,,,,1,17,75,,,72,,,,,,,,,1,251,252,580,,,,,,,,,,,,,,,,,,,216,111,88,131,,1031,999,131,,,,,,,,,,93,100,1,,,,1666,999,137,1665,999,137,,,,,,,,,,,LSkill1611
Primer Hit,1611,3,53,1,3,440,5,,264,1,,,,,1,17,80,,,74,,,,,,,,,1,251,252,580,,,,,,,,,,,,,,,,,,,216,111,86,131,,1031,999,131,,,,,,,,,,93,100,1,,,,1666,999,137,1665,999,137,,,,,,,,,,,LSkill1611
Primer Hit,1611,4,61,1,3,460,5,,286,1,,,,,1,17,85,,,76,,,,,,,,,1,251,252,580,,,,,,,,,,,,,,,,,,,216,111,84,131,,1031,999,131,,,,,,,,,,93,100,1,,,,1666,999,137,1665,999,137,,,,,,,,,,,LSkill1611
Primer Hit,1611,5,70,1,3,480,5,,310,1,,,,,1,17,90,,,78,,,,,,,,,1,251,252,580,,,,,,,,,,,,,,,,,,,216,111,82,131,,1031,999,131,,,,,,,,,,93,100,1,,,,1666,999,137,1665,999,137,,,,,,,,,,,LSkill1611
Primer Hit,1611,6,80,1,3,500,5,,334,1,,,,,1,17,95,,,80,,,,,,,,,1,251,252,580,,,,,,,,,,,,,,,,,,,216,111,80,131,,1031,999,131,,,,,,,,,,93,100,1,,,,1666,999,137,1665,999,137,,,,,,,,,,,LSkill1611
Primer Hit,1611,7,91,1,3,520,5,,358,1,,,,,1,17,100,,,82,,,,,,,,,1,251,252,580,,,,,,,,,,,,,,,,,,,216,111,78,131,,1031,999,131,,,,,,,,,,93,100,1,,,,1666,999,137,1665,999,137,,,,,,,,,,,LSkill1611
Primer Hit,1611,8,104,1,3,540,5,,382,1,,,,,1,17,106,,,84,,,,,,,,,1,251,252,580,,,,,,,,,,,,,,,,,,,216,111,76,131,,1031,999,131,,,,,,,,,,93,100,1,,,,1666,999,137,1665,999,137,,,,,,,,,,,LSkill1611
Primer Hit,1611,9,119,1,3,560,5,,406,1,,,,,1,17,112,,,86,,,,,,,,,1,251,252,580,,,,,,,,,,,,,,,,,,,216,111,74,131,,1031,999,131,,,,,,,,,,93,100,1,,,,1666,999,137,1665,999,137,,,,,,,,,,,LSkill1611
Primer Hit,1611,10,135,1,3,580,5,,440,1,,,,,1,17,120,,,88,,,,,,,,,1,251,252,580,,,,,,,,,,,,,,,,,,,216,111,72,131,,1031,999,131,,,,,,,,,,93,100,1,,,,1666,999,137,1665,999,137,,,,,,,,,,,LSkill1611
Poison Arrow,1621,1,30,1,6,,5,,60,1,10,,70,12,1,17,30,,,30,,,,,,,,,1,231,271,,,,66,,,,1401,10,1581,5,,,,,,,,,123,95,150,96,,1064,1,131,,,,,,,,,,97,150,1,296,1,148,1067,999,67,,,,,,,,,,,1,,,LSkill1621
Poison Arrow,1621,2,33,1,6,,5,,65,1,10,,72,13,1,17,32,,,31,,,,,,,,,1,231,271,,,,,,,,1401,11,,,,,,,,,,,123,95,150,96,,1064,1,131,,,,,,,,,,97,150,1,296,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1621
Poison Arrow,1621,3,37,1,6,,5,,70,1,10,,74,14,1,17,34,,,32,,,,,,,,,1,231,271,,,,,,,,1401,12,,,,,,,,,,,123,95,150,96,,1064,1,131,,,,,,,,,,97,150,1,296,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1621
Poison Arrow,1621,4,41,1,6,,5,,75,1,10,,76,15,1,17,36,,,33,,,,,,,,,1,231,271,,,,,,,,1401,13,,,,,,,,,,,123,95,150,96,,1064,1,131,,,,,,,,,,97,150,1,296,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1621
Poison Arrow,1621,5,45,1,6,,5,,85,1,10,,78,16,1,17,38,,,34,,,,,,,,,1,231,271,,,,,,,,1401,14,,,,,,,,,,,123,95,150,96,,1064,1,131,,,,,,,,,,97,150,1,296,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1621
Poison Arrow,1621,6,50,1,6,,5,,90,1,10,,80,17,1,17,40,,,35,,,,,,,,,1,231,271,,,,,,,,1401,15,,,,,,,,,,,123,95,150,96,,1064,1,131,,,,,,,,,,97,150,1,296,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1621
Poison Arrow,1621,7,55,1,6,,5,,95,1,10,,82,18,1,17,42,,,36,,,,,,,,,1,231,271,,,,,,,,1401,16,,,,,,,,,,,123,95,150,96,,1064,1,131,,,,,,,,,,97,150,1,296,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1621
Poison Arrow,1621,8,60,1,6,,5,,105,1,10,,84,19,1,17,44,,,37,,,,,,,,,1,231,271,,,,,,,,1401,17,,,,,,,,,,,123,95,150,96,,1064,1,131,,,,,,,,,,97,150,1,296,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1621
Poison Arrow,1621,9,66,1,6,,5,,115,1,10,,86,20,1,17,46,,,38,,,,,,,,,1,231,271,,,,,,,,1401,18,,,,,,,,,,,123,95,150,96,,1064,1,131,,,,,,,,,,97,150,1,296,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1621
Poison Arrow,1621,10,72,1,6,,5,,125,1,10,,90,21,1,17,50,,,39,,,,,,,,,1,231,271,,,,,,,,1401,19,,,,,,,,,,,123,95,150,96,,1064,1,131,,,,,,,,,,97,150,1,296,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1621
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flame Hawk,1641,1,30,1,6,2600,5,,200,1,,,,,2,17,55,,,90,,,,,,,,,2,,,,,,43,,,,1461,10,1601,5,,,31,70,,,,,134,111,100,131,,1031,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,1,,,LSkill1641
Flame Hawk,1641,2,35,1,6,2750,5,,220,1,,,,,2,17,59,,,92,,,,,,,,,2,,,,,,,,,,1461,11,,,,,,,,,,,134,111,100,131,,1031,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
Flame Hawk,1641,3,41,1,6,2900,5,,240,1,,,,,2,17,63,,,94,,,,,,,,,2,,,,,,,,,,1461,12,,,,,,,,,,,134,111,100,131,,1031,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
Flame Hawk,1641,4,48,1,6,3050,5,,260,1,,,,,2,17,67,,,96,,,,,,,,,2,,,,,,,,,,1461,13,,,,,,,,,,,134,111,100,131,,1031,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
Flame Hawk,1641,5,56,1,6,3200,5,,280,1,,,,,2,17,71,,,98,,,,,,,,,2,,,,,,,,,,1461,14,,,,,,,,,,,134,111,100,131,,1031,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
Flame Hawk,1641,6,65,1,6,3350,5,,300,1,,,,,2,17,75,,,100,,,,,,,,,2,,,,,,,,,,1461,15,,,,,,,,,,,134,111,100,131,,1031,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
Flame Hawk,1641,7,75,1,6,3500,5,,320,1,,,,,2,17,80,,,102,,,,,,,,,2,,,,,,,,,,1461,16,,,,,,,,,,,134,111,100,131,,1031,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
Flame Hawk,1641,8,87,1,6,3650,5,,340,1,,,,,2,17,85,,,104,,,,,,,,,2,,,,,,,,,,1461,17,,,,,,,,,,,134,111,100,131,,1031,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
Flame Hawk,1641,9,100,1,6,3800,5,,365,1,,,,,2,17,90,,,106,,,,,,,,,2,,,,,,,,,,1461,18,,,,,,,,,,,134,111,100,131,,1031,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
Flame Hawk,1641,10,115,1,6,4000,5,,400,1,,,,,2,17,100,,,108,,,,,,,,,2,,,,,,,,,,1461,20,,,,,,,,,,,134,111,100,131,,1031,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
Flame Hawk,1641,11,122,1,6,4050,5,,410,1,,,,,2,17,110,,,109,,,,,,,,,2,,,,,,65,,,,1461,20,,,,,,,,,,,134,111,100,131,,1037,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
Flame Hawk,1641,12,134,1,6,4075,5,,420,1,,,,,2,17,115,,,110,,,,,,,,,2,,,,,,,,,,1461,20,,,,,,,,,,,134,111,100,131,,1037,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
Flame Hawk,1641,13,142,1,6,4100,5,,430,1,,,,,2,17,120,,,111,,,,,,,,,2,,,,,,,,,,1461,20,,,,,,,,,,,134,111,100,131,,1037,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
Flame Hawk,1641,14,156,1,6,4050,5,,440,1,,,,,2,17,125,,,112,,,,,,,,,2,,,,,,,,,,1461,20,,,,,,,,,,,134,111,100,131,,1037,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
Flame Hawk,1641,15,165,1,6,4200,5,,455,1,,,,,2,17,130,,,114,,,,,,,,,2,,,,,,,,,,1461,20,,,,,,,,,,,134,111,100,131,,1037,999,131,,,,,,,,,,216,100,1,278,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detect,1671,1,30,1,12,,5,1000,,,55,,,2,,17,30,,,30,,,,,,,,,2,,,,,,66,,,,1441,5,,,,,,,,,,,120,112,100,132,,1752,1,,1761,1,,1769,0,,1769,1,,151,100,,,,,,,,,,,,,,,,,,1,,,LSkill1671
Detect,1671,2,30,1,12,,5,2000,,,55,,,2,,17,40,,,25,,,,,,,,,2,,,,,,,,,,1441,6,,,,,,,,,,,120,112,100,132,,1752,1,,1761,1,,1769,0,,1769,1,,151,100,,,,,,,,,,,,,,,,,,,,,LSkill1671
Detect,1671,3,30,1,12,,5,3300,,,55,,,2,,17,50,,,20,,,,,,,,,2,,,,,,,,,,1441,7,,,,,,,,,,,120,112,100,132,,1752,1,,1761,1,,1769,0,,1769,1,,151,100,,,,,,,,,,,,,,,,,,,,,LSkill1671
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed Shot,1681,1,15,1,8,,0,,,,16,,,80,,17,30,,,225,24,30,,,,,,,2,231,271,,,,43,,,,1401,8,,,,,,,,,,,282,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,1,,,LSkill1681
Speed Shot,1681,2,18,1,8,,0,,,,16,,,82,,17,32,,,229,24,34,,,,,,,2,231,271,,,,,,,,1401,9,,,,,,,,,,,282,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1681
Speed Shot,1681,3,22,1,8,,0,,,,16,,,84,,17,34,,,234,24,38,,,,,,,2,231,271,,,,,,,,1401,10,,,,,,,,,,,282,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1681
Speed Shot,1681,4,27,1,8,,0,,,,16,,,86,,17,36,,,237,24,42,,,,,,,2,231,271,,,,,,,,1401,11,,,,,,,,,,,282,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1681
Speed Shot,1681,5,32,1,8,,0,,,,16,,,88,,17,38,,,244,24,46,,,,,,,2,231,271,,,,,,,,1401,12,,,,,,,,,,,282,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1681
Speed Shot,1681,6,39,1,8,,0,,,,16,,,90,,17,40,,,297,24,50,,,,,,,2,231,271,,,,,,,,1401,13,,,,,,,,,,,282,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1681
Speed Shot,1681,7,47,1,8,,0,,,,16,,,92,,17,42,,,302,24,54,,,,,,,2,231,271,,,,,,,,1401,14,,,,,,,,,,,282,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1681
Speed Shot,1681,8,56,1,8,,0,,,,16,,,94,,17,44,,,304,24,58,,,,,,,2,231,271,,,,,,,,1401,15,,,,,,,,,,,282,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1681
Speed Shot,1681,9,67,1,8,,0,,,,16,,,96,,17,46,,,306,24,62,,,,,,,2,231,271,,,,,,,,1401,16,,,,,,,,,,,282,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1681
Speed Shot,1681,10,80,1,8,,0,,,,16,,,100,,17,50,,,315,24,66,,,,,,,2,231,271,,,,,,,,1401,17,,,,,,,,,,,282,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1681
Sharp Arrowhead,1691,1,25,1,8,,0,,,,18,,,50,,17,30,,,225,18,26,,,,,,,2,231,271,,,,66,,,,1401,10,1681,5,,,,,,,,,217,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,1,,,LSkill1691
Sharp Arrowhead,1691,2,28,1,8,,0,,,,18,,,52,,17,32,,,229,18,30,,,,,,,2,231,271,,,,,,,,1401,11,,,,,,,,,,,217,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1691
Sharp Arrowhead,1691,3,31,1,8,,0,,,,18,,,54,,17,34,,,234,18,34,,,,,,,2,231,271,,,,,,,,1401,12,,,,,,,,,,,217,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1691
Sharp Arrowhead,1691,4,34,1,8,,0,,,,18,,,56,,17,36,,,237,18,38,,,,,,,2,231,271,,,,,,,,1401,13,,,,,,,,,,,217,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1691
Sharp Arrowhead,1691,5,38,1,8,,0,,,,18,,,58,,17,38,,,244,18,42,,,,,,,2,231,271,,,,,,,,1401,14,,,,,,,,,,,217,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1691
Sharp Arrowhead,1691,6,42,1,8,,0,,,,18,,,60,,17,40,,,248,18,46,,,,,,,2,231,271,,,,,,,,1401,15,,,,,,,,,,,217,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1691
Sharp Arrowhead,1691,7,46,1,8,,0,,,,18,,,62,,17,42,,,251,18,50,,,,,,,2,231,271,,,,,,,,1401,16,,,,,,,,,,,217,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1691
Sharp Arrowhead,1691,8,51,1,8,,0,,,,18,,,64,,17,44,,,297,18,54,,,,,,,2,231,271,,,,,,,,1401,17,,,,,,,,,,,217,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1691
Sharp Arrowhead,1691,9,56,1,8,,0,,,,18,,,66,,17,46,,,304,18,58,,,,,,,2,231,271,,,,,,,,1401,18,,,,,,,,,,,217,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1691
Sharp Arrowhead,1691,10,61,1,8,,0,,,,18,,,70,,17,50,,,306,18,63,,,,,,,2,231,271,,,,,,,,1401,19,,,,,,,,,,,217,114,120,134,,1754,999,131,1763,3,131,1771,3,,,,,153,120,1,,,,,,,,,,,,,,,,,,,,LSkill1691
Hawk Shot,1701,1,35,1,6,3600,5,0,100,1,,,,,1,17,40,,,46,,,,,,,,,2,231,271,,,,66,,,,1401,10,1481,10,,,,,,,,,121,213,150,214,,1068,1,,,,,,,,,,,215,150,,297,1,148,1067,999,67,,,,,,,,,,,1,,,LSkill1701
Hawk Shot,1701,2,41,1,6,3650,5,0,120,1,,,,,1,17,45,,,49,,,,,,,,,2,231,271,,,,,,,,1401,11,,,,,,,,,,,121,213,150,214,,1068,1,,,,,,,,,,,215,150,,297,1,148,1067,999,67,,,,,,,,,,,,,,LSkill1701
