,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durability,Rare Type,Defence,Magic Resistance,Male Hair,Item Set,Dynamic EQ,Female Hair,Trade Key,Expire,NPC,Effect,Prefix,
Fallen Overlord's Skull of Faith,CAP\cap1_hawker_220.txt,CAP\cap2_hawker_220.txt,9,123,163000,0,8,70,3272,231,579,78,1,1477,1,53,,,31,228,,,,12,7,,18,12,75,0,100,60,2,,,2,,,,,6,LCAP1076
Fallen Overlord's Skull of Presicion,CAP\cap1_hawker_220.txt,CAP\cap2_hawker_220.txt,9,123,163000,0,8,70,3272,231,579,78,1,1478,1,53,,,31,228,,,,13,7,,18,12,75,0,100,60,2,,,2,,,,,6,LCAP1077
Fallen Overlord's Skull of Virtue,CAP\cap1_hawker_220.txt,CAP\cap2_hawker_220.txt,9,123,163000,0,8,70,3272,231,579,78,1,1479,1,53,,,31,228,,,,14,7,,18,12,75,0,100,60,2,,,2,,,,,6,LCAP1078
Fallen Overlord's Skull of Sharpness,CAP\cap1_hawker_220.txt,CAP\cap2_hawker_220.txt,9,123,163000,0,8,70,3272,231,579,78,1,1480,1,53,,,31,228,,,,15,7,,18,12,75,0,100,60,2,,,2,,,,,6,LCAP1079
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercenary Goggles,CAP\cap1_dealer200.txt,CAP\cap2_dealer200.txt,,123,79400,0,2,71,3862,239,579,,,,,54,,,31,224,,,,,,,,,68,0,94,50,0,,,0,,,,,3,LCAP141
Mercenary Goggles,CAP\cap1_dealer200.txt,CAP\cap2_dealer200.txt,,123,99400,0,2,71,3862,239,579,,,,,54,,,31,228,,,,,,,,,68,0,99,52,0,,,0,,,,,6,LCAP141
Auction Master Helm of Resilience,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,101530,0,2,71,3273,239,579,79,1,1482,1,54,,,31,220,,,,10,2,,38,100,75,0,88,44,2,,,2,,,,,,LCAP1095
Auction Master Helm of Agility,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,101530,0,2,71,3273,239,579,79,1,1483,1,54,,,31,220,,,,11,2,,38,100,75,0,88,44,2,,,2,,,,,,LCAP1096
Auction Master Helm of Faith,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,101530,0,2,71,3273,239,579,79,1,1484,1,54,,,31,220,,,,12,2,,38,100,75,0,88,44,2,,,2,,,,,,LCAP1097
Auction Master Helm of Presicion,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,101530,0,2,71,3273,239,579,79,1,1485,1,54,,,31,220,,,,13,2,,38,100,75,0,88,44,2,,,2,,,,,,LCAP1098
Auction Master Helm of Virtue,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,101530,0,2,71,3273,239,579,79,1,1486,1,54,,,31,220,,,,14,2,,38,100,75,0,88,44,2,,,2,,,,,,LCAP1099
Auction Master Helm of Sharpness,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,101530,0,2,71,3273,239,579,79,1,1487,1,54,,,31,220,,,,15,2,,38,100,75,0,88,44,2,,,2,,,,,,LCAP1100
Auction Master Helm of Resilience,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,121230,0,2,71,3273,239,579,80,1,1488,1,54,,,31,224,,,,10,4,,38,200,75,0,97,51,2,,,2,,,,,3,LCAP1095
Auction Master Helm of Agility,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,121230,0,2,71,3273,239,579,80,1,1489,1,54,,,31,224,,,,11,4,,38,200,75,0,97,51,2,,,2,,,,,3,LCAP1096
Auction Master Helm of Faith,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,121230,0,2,71,3273,239,579,80,1,1490,1,54,,,31,224,,,,12,4,,38,200,75,0,97,51,2,,,2,,,,,3,LCAP1097
Auction Master Helm of Presicion,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,121230,0,2,71,3273,239,579,80,1,1491,1,54,,,31,224,,,,13,4,,38,200,75,0,97,51,2,,,2,,,,,3,LCAP1098
Auction Master Helm of Virtue,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,121230,0,2,71,3273,239,579,80,1,1492,1,54,,,31,224,,,,14,4,,38,200,75,0,97,51,2,,,2,,,,,3,LCAP1099
Auction Master Helm of Sharpness,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,121230,0,2,71,3273,239,579,80,1,1493,1,54,,,31,224,,,,15,4,,38,200,75,0,97,51,2,,,2,,,,,3,LCAP1100
Auction Master Helm of Resilience,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,163000,0,2,71,3273,239,579,81,1,1494,1,54,,,31,228,,,,10,7,,38,300,75,0,102,56,2,,,2,,,,,6,LCAP1095
Auction Master Helm of Agility,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,163000,0,2,71,3273,239,579,81,1,1495,1,54,,,31,228,,,,11,7,,38,300,75,0,102,56,2,,,2,,,,,6,LCAP1096
Auction Master Helm of Faith,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,163000,0,2,71,3273,239,579,81,1,1496,1,54,,,31,228,,,,12,7,,38,300,75,0,102,56,2,,,2,,,,,6,LCAP1097
Auction Master Helm of Presicion,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,163000,0,2,71,3273,239,579,81,1,1497,1,54,,,31,228,,,,13,7,,38,300,75,0,102,56,2,,,2,,,,,6,LCAP1098
Auction Master Helm of Virtue,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,163000,0,2,71,3273,239,579,81,1,1498,1,54,,,31,228,,,,14,7,,38,300,75,0,102,56,2,,,2,,,,,6,LCAP1099
Auction Master Helm of Sharpness,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,9,123,163000,0,2,71,3273,239,579,81,1,1499,1,54,,,31,228,,,,15,7,,38,300,75,0,102,56,2,,,2,,,,,6,LCAP1100
Aurum Plate Helm of Glory,CAP\cap1_soldier200.txt,CAP\cap2_soldier200.txt,9,121,51400,0,10,60,3823,227,580,,,,,51,,,31,220,,,,,,,,,72,,98,43,4,,,4,,,,,,LCAP1113
Aurum Plate Helm of Glory,CAP\cap1_soldier200.txt,CAP\cap2_soldier200.txt,9,121,68400,0,10,60,3823,227,580,,,,,51,,,31,224,,,,,,,,,72,0,107,49,4,,,4,,,,,3,LCAP1113
Aurum Plate Helm of Glory,CAP\cap1_soldier200.txt,CAP\cap2_soldier200.txt,9,121,86000,0,10,60,3823,227,580,,,,,51,,,31,228,,,,,,,,,72,0,113,52,4,,,4,,,,,6,LCAP1113
Oro's Walker Bonnet of Glory,CAP\cap1_muse200.txt,CAP\cap2_muse200.txt,9,122,51400,0,2,70,3836,235,579,,,,,52,,,31,220,,,,28,17,,,,68,,82,60,0,,,0,,,,,,LCAP1116
Oro's Walker Bonnet of Glory,CAP\cap1_muse200.txt,CAP\cap2_muse200.txt,9,122,73500,0,2,70,3836,235,579,,,,,52,,,31,224,,,,28,19,,,,68,0,91,69,0,,,0,,,,,3,LCAP1116
Oro's Walker Bonnet of Glory,CAP\cap1_muse200.txt,CAP\cap2_muse200.txt,9,122,81000,0,2,70,3836,235,579,,,,,52,,,31,228,,,,28,21,,,,68,0,96,71,0,,,0,,,,,6,LCAP1116
Raptor Head of Glory,CAP\cap1_hawker200.txt,CAP\cap2_hawker200.txt,9,121,51400,0,8,70,3849,231,579,,,,,53,,,31,220,,,,,,,,,68,,84,48,4,,,4,,,,,,LCAP1119
Raptor Head of Glory,CAP\cap1_hawker200.txt,CAP\cap2_hawker200.txt,9,121,71400,0,8,70,3849,231,579,,,,,53,,,31,224,,,,,,,,,68,0,93,56,4,,,4,,,,,3,LCAP1119
Raptor Head of Glory,CAP\cap1_hawker200.txt,CAP\cap2_hawker200.txt,9,121,91400,0,8,70,3849,231,579,,,,,53,,,31,228,,,,,,,,,68,0,98,58,4,,,4,,,,,6,LCAP1119
Mercenary Googles of Glory,CAP\cap1_dealer200.txt,CAP\cap2_dealer200.txt,9,121,59400,0,2,71,3862,239,579,,,,,54,,,31,220,,,,,,,,,68,,83,43,0,,,0,,,,,,LCAP1122
Mercenary Googles of Glory,CAP\cap1_dealer200.txt,CAP\cap2_dealer200.txt,9,121,79400,0,2,71,3862,239,579,,,,,54,,,31,224,,,,,,,,,68,0,92,50,0,,,0,,,,,3,LCAP1122
Mercenary Googles of Glory,CAP\cap1_dealer200.txt,CAP\cap2_dealer200.txt,9,121,99400,0,2,71,3862,239,579,,,,,54,,,31,228,,,,,,,,,68,0,97,52,0,,,0,,,,,6,LCAP1122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brave Paladin Helmet of Rebirth,CAP\cap1_soldier_220.txt,CAP\cap1_soldier_220.txt,6,121,163000,0,10,60,7458,227,580,,,,,51,,,111,10,,,,,,,,,75,0,11,5,4,,,4,,,,,,LCAP1126
Summoner's Majestic Hat of Rebirth,CAP\cap_muse_220.txt,CAP\cap_muse_220.txt,6,122,103000,0,2,70,7459,235,579,,,,,52,,,111,10,,,,,,,,,75,0,9,7,2,,,2,,,,,,LCAP1127
Fallen Overlord's Skull of Rebirth,CAP\cap1_hawker_220.txt,CAP\cap2_hawker_220.txt,6,123,163000,0,8,70,7460,231,579,,,,,53,,,111,10,,,,,,,,,75,0,10,6,2,,,2,,,,,,LCAP1128
Auction Master Helm of Rebirth,CAP\cap1_dealer_220.txt,CAP\cap2_dealer_220.txt,6,123,163000,0,2,71,7462,239,579,,,,,54,,,111,10,,,,,,,,,75,0,10,5,2,,,2,,,,,,LCAP1129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hunter's Helm,CAP\cap1_fashion021_1021.txt,CAP\cap2_fashion021_1021.txt,7,123,1000,0,3,10,5103,243,579,,,,,,,,,,,,,,,,,,30,0,12,10,4,,,4,,,,,,LCAP1131
Jabberwock Helm of Rebirth,CAP\cap1_07500.txt,CAP\cap2_07500.txt,6,121,163000,0,10,60,8194,227,580,,,,,51,,,111,6,,,,,,,,,75,0,11,5,4,,,4,,,,,,LCAP1132
Dimple Bonnet of Rebirth,CAP\cap1_07200.txt,CAP\cap2_07200.txt,6,122,103000,0,2,70,8195,235,579,,,,,52,,,111,6,,,,,,,,,75,0,9,7,4,,,4,,,,,,LCAP1133
Steel Resolve Hat of Rebirth,CAP\cap1_07400.txt,CAP\cap2_07400.txt,6,123,163000,0,8,70,8196,231,579,,,,,53,,,111,6,,,,,,,,,75,0,10,6,4,,,4,,,,,,LCAP1134
Mana Steam Head of Rebirth,CAP\cap1_07300.txt,CAP\cap2_07300.txt,6,123,163000,0,2,71,8197,239,579,,,,,54,,,111,6,,,,,,,,,75,0,10,5,0,,,0,,,,,,LCAP1135
Purple Panda Hat,CAP\cap_F1014.txt,CAP\cap_F1014.txt,6,123,1000,0,3,10,3438,247,579,,,,,,,,,,,,,,,,,,30,0,12,10,0,,,0,,,,,,LCAP1136
Royal Helmet of the Entiku,CAP\cap_head_1221_cr.txt,CAP\cap_head_1221_cr.txt,,121,189974,0,10,70,8489,243,579,,,,,,,,31,205,,,,,,,,,75,0,83,46,4,14,,4,,,,,,LCAP1137
Entiku Blue,CAP\cap_head_1221_cr.txt,CAP\cap_head_1221_cr.txt,,121,189974,0,10,70,8489,243,579,,,,,,,,31,205,,,,,,,,,75,0,10,10,4,,,4,,,,,,LCAP1138
Entiku Golden,CAP\cap_head_1221_cr.txt,CAP\cap_head_1221_cr.txt,,121,189974,0,10,70,8489,243,579,,,,,,,,31,205,,,,,,,,,75,0,10,10,4,,,4,,,,,,LCAP1139
Entiku Silver,CAP\cap_head_1221_cr.txt,CAP\cap_head_1221_cr.txt,,121,189974,0,10,70,8489,243,579,,,,,,,,31,205,,,,,,,,,75,0,10,10,4,,,4,,,,,,LCAP1140
Entiku Black,CAP\cap_head_1221_cr.txt,CAP\cap_head_1221_cr.txt,,121,189974,0,10,70,8489,243,579,,,,,,,,31,205,,,,,,,,,75,0,10,10,4,,,4,,,,,,LCAP1141
White Santa Hood,,,6,123,1000,0,2,10,2431,243,579,,,,,,,,,,,,,,,,,,30,,12,8,2,,,2,,,,,,LCAP1142
Samii Ears,CAP\cap1_F08670.txt,CAP\cap2_F08670.txt,6,123,1000,0,3,16,2753,243,579,,,,,,,,,,,,,14,10,,,,30,,10,10,0,,,0,,,,,,LCAP1143
Brown Style Wig,,,6,123,1000,0,3,16,2789,243,579,,,,,,,,,,,,,14,10,,,,30,,10,10,4,,,4,,,,,,LCAP1144
Chick Hat,,,6,123,1000,0,3,16,2790,243,579,,,,,,,,,,,,,14,10,,,,30,,10,10,0,,,0,,,,,,LCAP1145
Brown Bun Wig,,,6,123,1000,0,3,16,2791,243,579,,,,,,,,,,,,,14,10,,,,30,,10,10,4,,,4,,,,,,LCAP1146
Rosy Ponytail,,,6,124,1000,0,2,10,4345,,579,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP1147
Snowy Ponytail,,,6,124,1000,0,2,10,4346,,579,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP1148
Blue Bun Wig,,,6,123,1000,0,3,16,8741,243,579,,,,,,,,,,,,,14,10,,,,30,,10,10,4,,,4,,,,,,LCAP1149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Panda Hat,CAP\panzukin_m_0922_wa.txt,CAP\panzukin_f_0922_wa.txt,6,123,100,0,2,10,9936,243,579,,,,,,,,,,,,,,,,,,75,,10,10,2,,,2,,,,,,LCAP1157
Little Yellow Hood,CAP\akazukin_zukin_0903_yellow_new.txt,CAP\akazukin_zukin_0903_yellow_new.txt,6,123,0,0,2,44,10086,243,579,,,,,,,,,,,,,20,5,,14,10,30,,12,10,2,,,2,,,,,,LCAP1158
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Clan Helmet,,,6,123,1000,0,3,10,8586,243,579,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP1160
Blue Clan Helmet,,,6,123,1000,0,3,10,8586,243,579,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP1161
Green Clan Helmet,,,6,123,1000,0,3,10,8586,243,579,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP1162
Pink Clan Helmet,,,6,123,1000,0,3,10,8586,243,579,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP1163
Purple Clan Helmet,,,6,123,1000,0,3,10,8586,243,579,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP1164
Red Clan Helmet,,,6,123,1000,0,3,10,8586,243,579,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP1165
White Clan Helmet,,,6,123,1000,0,3,10,8586,243,579,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP1166
Yellow Clan Helmet,,,6,123,1000,0,3,10,8586,243,579,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP1167
Merciful Dawnfrost Helm (Warrior),CAP\cap1_career_a_001.txt,CAP\cap2_career_a_001.txt,,121,284474,0,10,65,3261,227,580,,,183,,51,,,31,210,,,,18,-18,,148,-2,65,,115,60,4,23,,4,,,,,34,LCAP049
Ruthless Dawnfrost Helm (Warrior),CAP\cap1_career_a_002.txt,CAP\cap2_career_a_002.txt,,121,284474,0,10,65,3266,227,580,,,183,,51,,,31,210,,,,18,22,,148,3,65,,85,41,4,24,,4,,,,,34,LCAP050
Merciful Dawnfrost Bonnet (Maiden),CAP\cap1_career_a_003.txt,CAP\cap2_career_a_003.txt,,122,311445,0,2,65,3267,235,579,,,183,,52,,,31,210,,,,18,-18,,148,-2,65,,100,77,2,25,,2,,,,,34,LCAP079
Ruthless Dawnfrost Bonnet (Maiden),CAP\cap1_career_a_004.txt,CAP\cap2_career_a_004.txt,,122,311445,0,2,65,3263,235,579,,,183,,52,,,31,210,,,,18,22,,148,3,65,,66,51,2,26,,2,,,,,34,LCAP080
Merciful Dawnfrost Hat (Hunter),CAP\cap1_career_a_005.txt,CAP\cap2_career_a_005.txt,,123,264471,0,2,65,3264,231,579,,,183,,53,,,31,210,,,,18,-18,,148,-2,65,,105,62,2,27,,2,,,,,34,LCAP109
Ruthless Dawnfrost Hat (Hunter),CAP\cap1_career_a_006.txt,CAP\cap2_career_a_006.txt,,123,264471,0,2,65,3268,231,579,,,183,,53,,,31,210,,,,18,22,,148,3,65,,69,42,2,28,,2,,,,,34,LCAP110
Merciful Dawnfrost Cap (Trader),CAP\cap1_career_a_007.txt,CAP\cap2_career_a_007.txt,,123,251100,0,2,65,3265,239,579,,,183,,54,,,31,210,,,,18,-18,,148,-2,65,,103,60,2,29,,2,,,,,34,LCAP139
Ruthless Dawnfrost Cap (Trader),CAP\cap1_career_a_008.txt,CAP\cap1_career_a_008.txt,,123,251100,0,2,65,3269,239,579,,,183,,54,,,31,210,,,,18,22,,148,3,65,,68,41,2,30,,2,,,,,34,LCAP140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Helm of Rebirth,,,6,121,163000,0,10,60,9221,227,580,,,,,51,,,111,4,,,,,,,,,75,0,11,5,2,,,2,,,,,,LCAP1178
Heaven's Bonnet of Rebirth,,,6,122,103000,0,2,70,9222,235,579,,,,,52,,,111,4,,,,,,,,,75,0,9,7,2,,,2,,,,,,LCAP1179
Wild Hawker Hat of Rebirth,,,6,123,163000,0,8,70,9223,231,579,,,,,53,,,111,4,,,,,,,,,75,0,10,6,2,,,2,,,,,,LCAP1180
Redfield Chairman Hat of Rebirth,,,6,123,163000,0,2,71,9224,239,579,,,,,54,,,111,4,,,,,,,,,75,0,10,5,2,,,2,,,,,,LCAP1181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godly Jabberwock Helm,CAP\cap1_07500.txt,CAP\cap2_07500.txt,,121,204650,0,10,54,130,227,580,17,12,,51,51,,,31,210,,,,10,5,,38,100,75,,91,46,4,,,4,,,,,22,LCAP1190
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ram Horns,CAP\cap_RamHorns.txt,CAP\cap_RamHorns.txt,6,123,1000,0,5,16,5785,243,579,,,,,,,,,,,,,,,,,,30,,10,10,0,,,0,,,,,,LCAP1200
Whale Cap,CAP\cap_Whale.txt,CAP\cap_Whale.txt,6,123,1000,0,5,16,5786,243,579,,,,,,,,,,,,,,,,,,30,,10,10,2,,,2,,,,,,LCAP1201
Aqua Fins,CAP\cap_AquaHead.txt,CAP\cap_AquaHead.txt,7,123,0,0,2,25,5787,243,579,,,,,,,,,,,,,,,,,,25,,10,10,2,,,2,,,,,,LCAP1202
Mini Black Tophat,CAP\cap1_small_black_hat.txt,CAP\cap2_small_black_hat.txt,7,123,0,0,2,25,5788,243,579,,,,,,,,,,,,,,,,,,25,,10,10,0,,,0,,,,,,LCAP1203
Heart Headband,CAP\cap1_Valentine2012.txt,CAP\cap2_Valentine2012.txt,6,123,1000,0,2,16,5789,243,579,93,1,1841,1,,,,,,,,,,,,,,50,10,10,10,0,,,0,,,,,,LCAP1204
Chief Crown,CAP\cap1_chiefCrown_0.txt,CAP\cap2_chiefCrown_0.txt,7,123,0,0,1,61,5790,247,579,,,,,,,,,,,,,,,,,,25,,10,10,0,,,0,,,,,,LCAP1205
Tiara,CAP\cap1_tiara_0.txt,CAP\cap2_tiara_0.txt,7,123,0,0,1,63,5791,247,579,,,,,,,,,,,,,,,,,,25,,10,10,0,,,0,,,,,,LCAP1206
Barbarian Helm,CAP\cap1_hornHead_0.txt,CAP\cap2_hornHead_0.txt,7,123,0,0,1,68,5792,247,579,,,,,,,,,,,,,,,,,,25,,10,10,4,,,4,,,,,,LCAP1207
Mana Flyer Helm,CAP\cap1_flyersHelm_2.txt,CAP\cap2_flyersHelm_2.txt,7,123,0,0,1,70,5793,247,579,,,,,,,,,,,,,,,,,,25,,10,10,2,,,2,,,,,,LCAP1208
Adorable Daredevil Hair,CAP\cap1_PM_Ad.txt,CAP\cap2_PM_Ad.txt,7,123,0,0,2,40,5794,231,579,,,,,,,,,,,,,10,5,,,,25,,10,10,4,,,4,,,,,,LCAP1209
Violet Shimmer Hair,CAP\cap1_PM_Vs.txt,CAP\cap2_PM_Vs.txt,7,123,0,0,2,40,5811,231,579,,,,,,,,,,,,,12,5,,,,25,,10,10,4,,,4,,,,,,LCAP1210
Uncommon Elegance Hair,CAP\cap1_PM_Ue.txt,CAP\cap2_PM_Ue.txt,7,123,0,0,2,40,5812,231,579,,,,,,,,,,,,,13,5,,,,25,,10,10,4,,,4,,,,,,LCAP1211
Country Cutie Hair,CAP\cap1_PM_Cc.txt,CAP\cap2_PM_Cc.txt,7,123,0,0,2,40,5813,231,579,,,,,,,,,,,,,14,5,,,,25,,10,10,4,,,4,,,,,,LCAP1212
Sweet and Bashful Hair,CAP\cap1_PM_Sb.txt,CAP\cap2_PM_Sb.txt,7,123,0,0,2,40,5814,231,579,,,,,,,,,,,,,15,5,,,,25,,10,10,4,,,4,,,,,,LCAP1213
Teddybear Costume Cap,CAP\cap_event_costume01.txt,CAP\cap_event_costume01.txt,6,123,0,0,2,40,8164,231,579,,,,,,,,,,,,,14,10,,,,75,,10,10,2,,,0,,,,,,LCAP1214
Lumberjack's Bear Cap,CAP\cap_event_costume02.txt,CAP\cap_event_costume02.txt,6,123,0,0,2,40,8401,231,597,,,,,,,,,,,,,,,,,,50,,10,10,2,,,2,,,,,,LCAP1215
Stickman Cap,,,6,123,0,0,2,40,8372,231,579,,,,,,,,31,10,,,,14,10,,27,30,75,,20,20,4,,,4,,,,,,LCAP1216
Grouch Head,CAP\cap1_career022_v.txt,CAP\cap2_career022_v.txt,6,123,1000,0,2,10,8392,247,579,,,,,,,,,,,,,14,15,,,,60,0,12,10,4,,,4,,,,,,LCAP1217
Frozen Storybook Headpiece,CAP\CAP1_Frozen2019_01.txt,CAP\CAP2_Frozen2019_01.txt,6,123,0,0,2,20,8625,243,579,,,,,,,,,,,,,,,,,,100,0,10,10,4,,,4,,,,,,LCAP1218
Hooded Leopard Hat,CAP\leopard_m_0922_wa.txt,CAP\leopardn_f_0922_wa.txt,6,123,100,0,2,10,8629,243,579,,,,,,,,,,,,,23,65,,18,10,37,,23,4,2,,,2,,,,,,LCAP1219
Black Pirate Hat,CAP\cap_pirateHatBlack.txt,CAP\cap_pirateHatBlack.txt,7,121,1000,0,2,55,5798,231,579,,,,,,,,,,,,,24,15,,,,25,,10,10,2,,,2,,,,,,LCAP1220
Blue Pirate Hat,CAP\cap_pirateHatBlue.txt,CAP\cap_pirateHatBlue.txt,7,121,1000,0,2,55,5799,231,579,,,,,,,,,,,,,24,15,,,,25,,10,10,2,,,2,,,,,,LCAP1221
Green Pirate Hat,CAP\cap_pirateHatGreen.txt,CAP\cap_pirateHatGreen.txt,7,121,1000,0,2,55,5800,231,579,,,,,,,,,,,,,24,15,,,,25,,10,10,2,,,2,,,,,,LCAP1222
Purple Pirate Hat,CAP\cap_pirateHatPurple.txt,CAP\cap_pirateHatPurple.txt,7,121,1000,0,2,55,5801,231,579,,,,,,,,,,,,,24,15,,,,25,,10,10,2,,,2,,,,,,LCAP1223
Red Pirate Hat,CAP\cap_pirateHatRed.txt,CAP\cap_pirateHatRed.txt,7,121,1000,0,2,55,5802,231,579,,,,,,,,,,,,,24,15,,,,25,,10,10,2,,,2,,,,,,LCAP1224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Winter Hood,,,6,123,1000,0,2,16,3003,243,579,,,,,,,,,,,,,,,,,,50,,10,10,2,,,2,,,,,,LCAP1226
Pink Santa Claus Hat,,,6,123,1000,0,2,16,2951,243,579,,,,,,,,,,,,,,,,,,50,,10,10,4,,,4,,,,,,LCAP1227
Blue Santa Claus Hat,,,7,123,1000,0,2,16,9295,243,579,,,,,,,,,,,,,,,,,,50,,10,10,4,,,4,,,,,,LCAP1228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Pirate Bandana,CAP\cap1_pirateHoodBlack.txt,CAP\cap2_pirateHoodBlack.txt,7,123,1000,0,2,40,5804,231,579,,,,,,,,,,,,,22,15,,,,25,,10,10,4,,,4,,,,,,LCAP1230
Blue Pirate Bandana,CAP\cap1_pirateHoodBlue.txt,CAP\cap2_pirateHoodBlue.txt,7,123,1000,0,2,40,5805,231,579,,,,,,,,,,,,,22,15,,,,25,,10,10,4,,,4,,,,,,LCAP1231
Green Pirate Bandana,CAP\cap1_pirateHoodGreen.txt,CAP\cap2_pirateHoodGreen.txt,7,123,1000,0,2,40,5806,231,579,,,,,,,,,,,,,22,15,,,,25,,10,10,4,,,4,,,,,,LCAP1232
Purple Pirate Bandana,CAP\cap1_pirateHoodPurple.txt,CAP\cap2_pirateHoodPurple.txt,7,123,1000,0,2,40,5807,231,579,,,,,,,,,,,,,22,15,,,,25,,10,10,4,,,4,,,,,,LCAP1233
Red Pirate Bandana,CAP\cap1_pirateHoodRed.txt,CAP\cap2_pirateHoodRed.txt,7,123,1000,0,2,40,5808,231,579,,,,,,,,,,,,,22,15,,,,25,,10,10,4,,,4,,,,,,LCAP1234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
