,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Bonus 3,Bonus 3 Value,Bonus 4,Bonus 4 Value,Item Set,Expire,Had Timer,Clan Stat ID,Monster ID,
+5% Dodge Rate Accessory,,,,438,0,0,1,10,10266,100,581,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW726
+10% Attack Speed Accessory,,,6,438,0,0,1,10,10267,100,581,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW727
+10% Weight Accessory,,,6,438,0,0,1,10,7588,100,581,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW728
+5% Movement Speed Accessory,,,,438,0,0,1,10,10268,100,581,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW729
+5% Sales Discount Accessory,,,,438,0,0,1,10,10270,100,581,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW730
+5% Sales Premium Accessory,,,,438,0,0,1,10,10271,100,581,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW731
+3% Charm Accessory,,,6,438,0,0,1,10,10261,100,581,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW732
+7% Strength Accessory,,,,438,0,0,1,10,10257,100,581,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW733
+7% Intelligence Accessory,,,,438,0,0,1,10,10259,100,581,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW734
+7% Sensibility Accessory,,,,438,0,0,1,10,10262,100,581,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW735
+7% Concentration Accessory,,,,438,0,0,1,10,10260,100,581,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW736
+5% Concentration Accessory,,,,438,0,0,1,10,10260,100,581,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW737
+10% Strength Accessory,,,6,438,0,0,1,10,10257,100,581,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW738
+10% Dexterity Accessory,,,6,438,0,0,1,10,10258,100,581,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW739
+10% Intelligence Accessory,,,6,438,0,0,1,10,10259,100,581,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,LJEW740
+10% Concentration Accessory,,,6,438,0,0,1,10,10260,100,581,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW741
+10% Charm Accessory,,,6,438,0,0,1,10,10261,100,581,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW742
+10% Sensibility Accessory,,,6,438,0,0,1,10,10262,100,581,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW743
+10% HP Accessory,,,6,438,0,0,1,10,7588,100,581,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,LJEW744
+10% MP Accessory,,,6,438,0,0,1,10,7588,100,581,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,LJEW745
+10% Defence Accessory,,,6,438,0,0,1,10,10263,100,581,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW746
+10% Magic Resistence Accessory,,,6,438,0,0,1,10,10264,100,581,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW747
+10% Hit Rate Accessory,,,6,438,0,0,1,10,10265,100,581,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW748
+10% Attack Power Accessory,,,6,438,0,0,1,10,10267,100,581,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW749
+10% Dodge Rate Accessory,,,6,438,0,0,1,10,10266,100,581,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW750
+10% Movement Speed Accessory,,,6,438,0,0,1,10,10268,100,581,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW751
+5% Attack Speed Accessory,,,6,438,0,0,1,10,10267,100,581,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW752
Auto Pick Up Accessory,,,7,438,0,0,1,10,10272,100,581,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW706
+10% Experience Accessory,,,7,438,0,0,1,10,10273,100,581,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW701
No Experience Accessory,,,7,438,0,0,1,10,10274,100,581,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW707
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clan Stronghold Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woopie King Statue,,,,439,0,0,1,10,8907,251,284,,,,80,,,,122,60,,,,,,,,,,,,,,,,,,,,,,,LJEW760
Aqua King Statue,,,,439,0,0,1,10,1,251,,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW761
Krawfy King Statue,,,,439,0,0,1,10,8887,251,398,,,,90,,,,122,65,121,75,,,,,,,,,,,,,,,,,,,102,217,LJEW762
Golem Statue,,,,439,0,0,1,10,8888,251,399,,,,100,,,,122,70,121,75,,,,,,,,,,,,,,,,,,,103,218,LJEW763
Grunter King Statue,,,,439,0,0,1,10,1,251,,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW764
Dormant Ancient Statue,,,,439,0,0,1,10,8929,251,466,,,,250,,,,122,215,121,20,,,,,,,,,,,,,,,,,,,115,2458,LJEW765
Moldie,,,,440,0,0,1,10,8886,251,394,,,,35,,,,122,25,,,,,,,,,,,,,,,,,,,,,,,LJEW766
Queen Entiku Statue,,,,439,0,0,1,10,1,251,,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW767
Pink Teddy Bear,,,,440,0,0,1,10,8845,251,286,,,,50,,,,122,35,,,,,,,,,,,,,,,,,,,,,,,LJEW768
Behemoth King Statue,,,,439,0,0,1,10,8926,251,465,,,,200,,,,122,155,,,,,,,,,,,,,,,,,,,,,,,LJEW769
Sun God Ra Statue,,,,439,0,0,1,10,1,251,,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW770
Blue Teddy Bear,,,,440,0,0,1,10,8846,251,289,,,,50,,,,122,35,,,,,,,,,,,,,,,,,,,,,,,LJEW771
Large HoneyBee Doll,,,,440,0,0,1,10,8847,251,347,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW772
Ice Spirit Couple,,,,440,0,0,1,10,8848,251,346,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW773
Castle Gear Replica,,,,440,0,0,1,10,8849,251,287,,,,120,,,,122,90,123,30,,,,,,,,,,,,,,,,,,,,,LJEW774
Gold Love Hearts,,,,440,0,0,1,10,8850,251,348,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW775
Skeleton Panda,,,,440,0,0,1,10,8851,251,350,,,,50,,,,122,35,,,,,,,,,,,,,,,,,,,,,,,LJEW776
Mr Baggie,,,,440,0,0,1,10,8853,251,351,,,,50,,,,122,35,,,,,,,,,,,,,,,,,,,,,,,LJEW777
Old Treasure Chest,,,,440,0,0,1,10,8854,251,355,,,,100,,,,122,80,121,10,,,,,,,,,,,,,,,,,,,116,2687,LJEW778
Flying Vessel Model,,,,440,0,0,1,10,8855,251,357,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW779
Cardboard Muse Display,,,,440,0,0,1,10,8856,251,352,,,,50,,,,122,35,,,,,,,,,,,,,,,,,,,,,,,LJEW780
Christmas Tree,,,,440,0,0,1,10,8857,251,285,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW781
Jelly Bean,,,,440,0,0,1,10,8858,251,283,,,,15,,,,122,5,,,,,,,,,,,,,,,,,,,,,,,LJEW782
Choropy,,,,440,0,0,1,10,8859,251,349,,,,15,,,,122,5,,,,,,,,,,,,,,,,,,,,,,,LJEW783
Cowboy Pumpkin,,,,440,0,0,1,10,8860,251,361,,,,30,,,,122,20,,,,,,,,,,,,,,,,,,,,,,,LJEW784
Flanae,,,,440,0,0,1,10,8861,251,362,,,,20,,,,122,10,,,,,,,,,,,,,,,,,,,,,,,LJEW785
Snowman 1,,,,440,0,0,1,10,8862,251,359,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW786
Snowman 2,,,,440,0,0,1,10,8863,251,365,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW787
HoneyBee,,,,440,0,0,1,10,8864,251,383,,,,25,,,,122,15,,,,,,,,,,,,,,,,,,,,,,,LJEW788
Bamboo Display,,,,440,0,0,1,10,8866,251,384,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW789
Moldie Cushion,,,,440,0,0,1,10,8867,251,354,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW790
Guitar Stand,,,,440,0,0,1,10,8868,251,353,,,,55,,,,122,40,,,,,,,,,,,,,,,,,,,,,,,LJEW791
Mr Cannie,,,,440,0,0,1,10,8869,251,363,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW792
Shrine,,,,440,0,0,1,10,8870,251,368,,,,50,,,,122,35,,,,,,,,,,,,,,,,,,,,,,,LJEW793
Dreadnaught,,,,440,0,0,1,10,8871,251,288,,,,60,,,,122,50,,,,,,,,,,,,,,,,,,,,,,,LJEW794
Slag,,,,440,0,0,1,10,8872,251,385,,,,45,,,,122,35,,,,,,,,,,,,,,,,,,,,,,,LJEW795
Lunar Wolf,,,,440,0,0,1,10,8873,251,386,,,,45,,,,122,35,,,,,,,,,,,,,,,,,,,,,,,LJEW796
Mammoth,,,,440,0,0,1,10,8874,251,387,,,,60,,,,122,50,,,,,,,,,,,,,,,,,,,,,,,LJEW797
Elec Ghost,,,,440,0,0,1,10,8875,251,388,,,,65,,,,122,55,121,10,,,,,,,,,,,,,,,,,,,107,396,LJEW798
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Dog Pet,,,6,437,1000,0,5,10,7647,194,581,3666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW800
Bulldog Pet,,,7,437,1000,0,10,10,7648,194,581,3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW801
Golem Pet,,32,,437,105040,10,25,10,7649,194,581,3668,,,,,,,31,90,,,,,,,,,,,,,,,,,,,,,,,LJEW802
Scavenger Pet,,32,,437,150000,10,15,10,7650,194,581,3669,,,,,,,31,120,,,,,,,,,,,,,,,,,,,,,,,LJEW803
Rackie Pet,,,6,437,1000,0,15,10,7651,194,581,3670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW804
Toxic Spider Pet,,26,6,437,1000,0,20,10,7652,194,581,3671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW805
Zombie Spirit Pet,,,,437,1000,0,10,10,7654,194,581,3674,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW806
Skeleton Pet,,,,437,1000,0,10,10,7655,194,581,3675,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW807
Spooky Ghost Pet,,,,437,1000,0,0,10,7657,194,581,3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW808
Lucky Ghost Pet,,,,437,1000,0,0,10,7658,194,581,3677,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW809
Hallowed Pumpkin Pet,,,,437,1000,0,20,10,7659,194,581,3678,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW810
BloodBat Pet,,,,437,1000,0,5,10,7661,194,581,3679,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW811
Penguin Pet,,,,437,1000,0,15,10,7674,194,581,3680,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW812
Snow Cone Pet,,,,437,1000,0,5,10,7675,194,581,3681,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW813
Rudolph Santa Pet,,,,437,1000,0,10,10,7676,194,581,3682,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW814
Snow Abomination Pet,,,,437,1000,0,25,10,7677,194,581,3683,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW815
Woopie Queen Pet,,,,437,1000,0,15,10,7821,194,581,3689,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW816
Jelly Queen Pet,,,,437,1000,0,8,10,7822,194,581,3690,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW817
Rackie Queen Pet,,,,437,1000,0,15,10,7823,194,581,3691,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW818
Mama Moldie Pet,,,,437,1000,0,20,10,7824,194,581,3692,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW819
Krawfy Queen Pet,,,,437,1000,0,15,10,7826,194,581,3693,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW820
Scuba Moldie Pet,,,,437,1000,0,15,10,7957,194,581,3727,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW821
Beach Ball Pet,,,,437,1000,0,5,10,7964,194,581,3729,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW822
Gold Catfox Pet,,,6,437,500000000,0,10,10,7972,194,581,3731,,,,,,,111,10,,,,,,,,,,,,,,,,,,,,,,,LJEW823
Wolf Keeper Pet,,32,,437,140000,10,15,10,7992,194,581,3734,,,,,,,31,117,,,,,,,,,,,,,,,,,,,,,,,LJEW824
Dreadnaught Pet,,32,,437,150000,10,25,10,7993,194,581,3735,,,,,,,31,128,,,,,,,,,,,,,,,,,,,,,,,LJEW825
Yeti Pet,,32,,437,110500,10,15,10,7995,194,581,3736,,,,,,,31,91,,,,,,,,,,,,,,,,,,,,,,,LJEW826
Tyrant Pet,,32,,437,125000,10,15,10,7996,194,581,3737,,,,,,,31,112,,,,,,,,,,,,,,,,,,,,,,,LJEW827
Scarab Pet,,32,,437,40550,10,5,10,7997,194,581,3738,,,,,,,31,35,,,,,,,,,,,,,,,,,,,,,,,LJEW828
Green Aqua Pet,,32,,437,33495,10,15,10,7998,194,581,3739,,,,,,,31,40,,,,,,,,,,,,,,,,,,,,,,,LJEW829
Easter Bunny Pet,,,,437,1000,0,5,10,8220,194,581,3765,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW830
Special Panda Pet,,,6,437,1000,0,5,10,1,194,581,3785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW831
Little Gecko Pet,,,6,437,1000,0,5,10,8408,194,581,3786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW832
Silver Spider Pet,,27,6,437,1000,0,20,10,8465,194,581,3684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW833
Terrapin Pet,,32,,437,506000,0,15,10,8484,194,581,3824,,,,,,,31,215,,,,,,,,,,,,,,,,,,,,,,,LJEW834
Crystal Crab Pet,,32,,437,506000,0,15,10,8485,194,581,3825,,,,,,,31,215,,,,,,,,,,,,,,,,,,,,,,,LJEW835
Shaman Zombie Pet,,32,,437,403000,0,10,10,2438,194,581,3915,,,,,,,31,160,,,,,,,,,,,,,,,,,,,,,,,LJEW836
Heavy Tumbler Pet,,32,,437,403000,0,20,10,2439,194,581,3916,,,,,,,31,160,,,,,,,,,,,,,,,,,,,,,,,LJEW837
Vicious Bunny Pet,,,,437,1000,0,5,10,2580,194,581,3793,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,LJEW838
Pink Gecko Pet,,,6,437,1000,0,5,10,2594,194,581,3794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW839
Glacial Gecko Pet,,,6,437,1000,0,5,10,2730,194,581,3870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW840
Necromancer's Hound Pet,,28,6,437,1000,10,15,10,8679,194,581,3871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW841
Island Cockroach Pet,,,,437,1000,0,5,10,2751,194,581,3872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW842
Elec Ghost Pet,,,6,437,0,0,0,10,2752,194,581,3873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW843
Dark Chaser Pet,,,,437,1000,0,5,10,2887,194,581,3874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW844
Halloween Spider Pet,,,,437,1000,0,5,10,2892,194,581,3875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW845
Amber Gecko Pet,,,6,437,1000,0,5,10,3935,194,581,3918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW846
Sunlight Gecko Pet,,,6,437,1000,0,5,10,3937,194,581,3919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW847
Blue Chub Chub Pet,,,6,437,1000,0,10,10,3939,194,581,3920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW848
Orange Chub Chub Pet,,,6,437,1000,0,10,10,3940,194,581,3921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW849
Pink Chub Chub Pet,,,6,437,1000,0,10,10,3941,194,581,3922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW850
Red Chub Chub Pet,,,6,437,1000,0,10,10,3942,194,581,3923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW851
Yellow Chub Chub Pet,,,6,437,1000,0,10,10,3943,194,581,3924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW852
Pincer Pet,,,,437,1000,0,5,10,1,194,581,2771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW853
Hook Pet,,,,437,1000,0,5,10,1,194,581,2772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW854
Moss Ent Pet,,,,437,1000,0,5,10,1,194,581,2773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW855
Woodland Spirit Pet,,29,6,437,1000,10,15,10,8844,194,581,2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW856
Event Monkey Pet,,,6,437,1000,0,5,10,8829,194,581,2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW857
Bonsai Pet,,,6,437,1000,0,15,10,8830,194,581,2776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW858
Icy Bonsai Pet,,,6,437,1000,0,15,10,8831,194,581,2777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW859
Azure Chub Chub Pet,,,6,437,1000,0,10,10,9709,194,581,3928,,,100,,,,,,,,,,,,,,,,,,,,,,,,720,,,,LJEW860
Tyrant Warship,,,,440,0,0,1,10,8876,251,389,,,,55,,,,122,45,,,,,,,,,,,,,,,,,,,,,,,LJEW861
Winter Maul,,,,440,0,0,1,10,8877,251,390,,,,55,,,,122,45,,,,,,,,,,,,,,,,,,,,,,,LJEW862
Jack Lantern,,,,440,0,0,1,10,8879,251,358,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW863
Jack Lantern Tower,,,,440,0,0,1,10,8880,251,356,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW864
Pomic,,,,440,0,0,1,10,8881,251,392,,,,25,,,,122,15,,,,,,,,,,,,,,,,,,,,,,,LJEW865
Woopie,,,,440,0,0,1,10,8882,251,393,,,,35,,,,122,25,,,,,,,,,,,,,,,,,,,,,,,LJEW866
Oro Gear Replica,,,,440,0,0,1,10,8883,251,395,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW867
Halloween Tree,,,,440,0,0,1,10,8884,251,396,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW868
Mummy Soldier,,,,440,0,0,1,10,8885,251,397,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW869
Reindeer,,,,440,0,0,1,10,8908,251,429,,,,40,,,,122,30,,,,,,,,,,,,,,,,,,,,,,,LJEW870
Yeti,,,,440,0,0,1,10,8909,251,430,,,,50,,,,122,40,,,,,,,,,,,,,,,,,,,,,,,LJEW871
Ruper Wizard,,,,440,0,0,1,10,8910,251,431,,,,50,,,,122,40,,,,,,,,,,,,,,,,,,,,,,,LJEW872
Drunken Lunaris Bear,,,,440,0,0,1,10,8911,251,432,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW873
Crystal Sculpture Statue,,,,439,0,0,1,10,8912,251,427,,,,200,,,,122,140,,,,,,,,,,,,,,,,,,,,,,,LJEW874
Little Reindeer,,,,440,0,0,1,10,8913,251,433,,,,40,,,,122,30,,,,,,,,,,,,,,,,,,,,,,,LJEW875
Equestrian Statue,,,,439,0,0,1,10,8914,251,304,,,,450,,,,122,350,123,50,,,,,,,,,,,,,,,,,,,,,LJEW876
Spotted Choropy,,,,440,0,0,1,10,8915,251,447,,,,20,,,,122,10,,,,,,,,,,,,,,,,,,,,,,,LJEW877
Red Pomic,,,,440,0,0,1,10,8916,251,448,,,,30,,,,122,20,,,,,,,,,,,,,,,,,,,,,,,LJEW878
Witches Cauldron,,,,440,0,0,1,10,8918,251,449,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW879
Firecracker Penguin,,,,440,0,0,1,10,8919,251,450,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW880
Evil Jack Statue,,,,439,0,0,1,10,8920,251,451,,,,,,,,122,0,,,,,,,,,,,,,,,,,,,,,,,LJEW881
Goblin Guardian Statue,,,,439,0,0,1,10,8921,251,456,,,,110,,,,122,85,121,75,,,,,,,,,,,,,,,,,,,104,219,LJEW882
Lava Golem Statue,,,,439,0,0,1,10,8922,251,457,,,,300,,,,122,225,121,25,,,,,,,,,,,,,,,,,,,117,2652,LJEW883
Giant Ice Crystal Statue,,,,439,0,0,1,10,8924,251,458,,,,180,,,,122,130,121,15,,,,,,,,,,,,,,,,,,,108,3863,LJEW884
Crystal Sculpture Statue,,,,439,0,0,1,10,8925,251,459,,,,165,,,,122,120,,,,,,,,,,,,,,,,,,,,,,,LJEW885
Varus Statue,,,,439,0,0,1,10,8923,251,460,,,,150,,,,122,110,,,,,,,,,,,,,,,,,,,,,,,LJEW886
Lich Pharaoh Statue,,,,439,0,0,1,10,8928,251,461,,,,315,,,,122,240,121,25,,,,,,,,,,,,,,,,,,,118,2491,LJEW887
Moss Golem Statue,,,,439,0,0,1,10,8927,251,462,,,,250,,,,122,215,121,75,,,,,,,,,,,,,,,,,,,114,1627,LJEW888
Hook Guardian Statue,,,,439,0,0,1,10,8936,251,467,,,,225,,,,122,190,121,75,,,,,,,,,,,,,,,,,,,110,1621,LJEW889
Predator Guardian Statue,,,,439,0,0,1,10,8937,251,468,,,,230,,,,122,195,121,75,,,,,,,,,,,,,,,,,,,111,1624,LJEW890
Lunar Crystals,,,,440,0,0,1,10,8938,251,469,,,,60,,,,122,45,,,,,,,,,,,,,,,,,,,,,,,LJEW891
Frost Dragon Statue,,,,439,0,0,1,10,8957,251,470,,,,200,,,,122,170,121,15,,,,,,,,,,,,,,,,,,,106,670,LJEW892
Pink Guitar Stand,,,,440,0,0,1,10,8958,251,391,,,,55,,,,122,40,,,,,,,,,,,,,,,,,,,,,,,LJEW893
Immortal Crystals,,,,440,0,0,1,10,8959,251,471,,,,65,,,,122,50,,,,,,,,,,,,,,,,,,,,,,,LJEW894
Subjugation Totem,,,,440,0,0,1,10,8960,251,472,,,,70,,,,122,55,121,5,,,,,,,,,,,,,,,,,,,115,2458,LJEW895
Pincer,,,,440,0,0,1,10,8961,251,473,,,,70,,,,122,60,,,,,,,,,,,,,,,,,,,,,,,LJEW896
Nepenthes,,,,440,0,0,1,10,8962,251,474,,,,70,,,,122,60,,,,,,,,,,,,,,,,,,,,,,,LJEW897
Moss Ent,,,,440,0,0,1,10,8963,251,475,,,,80,,,,122,70,121,15,,,,,,,,,,,,,,,,,,,114,1627,LJEW898
Black Kitten,,,,440,0,0,1,10,8964,251,364,,,,50,,,,122,35,,,,,,,,,,,,,,,,,,,,,,,LJEW899
Seven Knights Memorial,,,,440,0,0,1,10,8965,251,497,,,,100,,,,122,70,123,10,,,,,,,,,,,,,,,,,,,,,LJEW900
Kitten,,,,440,0,0,1,10,8966,251,496,,,,50,,,,122,35,,,,,,,,,,,,,,,,,,,,,,,LJEW901
Catfox in a Box,,,,440,0,0,1,10,8967,251,498,,,,60,,,,122,45,,,,,,,,,,,,,,,,,,,,,,,LJEW902
Painting Easel,,,,440,0,0,1,10,8968,251,499,,,,60,,,,122,45,,,,,,,,,,,,,,,,,,,,,,,LJEW903
Patchwork Rabbit,,,,440,0,0,1,10,8978,251,500,,,,60,,,,122,45,,,,,,,,,,,,,,,,,,,,,,,LJEW904
Gold Catfox in a Box,,,,440,0,0,1,10,1,251,501,,,,,,,,122,0,111,10,,,,,,,,,,,,,,,,,,,,,LJEW905
Bronze Trophy,,,6,440,0,0,1,10,9141,251,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW906
Silver Trophy,,,6,440,0,0,1,10,9142,251,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW907
Gold Trophy,,,6,440,0,0,1,10,9143,251,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW908
Soccer Ball Pet,,,,437,0,0,5,10,9257,194,581,3951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW909
Lightning Elemental Pet,,30,2,437,1000,10,5,10,9633,194,581,2779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW910
Duke Pet,,,6,437,1000,0,15,10,9634,194,581,2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW911
Aurora Retainer Pet,,32,,437,150000,0,0,10,9816,194,581,4086,,,,,,,31,210,,,,,,,,,,,,,,,,,,,,,,,LJEW912
Wisp Spirit Pet,,32,,437,150000,0,0,10,9817,194,581,4087,,,,,,,31,210,,,,,,,,,,,,,,,,,,,,,,,LJEW913
Libertas Pet,,32,,437,150000,0,0,10,9818,194,581,4088,,,,,,,31,210,,,,,,,,,,,,,,,,,,,,,,,LJEW914
Origin Seeker Pet,,32,,437,150000,0,0,10,9997,194,581,4094,,,,,,,31,200,,,,,,,,,,,,,,,,,,,,,,,LJEW915
Camprohos Pet,,32,,437,150000,0,0,10,9998,194,581,4095,,,,,,,31,200,,,,,,,,,,,,,,,,,,,,,,,LJEW916
Ulverick Pet,,32,,437,150000,0,0,10,9999,194,581,4096,,,,,,,31,200,,,,,,,,,,,,,,,,,,,,,,,LJEW917
Karkian Beast Pet,,32,,437,150000,0,0,10,10000,194,581,4097,,,,,,,140,5,,,,,,,,,,,,,,,,,,,,,,,LJEW918
Diatom Pet,,32,,437,150000,0,0,10,10001,194,581,4098,,,,,,,140,10,,,,,,,,,,,,,,,,,,,,,,,LJEW919
Watcher Pet,,32,,437,150000,0,0,10,10002,194,581,4099,,,,,,,140,10,,,,,,,,,,,,,,,,,,,,,,,LJEW920
Toxic Breather Pet,,32,,437,150000,0,0,10,10003,194,581,4100,,,,,,,140,10,,,,,,,,,,,,,,,,,,,,,,,LJEW921
Maple Bonsai Pet,,,6,437,1000,0,15,10,10004,194,581,2781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJEW922
