,,,,,,,,,,Forge,Seasonal Event,Item Swap,No Disassem
????????,421,,14,12041,4,12189,4,,,,,,
????????,421,,19,12041,5,12192,5,,,,,,
????????,421,,26,12042,6,12099,3,,,,,,
????????,421,,39,12042,8,12099,5,,,,,,
????????,421,,49,12043,9,12101,8,,,,,,
????????,421,,64,12043,10,12101,9,,,,,,
????????,421,,70,12044,25,12101,10,12126,10,,,,
????????,421,,80,12044,30,12101,15,12126,12,,,,
????????,421,,95,12045,35,12011,15,12127,15,,,,
????????,421,,100,12045,40,12012,20,12128,15,,,,
????????,421,,105,12046,45,12013,25,12129,18,,,,
????????,421,,110,12046,50,12014,30,12130,20,,,,
????????,422,,150,12047,40,12128,30,12194,30,,,,
????????,422,,190,12048,50,12128,40,12262,40,,,,
????,421,,18,12031,10,12179,5,,,,,,
????,421,,28,12031,15,12180,6,,,,,,
????,421,,38,12032,20,12190,7,,,,,,
????,421,,48,12032,25,12099,4,,,,,,
????,421,,58,12033,30,12099,6,,,,,,
????,421,,68,12033,35,12102,10,,,,,,
????,421,,80,12034,40,12102,11,12126,2,,,,
????,421,,90,12034,45,12102,12,12126,3,,,,
????,421,,100,12035,30,12011,10,12127,4,,,,
????,421,,110,12035,30,12012,15,12128,5,,,,
????,421,,120,12036,35,12013,20,12129,6,,,,
????,421,,130,12036,40,12014,25,12130,7,,,,
????,422,,170,12037,30,12128,20,12261,10,,,,
????,422,,200,12037,35,12128,25,12262,12,,,,
????,422,,230,12038,40,12129,30,12263,14,,,,
??,421,,17,12031,5,12171,3,,,,,,
??,421,,25,12031,6,12172,6,,,,,,
??,421,,28,12032,9,12173,9,,,,,,
??,421,,40,12032,12,12174,12,,,,,,
??,421,,58,12033,15,12175,15,,,,,,
??,421,,68,12033,18,12176,18,,,,,,
??,421,,77,12034,21,12102,5,,,,,,
??,421,,88,12034,24,12102,7,12126,2,,,,
??,421,,95,12035,27,12045,14,12127,4,,,,
??,421,,105,12035,30,12046,15,12128,6,,,,
??,421,,115,12036,33,12047,16,12129,8,,,,
??,421,,125,12037,36,12048,18,12130,10,,,,
??,422,,155,12038,20,12048,20,12194,15,,,,
??,422,,185,12038,25,12048,22,12261,20,,,,
??,422,,215,12039,30,12049,22,12262,25,,,,
,422,,240,12039,35,12049,24,12263,30,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
??,424,,13,12041,2,12180,4,,,,,,
??,424,,19,12041,5,12185,5,,,,,,
??,424,,29,12041,8,12187,5,,,,,,
??,424,,45,12042,12,12186,5,,,,,,
??,424,,58,12042,12,12188,5,,,,,,
??,421,,48,12042,12,12102,10,,,,,,
??,421,,70,12043,14,12102,10,,,,,,
??,421,,75,12043,16,12053,15,12126,3,,,,
??,421,,85,12044,20,12054,15,12127,4,,,,
??,421,,95,12044,24,12055,15,12128,5,,,,
??,421,,105,12045,28,12056,10,12129,6,,,,
??,421,,110,12046,30,12057,10,12130,7,,,,
??,422,,130,12047,20,12058,15,12194,5,,,,
??,422,,160,12047,25,12058,20,12261,6,,,,
??,422,,180,12048,30,12059,22,12262,7,,,,
??,422,,210,12048,35,12059,25,12263,8,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
????,424,,35,12041,5,12172,2,,,,,,
????,424,,55,12042,10,12173,3,,,,,,
????,421,,45,12043,15,12174,4,,,,,,
????,421,,55,12044,20,12175,5,,,,,,
????,421,,65,12045,25,12185,10,,,,,,
????,421,,75,12046,30,12186,15,,,,,,
????,421,,85,12011,50,12187,20,12126,2,,,,
????,421,,95,12012,60,12188,25,12127,2,,,,
????,422,,120,12047,35,12127,30,12194,10,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
??,424,,18,12001,3,12176,1,,,,,,
??,424,,23,12002,6,12177,2,,,,,,
??,424,,33,12003,9,12178,3,,,,,,
??,424,,48,12004,12,12179,4,,,,,,
??,424,,65,12005,15,12100,2,,,,,,
??,424,,75,12006,20,12100,4,,,,,,
??,421,,65,12041,10,12100,6,,,,,,
??,421,,80,12041,15,12102,8,12126,1,,,,
??,421,,100,12042,20,12102,10,12126,2,,,,
??,421,,120,12043,25,12102,12,12127,2,,,,
??,421,,130,12044,30,12033,15,12127,4,,,,
??,421,,140,12045,35,12034,20,12128,3,,,,
??,421,,150,12046,40,12035,25,12128,6,,,,
??,421,,160,12047,45,12036,30,12129,4,,,,
??,421,,170,12048,50,12037,35,12129,8,,,,
??,422,,210,12048,30,12194,30,12129,12,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??,,,,,,,,,,,,,
??????,421,,38,12051,20,12178,5,,,,,,
??????,421,,55,12052,25,12179,9,,,,,,
??????,421,,70,12053,30,12100,4,,,,,,
??????,421,,85,12054,35,12100,6,,,,,,
??????,421,,100,12055,40,12100,8,,,,,,
??????,421,,120,12041,15,12100,10,,,,,,
??????,421,,140,12042,30,12101,15,12126,5,,,,
??????,421,,160,12043,45,12101,20,12127,10,,,,
??????,421,,180,12044,60,12101,25,12128,15,,,,
??????,421,,200,12045,75,12101,30,12129,20,,,,
??????,422,,220,12046,80,12195,35,12129,30,,,,
??????,422,,240,12047,55,12195,25,12007,25,,,,
??????,422,,250,12048,60,12194,30,12007,30,,,,
??????,422,,260,12048,70,12194,35,12008,35,,,,
??????,422,,280,12049,80,12262,40,12008,40,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????????,424,,15,12001,5,12176,10,,,,,,
??????????,424,,25,12001,10,12174,10,,,,,,
??????????,424,,35,12001,15,12177,20,,,,,,
??????????,424,,45,12002,20,12178,25,,,,,,
??????????,424,,65,12002,25,12189,30,,,,,,
??????????,424,,85,12003,30,12190,35,,,,,,
??????????,424,,100,12003,35,12041,15,12126,20,,,,
??????????,424,,120,12004,40,12042,20,12127,25,,,,
??????????,424,,140,12004,45,12043,25,12128,30,,,,
??????????,424,,160,12005,55,12044,30,12014,15,,,,
??????????,424,,180,12006,60,12045,35,12015,15,,,,
??????????,421,,130,12045,40,12013,30,12194,15,,,,
??????????,421,,150,12046,50,12013,35,12261,20,,,,
??????????,422,,170,12047,60,12006,40,12262,25,,,,
??????????,422,,180,12048,70,12007,45,12263,30,,,,
??????????,422,,200,12048,80,12008,50,12264,35,,,,
??????????,,,,,,,,,,,,,
??????????,,,,,,,,,,,,,
??????????,,,,,,,,,,,,,
??????????,,,,,,,,,,,,,
????????,424,,18,12001,5,12176,5,,,,,,
????????,424,,23,12001,10,12174,7,,,,,,
????????,424,,28,12001,15,12177,9,,,,,,
????????,424,,48,12002,20,12178,11,,,,,,
????????,424,,63,12002,25,12189,13,,,,,,
????????,424,,85,12003,40,12190,15,,,,,,
????????,424,,100,12003,50,12183,18,,,,,,
????????,424,,120,12004,60,12061,3,12126,15,,,,
????????,424,,130,12004,70,12061,4,12127,20,,,,
????????,424,,140,12005,80,12062,5,12128,25,,,,
????????,424,,150,12005,90,12063,30,12014,10,,,,
????????,424,,160,12006,100,12064,35,12015,15,,,,
????????,422,,140,12007,50,12013,25,12261,25,,,,
????????,422,,160,12008,60,12014,30,12262,30,,,,
????????,422,,180,12009,70,12129,25,12263,35,,,,
????????,,,,,,,,,,,,,
????????,,,,,,,,,,,,,
????????,,,,,,,,,,,,,
????????,,,,,,,,,,,,,
????????,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
??????,421,,15,12032,4,12176,1,,,,,,
??????,421,,20,12034,6,12174,2,,,,,,
??????,421,,25,12034,8,12177,3,,,,,,
??????,421,,33,12035,10,12178,4,,,,,,
??????,421,,38,12036,12,12189,5,,,,,,
??????,421,,43,12189,14,12190,6,,,,,,
??????,421,,48,12189,16,12126,5,,,,,,
??????,421,,55,12189,18,12127,10,,,,,,
??????,421,,60,12189,20,12127,12,12126,2,,,,
??????,421,,68,12191,22,12128,14,12127,4,,,,
??????,421,,74,12192,25,12129,16,12128,6,,,,
??????,422,,100,12006,20,12194,20,12128,8,,,,
??????,422,,120,12006,30,12261,22,12129,10,,,,
??????,422,,130,12007,40,12262,24,12129,15,,,,
??????,422,,140,12007,30,12263,25,12101,30,,,,
??????,422,,150,12008,40,12264,30,12102,40,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,8004,1,8005,1,12099,10,,,,,,
??????,,8005,1,8033,1,12101,10,,,,,,
??????,,8006,1,8006,1,12102,10,,,,,,
??????,,8036,1,8036,1,12126,10,,,,,,
??????,,8007,1,8008,1,12127,10,,,,,,
??????,,8009,1,8010,1,12128,10,,,,,,
??????,,8011,1,8137,1,12129,10,,,,,,
??????,,8012,1,8138,1,12130,10,,,,,,
??????,,8013,1,8013,1,12130,10,,,,,,
??????,,8014,1,8015,1,12012,11,,,,,,
??????,,8015,1,8015,1,12013,15,,,,,,
??????,,8017,1,8017,1,12014,18,,,,,,
??????,,8018,1,8017,1,12015,20,,,,,,
??????,,8017,1,8016,1,12015,22,,,,,,
??????,,8018,1,8018,1,12016,25,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Tarz,424,,6,12041,3,12172,1,,,,,,
????,424,,9,12041,4,12172,2,,,,,,
????,421,,12,12042,5,12172,3,,,,,,
????,421,,18,12042,6,12172,4,,,,,,
????,421,,22,12043,7,12172,5,,,,,,
????,421,,28,12043,8,12172,6,,,,,,
????,421,,30,12044,9,12172,7,,,,,,
????,421,,36,12044,10,12172,8,,,,,,
????,421,,42,12045,11,12172,9,,,,,,
????,421,,49,12046,12,12172,10,,,,,,
????,421,,60,12047,13,12172,12,,,,,,
????,421,,70,12048,15,12265,10,,,,,,
????,421,,85,12049,20,12265,12,,,,,,
????,422,,96,12006,30,12265,15,,,,,,
????,422,,108,12007,35,12265,16,,,,,,
????,422,,130,12008,35,12265,20,,,,,,
Crimson Warlord Shield,422,,152,12009,45,12287,30,12155,10,,,,
Aurum Warlord Shield,422,,152,12029,45,12287,30,12156,10,,,,
Attribution Shield,422,,210,9018,1,12577,70,12559,1,,,,
Atonement Shield,422,,210,9020,1,12577,70,12559,1,,,,
Jelly Bean Doll,426,,20,12097,4,12111,5,,,,,,
Choropy Doll,426,,30,12097,5,12111,10,,,,,,
Pumpkin Doll,426,,40,12097,8,12111,15,,,,,,
HoneyBee Doll,426,,50,12097,10,12111,20,,,,,,
Foretelling Shield,422,,220,12009,40,12584,30,12579,15,,,,
Spider Shield,421,,240,12192,100,12278,90,12597,30,,,,
Wolf Doll,426,,60,12097,15,12112,25,,,,,,
????????,,,,,,,,,,,,,
????????,,,,,,,,,,,,,
????????,,,,,,,,,,,,,
????????,424,,15,12190,10,12033,10,,,,,,
????????,426,,20,12111,12,12042,12,,,,,,
????????,426,,30,12111,15,12043,14,,,,,,
????????,421,,25,12101,10,12055,6,,,,,,
????????,426,,50,12112,12,12044,11,,,,,,
????????,426,,60,12112,15,12045,13,,,,,,
????????,421,,70,12173,22,12032,16,,,,,,
????????,421,,80,12173,28,12033,18,,,,,,
????????,421,,90,12161,2,12034,26,,,,,,
????????,421,,100,12162,2,12035,28,,,,,,
????????,421,,110,12163,7,12036,30,,,,,,
????????,421,,120,12164,8,12037,32,,,,,,
????????,421,,130,12128,20,12038,34,,,,,,
????????,421,,140,12197,15,12113,36,,,,,,
????????,421,,160,12261,10,12126,20,,,,,,
????????,421,,170,12262,15,12126,25,,,,,,
????????,422,,150,12263,20,12127,30,,,,,,
????????,422,,160,12264,25,12127,35,,,,,,
????????,422,,170,12265,30,12128,40,,,,,,
Mystic Shell,428,,30,12064,50,12019,20,11331,10,,,,
Enchanting Heart,428,,40,12066,60,12380,10,11332,15,,,,
Blessed Twin Moons,428,,60,12068,80,12580,20,12560,1,,,,
Haunting Heart,428,,40,12066,60,12380,10,11302,15,,,,
Exalted Twin Moons,428,,60,12068,80,12581,20,12560,1,,,,
Magic Tool of Infinity,428,,90,12608,120,12607,120,12557,70,,,,
Fafnir Artifact,428,,90,12608,120,12606,120,12557,70,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
??????,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Leave this row blank,,,,,,,,,,,,,
,,,,,,,,,,,,,
Wooden Frame,424,,80,12041,20,12201,10,12211,1,,,,
Wooden Carbon Frame,424,,100,12042,30,12202,15,12211,1,,,,
Colmandy Frame,421,,150,12043,40,12203,20,12211,1,,,,
Colmanju Frame,421,,200,12044,50,12204,25,12211,1,,,,
Sporty Frame,421,,250,12045,60,12205,30,12212,1,,,,
Sporty Red Frame,421,,300,12046,70,12206,35,12212,1,,,,
Sporty Black Frame,421,,300,12282,125,12278,35,12212,1,,,,
Sporty Black Frame,421,,400,12272,135,12208,1,12212,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
First Engine,421,,100,12201,25,12061,10,12221,1,,,,
Second Engine,421,,150,12202,30,12062,15,12221,1,,,,
Dural Engine,421,,200,12203,40,12063,20,12221,1,,,,
Halloween Engine? (Not used),421,,250,12264,45,12065,35,12221,1,,,,
Tricky Engine,421,,300,12279,90,12067,40,12221,1,,,,
Jet Engine,421,,450,12281,110,12207,2,12221,1,,,,
????-????,421,,600,12281,175,12207,4,12221,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Wooden Wheels,424,,50,12061,10,12201,15,12211,1,,,,
Carbon Wheels,421,,80,12061,20,12202,20,12211,1,,,,
Rapid Wheels,421,,130,12062,30,12203,25,12212,1,,,,
Steel Wheels,421,,230,12064,40,12204,35,12212,1,,,,
Tomahawk Wheels,421,,350,12066,60,12270,1,12212,1,,,,
Green MiniTank Wheels,421,,480,12634,70,12576,10,12214,1,,,,
Blue MiniTank Wheels,421,,480,12634,70,12576,10,12214,1,,,,
Yellow MiniTank Wheels,421,,480,12634,70,12576,10,12214,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
????-????,424,,70,12007,25,12015,35,12211,2,,,,
????-????,421,,80,12016,30,12037,15,12212,2,,,,
Fire Booster,421,,700,12550,360,12576,15,12215,1,,,,
Silver Fire Booster,421,,700,12561,360,12576,15,12215,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sporty Pink Frame,421,,450,12264,50,12154,5,12212,1,,,,
Sporty WR Frame,421,,500,12271,180,12207,1,12212,1,,,,
Sporty WB Frame,421,,550,12279,110,12209,1,12212,1,,,,
Sporty BR Frame,421,,600,12038,60,12139,20,12212,1,,,,
Bull Cart Craft,421,,800,12103,150,12104,30,12213,1,,,,
Bull Engine Craft,421,,550,12281,150,12207,3,12221,1,,,,
Bull Wheels Craft,421,,450,12068,50,12286,70,12213,1,,,,
Sporty Orange Frame,421,,650,12019,90,12294,70,12212,1,,,,
Green MiniTank Frame,421,,840,12635,50,12576,10,12214,1,,,,
Blue MiniTank Frame,421,,840,12635,50,12576,10,12214,1,,,,
Yellow MiniTank Frame,421,,840,12635,50,12576,10,12214,1,,,,
Sporty White Frame,421,,650,12534,100,12157,7,12212,1,,,,
,,,,,,,,,,,,,
Woodstock Core,421,,250,12046,100,12205,60,12226,1,,,,
Reinforced Stock Core,421,,300,12047,150,12206,70,12226,1,,,,
Oro Core,421,,500,12048,250,12141,1,12226,1,,,,
Blaster Core,421,,600,12206,100,12639,140,12228,1,,,,
Armored Beetle Core,421,,500,12578,20,12206,90,12229,1,,,,
Heavygear Core,421,,450,12048,225,12030,80,12230,1,,,,
Admonishment Core,421,,500,12615,360,12206,90,12232,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fornef Engine,421,,150,12203,30,12064,10,12231,1,,,,
Sheft Engine,421,,180,12204,50,12065,30,12231,1,,,,
Luxem Engine,421,,210,12205,50,12066,30,12231,1,,,,
Heavygear Engine,421,,220,12206,55,12067,30,12231,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Stand Leg,421,,80,12036,50,12202,30,12226,1,,,,
Runihol Leg,421,,120,12036,60,12203,40,12226,1,,,,
Oro Leg,421,,240,12040,140,12141,1,12226,1,,,,
Blaster Leg,421,,280,12203,80,12639,100,12228,1,,,,
Armored Beetle Leg,421,,240,12578,10,12203,60,12229,1,,,,
Heavygear Wheels,421,,225,12039,140,12204,60,12230,1,,,,
Admonishment Leg,421,,240,12621,50,12203,60,12232,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Punch/Drill Arms,421,,120,12034,50,12201,40,12235,1,,,,
Drill Arms,421,,180,12035,60,12202,50,12235,1,,,,
Sword Wheel Arms,421,,240,12036,70,12203,60,12235,1,,,,
Cannon Arms,421,,300,12037,80,12204,70,12235,1,,,,
Spear Arms,421,,360,12038,90,12205,80,12235,1,,,,
Oro Arm,421,,400,12040,100,12141,1,12235,1,,,,
Crystal Drill Arms,421,,460,12554,840,12207,185,12236,1,,,,
Blaster Arms,421,,520,12210,240,12639,125,12228,1,,,,
Armored Beetle Arms,421,,400,12578,15,12205,60,12235,1,,,,
Armored Beetle Blades,421,,420,12578,20,12205,70,12237,1,,,,
Heavygear Arms,421,,430,12039,100,12206,90,12235,1,,,,
Admonishment Arms,421,,400,12615,220,12210,100,12235,1,,,,
Blaster Launchers,421,,520,12210,240,12640,40,12228,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Stone of Wrath,,12493,480,,,,,,,,,,
Stone of Agility,,12490,480,,,,,,,,,,
Stone of Mind,,12491,480,,,,,,,,,,
Stone of Void,,12489,480,,,,,,,,,,
Stone of Luck,,12488,480,,,,,,,,,,
Stone of Disaster,,12492,480,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Wicked Ruby [1],427,,30,11314,4,12558,4,,,,,,
Wicked Ruby [2],427,,40,11315,1,11431,2,12558,6,,,,
Wicked Ruby [3],427,,50,11316,1,11432,2,12558,8,,,,
Wicked Garnet [1],427,,30,11304,4,12558,4,,,,,,
Wicked Garnet [2],427,,40,11305,1,11435,2,12558,6,,,,
Wicked Garnet [3],427,,50,11306,1,11436,2,12558,8,,,,
Wicked Topaz [1],427,,30,11334,4,12558,4,,,,,,
Wicked Topaz [2],427,,40,11335,1,11439,2,12558,6,,,,
Wicked Topaz [3],427,,50,11336,1,11440,2,12558,8,,,,
Wicked Sapphire [1],427,,30,11324,4,12558,4,,,,,,
Wicked Sapphire [2],427,,40,11325,1,11443,2,12558,6,,,,
Wicked Sapphire [3],427,,50,11326,1,11444,2,12558,8,,,,
Wicked Tourmaline [1],427,,30,11414,4,12558,4,,,,,,
Wicked Tourmaline [2],427,,40,11415,1,11447,2,12558,6,,,,
Wicked Tourmaline [3],427,,50,11416,1,11448,2,12558,8,,,,
Wicked Emerald [1],427,,30,11344,4,12558,4,,,,,,
Wicked Emerald [2],427,,40,11345,1,11451,2,12558,6,,,,
Wicked Emerald [3],427,,50,11346,1,11452,2,12558,8,,,,
Oppresion Flame,434,,120,12155,10,11404,1,,,,,,
,,,,,,,,,,,,,
Garnet [1],427,,10,12163,5,,,,,,,,
Garnet [2],427,,10,11301,2,,,,,,,,
Garnet [3],427,,12,11302,2,,,,,,,,
Garnet [4],427,,12,11303,2,12155,1,,,,,,
Garnet [5],427,,12,11304,2,12155,2,,,,,,
Garnet [6],427,,15,11305,2,12155,3,,,,,,
Garnet [7],427,,20,11306,2,12155,4,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ruby [1],427,,10,12163,5,,,,,,,,
Ruby [2],427,,10,11311,2,,,,,,,,
Ruby [3],427,,12,11312,2,,,,,,,,
Ruby [4],427,,12,11313,2,12155,1,,,,,,
