,,,12:????,,,,,10:????,,,11:????,,,01~06:??????,,,08~09:????,,07:??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12192,12192,,10163,,12192,12191,,12191,10171,10153,12192,12191,12192,12191,12192,,12192,,7251,12192,12191,12192,12191,,1,,,2,3,4,2093,3123,8305,8206,8405,8007,2013,4013,5013,3013,8166,8433,8335,8134,6245,8335,8263,8166,8762
,12192,,12191,12191,12191,10172,12191,,10153,12192,10163,12192,12191,12192,12191,12192,7251,12192,12189,12191,12189,12191,,,,1,2,3,4,8207,8264,8063,8167,8434,8135,4033,5418,2093,3123,8107,8009,8063,8167,9066,8237,8107,8009,8675,8562,
,,12192,,12191,12191,12192,12191,,10171,12192,12192,,12192,12191,12192,12191,12192,7261,12192,10429,12192,12191,,,1,3,2,2,4,8109,8436,8169,8436,8338,8266,3034,4427,5094,2124,8011,8109,8210,8239,6247,8210,2426,3426,4526,5626,
Goblin Warrior,12192,,12191,12191,12191,10171,12191,,12191,12192,10165,12192,,10155,12191,12192,,12192,7261,10430,8001266,8001267,7158,12164,12161,12161,1,2,3,4,8064,8168,8435,8337,8265,8136,4034,5064,2094,3124,8064,8168,8435,8136,9007,8010,8168,8265,8854,8854
,12191,,10172,12191,12191,12192,12191,,10155,12192,12191,12192,,10165,12191,12192,12199,12192,7271,10430,12189,12199,7159,,1,3,2,2,4,8010,2064,8169,8436,8338,8266,2035,3035,4035,5035,8239,8210,8409,8040,9008,8170,2724,3627,4527,5427,
,,12192,12192,10165,,12192,10171,,12191,10155,12191,12192,12192,12192,12191,12199,7261,12192,12199,10429,12192,12191,7160,,,1,3,2,2,4,2033,3063,8166,8062,8134,8405,2033,3033,4033,5033,8336,8434,8167,8037,9066,8008,8207,8236,8674,8582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin Mage and Gem GM,,12191,10155,12191,,12192,12191,10172,12191,12192,10165,12192,12192,12192,12191,12192,7251,8001269,,,12189,8001268,7162,12164,,1,2,3,4,12154,3094,4124,8170,8437,8339,8267,3035,4065,5095,2125,8110,8012,8066,8170,9009,8066,2526,3524,4624,5321
,12192,12192,12191,10155,,10171,12191,,12191,10165,12191,12192,12192,12192,12191,12199,,12192,12199,7251,12192,12191,7163,,,1,3,2,2,4,2094,3124,8337,8136,8307,8107,3034,4064,5094,2124,8337,8435,8064,8010,9067,8308,8137,8436,8615,8765
,12191,,12191,12191,10172,12192,12191,,12191,12192,12191,12192,,12192,12191,12192,,12192,,7261,12192,,12161,12162,,1,2,3,4,12155,4064,5094,8064,8168,8435,8265,4034,5064,2094,3625,8108,8209,8238,8308,9007,8169,8266,8010,8825,8505
Master Goblin,12191,12192,12191,10155,12192,12191,10173,12192,12191,12161,,10165,,12191,12162,12161,7271,12191,9200,1,1,2,2,3,4,4,4,12221,8209,8339,8341,8308,8041,2064,8139,8268,8340,8438,4034,5064,3094,2124,6247,8831,8564,8512,3532,5632,3533,
,6290,12192,10173,12164,12381,12191,10165,12381,12191,10155,12192,12191,10058,12191,10058,12164,12164,11361,1,1,2,2,3,3,3,4,4,4,4,12212,8169,8269,8341,8439,8172,3034,4064,2094,5124,8513,12151,12153,12155,12157,12154,8709,2432,3334,5432,4534
Reckless Antares,10156,10168,10180,10315,12133,11313,12009,12156,10156,10168,10180,10315,12133,11303,12010,12156,12063,12065,12163,10315,12133,11333,12155,12156,10156,8001378,8001377,10315,12133,6580,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????? ??????(??????),12161,12161,12161,12161,12161,12161,12162,12162,12162,12162,12151,12162,12151,12162,12152,12163,12152,12163,12153,12163,12153,12163,11301,11311,12164,12164,11301,11311,11321,11331,,,,,,,,,,,,,,,,,,,,
?????? ??????(??????),12161,12161,12161,12161,12162,12162,12162,12162,12162,12151,12162,12151,12163,12152,12163,12152,12163,12153,12163,12153,12163,12164,11331,11341,12164,12164,11341,11351,11361,11302,,,,,,,,,,,,,,,,,,,,
?????? ??????(??????),12161,12161,12161,12162,12162,12162,12162,12162,12162,12162,12152,12163,12152,12163,12153,12163,12153,12163,12154,12163,12154,12164,11321,11351,12164,12164,11312,11322,11332,11342,,,,,,,,,,,,,,,,,,,,
???? ??????(??????),12161,12161,12161,12162,12162,12162,12162,12162,12163,12153,12163,12153,12163,12154,12163,12154,12163,12155,12164,12155,12164,12164,11341,11351,12164,12164,11302,11332,11352,11362,,,,,,,,,,,,,,,,,,,,
?????? ??????(??????),12161,12161,12162,12162,12162,12162,12162,12162,12163,12163,12155,12163,12155,12163,12156,12163,12156,12164,12157,12164,12157,12164,11351,11361,12164,12164,11352,11352,11362,11362,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??????????(??????),12161,12161,10183,12161,12161,10184,12162,12162,10185,12162,12163,10185,12163,12163,10186,12164,11301,11311,11331,11341,12151,12152,12153,12154,11301,11311,11321,11331,11341,11351,12086,12086,,,,,,,,,,,,,,,,,,
??????????(??),12161,10183,10183,12161,12162,10184,12162,12162,10185,12162,12163,10186,12164,12164,10187,11321,11351,11331,11341,11361,10187,12153,12154,10187,12155,12156,12157,8901,6233,8967,,,,,,,,,,,,,,,,,,,,
??????????,10151,10182,,10182,10152,,12079,12079,12080,12065,12081,12078,12079,12066,12080,12082,12081,12067,12082,12065,12080,12081,,10183,,,,,,,,,,,,,,,,,,,,,,,,,,
??????7,,10182,10151,,10183,10152,12080,12081,12066,12080,12082,12083,12081,12067,12080,12082,12084,12081,12068,12066,12082,12083,,,10184,,,,,,,,,,,,,,,,,,,,,,,,,
??????8,,10153,10152,,10154,10153,12082,12082,12067,12081,12083,12066,12084,12068,12083,12067,12085,12082,12083,12084,12069,12086,,,,10185,,,,,,,,,,,,,,,,,,,,,,,,
??????(????),10151,,,10152,,10153,12079,12079,12080,12065,12081,12078,12079,12066,12080,12082,12081,12067,12082,12065,12080,12081,,11301,11311,11321,11331,11341,11351,,,,,,,,,,,,,,,,,,,,,
,12037,12038,12039,12040,12047,12048,12049,10013,10032,12008,12009,12010,12016,12017,12059,12060,12067,12068,12084,12085,12086,12099,12135,12064,12069,12134,12135,10901,12139,2402,,,,,,,,,,,,,,,,,,,,
chicken,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,10107,,,,,,,,,,,,,,,,,,,,
 ,12037,12038,12039,12040,12047,12048,12049,10013,10032,12008,12009,12010,12016,12017,12059,12060,12067,12068,12084,12085,12099,12061,12086,12064,12134,12135, ,10901,12135,,,,,,,,,,,,,,,,,,,,,
,12037,12038,12064,12040,12047,12048,12049,10013,10032,12008,12009,12010,12016,12017,12059,12060,12067,12068,12084,12085,12061,10294,12099,12134,12135,,,,,10901,2042,3042,4041,5041,,,,,,,,,,,,,,,,
,12037,12038,12039,12040,12047,12048,12049,10013,10032,12008,12009,12010,12016,12017,12059,12060,12067,12068,12084,12085,12086,12099,12135,12064,12069,12134,12135,10901,12139,2399,,,,,,,,,,,,,,,,,,,,
,12037,12038,12039,12040,12047,12048,12049,10013,10032,12008,12009,12010,12016,12017,12059,12060,12067,12068,12084,12085,12086,,12099,10901,,,,,,,,,,,,,,,,,,,,,,,,,,
,12037,12038,12039,12040,12047,12048,12049,10013,10032,12008,12009,12010,12016,12017,12059,12060,12067,12068,12084,12085,12086,10294,12095,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12037,12038,12039,12040,12047,12048,12049,10013,10032,12008,12009,12010,12016,12017,12059,12060,12067,12068,12084,12085,12086,12063,12020,3042,3102,2072,2132,8221,8051,8349,2578,2578,2579,2579,,,,,,,,,,,,,,,,
Ikaness Heavygear,12066,12381,12381,10901,10901,12154,12049,12156,12155,10901,10901,12010,12088,12381,12087,12060,12067,12068,12069,12086,1,1,2,3,2,4,3,1,,,4377,12157,5073,3133,4043,2103,8350,8023,8449,12087,12086,3578,3578,2777,2777,,4478,5377,3577,2778
Orpe,12038,12038,12038,12039,12039,12039,12039,12047,12047,12047,12048,12048,12164,12049,12049,12161,12050,12050,12162,10013,12163,10013,10032,8001292,10901,10157,12134,3072,8120,8151,,,,,,,,,,,,,,,,,,,,
,12038,12038,12038,12039,12039,12039,12039,12047,12047,12047,12048,12048,12164,12049,12049,12161,12050,12050,12162,10013,12163,10013,10032,10901,10032,10157,12134,3042,8448,8250,,,,,,,,,,,,,,,,,,,,
Orpe Lukete,12038,12038,12038,12039,12039,12039,12039,12047,12047,12047,12048,12048,12164,12049,12049,12161,12050,12050,12162,10013,12163,10013,10032,8001293,10032,11351,8278,8183,8349,12139,,,,,,,,,,,,,,,,,,,,
,12038,12038,12038,12039,12039,12039,12039,12047,12047,12047,12048,12048,12164,12049,12049,12161,12050,12050,12162,10013,12163,10901,10032,12135,8420,12197,12135,8022,2042,2401,,,,,,,,,,,,,,,,,,,,
,12038,12162,12038,12039,12039,12163,12039,12047,12047,12047,12048,12164,12164,12049,12049,12161,12050,12050,12162,10013,12163,10013,10032,10032,10032,10157,10157,10167,2779,2479,,,,,,,,,,,,,,,,,,,,
,12038,12038,12038,12039,12039,12039,12039,12047,12047,12047,12048,12048,12164,12049,12049,12161,12050,12050,12162,10013,12163,10013,10032,10032,10032,10157,10157,10167,,,,,,,,,,,,,,,,,,,,,,
,12038,12038,12039,12039,12039,12047,12137,12136,12048,12048,12049,12049,12164,12050,12050,10032,10013,10167,11312,10013,10032,10157,10901,8448,5072,3132,4042,2102,8278,8022,,,,,,,,,,,,,,,,,,,,
,10921,10922,10923,10924,10930,10931,10932,10933,10935,10938,10939,10994,10992,10993,10994,10995,10150,10149,,,,10914,,,,10916,10496,10438,10918,10940,,,,,,,,,,,,,,,,,,,,
,12038,12038,12038,12039,12039,12039,12039,12047,12047,12047,12048,12048,12164,12049,12049,12161,12050,12050,12162,10013,12163,10901,10032,12135,8420,12197,12135,8022,2042,2400,,,,,,,,,,,,,,,,,,,,
?????? ??????,10306,10010,10029,12161,12162,10312,7013,7091,12161,12162,12163,12163,12151,12151,12151,12151,12151,12151,12152,11301,11311,11321,11331,8641,8502,8581,8672,8762,8821,12211,,,,,,,,,,,,,,,,,,,,
?????? ??????,10307,10011,10029,12161,12162,10314,7014,7092,12161,12162,12163,12163,12151,12151,12151,12151,12152,12152,12152,11341,11351,11361,11302,8613,8642,8534,8614,8674,8852,12221,,,,,,,,,,,,,,,,,,,,
?????? ????,10308,10010,10029,12161,12163,10315,7015,7161,12161,12162,12162,12164,12151,12151,12151,12151,12152,12152,12153,11301,11321,11361,11312,3311,3413,3513,3613,8702,8673,12211,,,,,,,,,,,,,,,,,,,,
?????? ??????,10309,10011,10029,12161,12161,10313,7016,7162,12161,12161,12161,12161,12161,12151,12151,12151,12151,12152,12153,11321,11361,11302,11351,,,,,,,12221,,,,,,,,,,,,,,,,,,,,
Junon's Krawfy,10310,10012,10030,12161,12162,10314,7017,7091,12163,12163,12164,12151,12151,12151,12152,12152,12152,12153,12153,11321,11331,11322,11342,8705,8733,8505,8825,8584,8826,8001308,,,,,,,,,,,,,,,,,,,,
?????? ????,10311,10011,10030,12161,12162,10315,7161,7092,12163,12163,12164,12151,12151,12151,12151,12152,12152,12153,12153,11351,11361,11332,11352,8675,8562,8853,8536,8795,8765,12221,,,,,,,,,,,,,,,,,,,,
?????? ????,10312,10011,10030,12163,12163,10316,7162,7163,12163,12163,12161,12163,12151,12151,12151,12152,12152,12153,12154,11341,11332,11352,11311,,,,,,,12212,,,,,,,,,,,,,,,,,,,,
?????? ????????,10316,10012,10031,12161,12162,10317,7163,7094,12162,12163,12164,12151,12151,12152,12152,12153,12154,12154,12155,11311,11362,11302,11312,8564,8585,8766,8796,8767,8768,12226,,,,,,,,,,,,,,,,,,,,
?????? ????,10317,10012,10031,12161,12162,10318,7164,7095,12162,12163,12164,12151,12152,12152,12153,12154,12154,12155,12156,11341,11332,11342,11303,3631,3531,3432,3331,8617,8510,12235,3432,,,,,,,,,,,,,,,,,,,
Junon's Goblin King,10315,10013,10031,12161,12162,10319,7165,7018,12163,12164,12164,12151,12152,12153,12154,12154,12155,12156,12157,11351,11352,11362,11323,8735,8586,8618,8650,8679,8001309,12231,,,,,,,,,,,,,,,,,,,,
,12038,12038,12038,12039,12047,12039,12047,12047,12049,12049,12048,12048,12164,10013,12162,12161,12050,10157,10032,10167,12163,10013,10901,8349,8221,4072,2132,5042,3102,8120,12155,,,,,,,,,,,,,,,,,,,
Moss Golem,12086,12381,12086,10901,12068,12067,12068,12069,10901,12152,12153,10901,10901,12064,12156,12157,11373,12155,12155,8001295,1,1,2,3,2,4,4,,,,,,3073,4133,2043,5103,12040,12086,12087,12088,12087,12088,8279,8222,3678,3678,5378,4577,3679,2678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luna bebeg ,11351,11352,11353,11302,12212,12153,10313,10317,8565,8798,11351,11351,11352,12212,12212,12212,10313,12381,8565,8565,8798,8798,12164,12164,12164,12164,12085,12085,12085,12164,,,,,,,,,,,,,,,,,,,,
luna warship,2447,3447,4347,4447,11371,11372,11373,11312,12155,10314,10315,12164,12164,12164,12164,2447,3447,4347,4447,11371,11371,11372,12085,12085,12085,12212,12212,10314,10314,10315,,,,,,,,,,,,,,,,,,,,
luna mammoth,2749,2648,3648,3548,2749,2648,3648,3548,11361,11361,11361,11362,11362,11363,12212,12212,12212,12381,10316,10319,10319,12164,12164,12164,10322,10322,12085,12085,12156,12156,2645,2645,3545,3545,2127,2127,3648,3648,4127,4127,,,,,,,,,,
luna dread,11341,11341,11341,11342,11342,11343,11332,11332,12212,12212,12212,12156,12156,10318,10318,10318,10316,12381,3352,3352,3452,3452,3554,3554,3652,3652,8865,8865,8745,8001310,,,,,,,,,,,,,,,,,,,,
luna behemot,11301,11301,11301,11302,11302,11303,11381,11381,12235,12235,12157,12157,12157,12381,10342,10346,12381,10346,10342,8719,8719,8687,5661,5661,5561,5561,5461,5461,5361,8001311,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow Spirit,10206,10207,10206,10381,12240,10207,10206,12240,12240,10206,10207,12240,10206,12240,12240,10207,12240,12240,12240,10381,10206,12240,12240,12240,10206,12240,10381,12240,10206,10207,,,,,,,,,,,,,,,,,,,,
Snow Giant,12240,10381,10496,12240,12206,12240,12240,10206,10207,10496,12240,10207,12240,12240,10206,12240,12240,10206,10496,12240,10206,12240,10207,12240,10381,12240,10207,10496,10207,12240,,,,,,,,,,,,,,,,,,,,
Snow Abomination,8001184,8001185,8001186,8001187,8001188,8001189,8001190,8001191,8001184,8001185,8001186,8001187,8001188,8001189,8001190,8001191,8001184,8001185,8001186,8001187,8001188,8001189,8001190,8001191,8001184,8001185,8001186,8001187,8001188,8001189,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silent Allurer,12068,12060,12010,10301,10326,10321,10322,10323,10317,12010,12060,10168,10013,10032,12029,12079,12061,12062,,12060,12111,12111,12111,10301,10326,10301,10326,12029,12079,10159,,,,,,,,,,,,,,,,,,,,
Fearful Allurer,12068,12060,12010,10301,10326,10321,10322,10323,10316,12010,12060,10168,10013,10032,12029,12079,12061,12062,,12060,12111,12111,12111,10301,10326,10301,10326,12029,12079,10169,,,,,,,,,,,,,,,,,,,,
Frozen Allurer,10315,12241,10321,10322,10323,10473,10472,10381,10157,10168,10013,10032,12029,12079,12061,12062,12085,12130,10381,10157,10328,10325,12241,10324,10323,10328,10325,10324,10322,12241,,,,,,,,,,,,,,,,,,,,
Frost Dragon,12242,12242,12242,12242,8918,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,12242,,,,,,,,,,,,,,,,,,,,
Frost Dragon Unique (DONT USE YET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
used to be row 90 ~,12025,12026,12015,12125,12381,12279,12279,12279,12047,12047,12025,12015,12015,10032,10026,12064,12061,12098,12192,2102,3132,8151,11332,12285,12285,12285,12285,12285,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
???? ??,12075,12076,12077,12078,12079,12080,12161,12161,12161,12161,12161,12161,12161,12161,12161,12161,12161,12161,12161,12161,12161,12161,12161,12161,11341,11351,11351,11341,11342,11351,,,,,,,,,,,,,,,,,,,,
???? ??,12075,12076,12077,12078,12079,12080,12162,12162,12162,12162,12162,12162,12162,12162,12162,12162,12162,12162,12162,12162,12162,12162,12162,12162,11321,11331,11331,11321,11322,11332,,,,,,,,,,,,,,,,,,,,
???? ??,12076,12077,12078,12079,12080,12081,12163,12163,12163,12163,12163,12163,12163,12163,12163,12163,12163,12163,12163,12163,12163,12163,12163,12163,11301,11311,11311,11301,11302,11312,,,,,,,,,,,,,,,,,,,,
?????? ??,12076,12077,12079,12080,12081,12082,12164,12164,12164,12164,12164,12164,12164,12164,12164,12164,12164,12164,12164,12164,12164,12164,12164,12164,11361,11361,11361,11361,11362,11362,,,,,,,,,,,,,,,,,,,,
Slag and Elder Slag,12193,,12193,12194,12193,12194,,12114,12115,12194,12142,12194,12193,12142,12193,12142,12142,,12193,,12194,12193,12194,8001268,8001269,10431,1,2,3,4,8308,8338,8265,8009,8038,8010,8064,8107,8136,8168,6224,6247,9006,9007,9008,8505,8583,8675,8705,8765
???? ????,12193,12261,,12261,12193,12261,,12113,12114,12261,12143,12261,12193,12143,12193,12261,12143,12261,12193,,12261,12193,12261,12193,12261,12193,12261,12193,12261,12193,,,,,,,,,,,,,,,,,,,,
?????? ????,12193,,12193,12261,12193,12261,,12114,12115,12261,12144,12261,12193,12142,12142,12261,12142,12261,12261,,12193,12261,12193,12261,12193,12261,12193,12261,12193,12193,,,,,,,,,,,,,,,,,,,,
???? ????,,12261,12193,12261,12193,12261,,12113,12114,12261,12143,12261,12193,12143,12193,12261,12143,10432,12261,10432,12193,12261,12193,12261,12193,12261,12193,1,2,3,8309,8211,8012,8040,8066,8109,8139,8210,8240,8267,8309,8339,8796,8828,8856,,,,,
?????? ????,12193,,12193,12261,12193,12261,,12114,12115,12261,12144,12261,12193,12144,12193,12261,12144,12261,12261,,12193,12261,12193,12261,12193,12261,12193,1,2,3,8170,8138,8267,8410,8438,8240,8210,8267,8139,8139,8339,8309,8828,8856,8796,,,,,
Yeti,12193,,12193,12262,12193,12262,,12118,12118,12262,12142,12262,12193,12143,12193,12262,12143,10433,12143,10433,12193,12262,,,,1,2,3,3,4,2035,3065,4095,5125,3035,4065,5095,2125,4035,5065,8309,8211,8012,8066,8109,8139,8210,8267,8796,8856
Yeti Hunter,12193,12262,,12262,12193,12262,,12114,12115,12262,12144,12262,12193,12144,12193,12142,12142,10434,12262,10434,8001270,8001271,,,,1,2,3,3,4,4065,5095,3035,2125,2095,3125,4035,5065,2095,3035,8170,8138,8267,8309,8211,8012,8066,8109,8828,8770
Yeti Guard,12193,,12193,12262,12193,12262,,12119,12120,12262,12142,12262,12142,12142,12193,12262,12143,10435,12262,10435,12193,12262,,,,1,2,3,3,4,5065,3125,2095,4035,3065,8410,8240,8110,8013,8171,8212,8311,9007,9008,9009,8341,8411,8439,8830,8772
Yeti Captain,12193,,12193,12262,12193,12262,,12114,12115,12144,12144,12262,12193,12144,12193,12262,12144,12262,12262,,12193,12193,,,1,2,3,3,2,4,3095,4125,5035,2065,4035,5125,2065,3095,4035,3125,8437,8067,8340,8311,8511,8541,8649,8709,8772,8832
???? ??????,12193,12263,,12263,12193,12263,,12123,12124,12263,12142,12263,12142,12142,12193,12263,12164,12263,12263,,12193,12193,,,,1,2,3,3,4,2035,3065,4095,5125,5065,3125,2095,4035,3065,5095,8268,8311,8211,8067,8340,8311,8341,8411,8832,8512
Ruper Wizard,12193,,12193,12263,12193,12263,,12128,12123,12263,12143,12263,12193,12143,12143,12263,12142,12263,12263,,8001272,8001273,,,,1,2,3,3,4,4065,5095,3035,2125,2035,8111,8438,8410,8013,8171,8212,8311,9070,9071,9072,8012,8341,8312,8799,8771
Ruper Captain,,12263,12193,12263,12193,12263,,12123,12124,12142,12142,12263,12193,12142,12193,12263,12143,12263,12263,,8001275,8001275,,,1,2,3,3,2,4,8140,8171,8268,8013,8269,8241,8173,8112,8068,8043,5065,3125,2095,4035,4632,8832,5333,4634,3534,2532
???? ??????,12193,,12193,12262,12193,12262,,12128,12129,12262,12143,12143,12193,12143,12193,12262,12144,10436,12262,10436,12193,12262,,,,1,2,3,3,4,3095,4125,5035,2065,4095,8042,8311,8212,8111,8269,3125,4035,5065,2095,2035,3035,4065,5125,5332,3534
?????? ??????,12193,12262,,12262,12193,12262,,12123,12124,12262,12144,12262,12193,12144,12144,12262,12143,10436,12262,10436,12193,12262,,,,1,2,3,3,4,2035,3065,4095,5125,2065,8013,8043,8411,8311,8341,2125,3095,3632,4035,5065,8439,8172,8140,8799,8832
?????? ????,12193,,12193,12262,12193,12262,,12128,12130,12262,12142,12262,12193,12143,12193,12262,12144,12144,12262,,12193,12193,,,,1,2,3,3,4,8014,8440,8113,8043,8068,8112,8141,8173,8214,8270,4065,5095,3035,2125,4065,8512,4435,4335,4535,4635
???????? ????,12194,,12194,12265,12194,12265,,12130,12124,12265,12143,12265,12194,12144,12194,12142,12142,12265,12265,,12194,12151,12152,1,2,3,3,2,3,4,2036,5126,4096,3066,2065,8242,8213,8014,8312,8342,8412,8043,8015,8342,8441,8859,8652,8620,8587,8543
Tyrant,12194,12265,,12265,12194,12265,,12120,12125,12265,12144,12265,12194,12142,12194,12265,12144,8001276,8001277,,12194,12194,,1,2,3,3,2,3,4,8043,8113,8440,8013,8068,8112,8142,8173,8214,8242,4065,5095,3035,2125,5095,5635,5335,5435,5535,8544
FrostWorm and Elder FW,12194,12265,,12265,12194,12265,,12120,12115,12265,12143,12265,12194,12144,12144,12265,12142,12265,8001276,,12194,12194,,,,1,3,2,2,4,8140,8172,8340,8242,8312,8342,8412,8440,8173,8112,3065,2035,4095,5125,6226,5036,3126,4096,5036,2066
Winter Maul Leader,,12264,12194,12264,12194,12264,,12115,12114,12264,12144,12144,12194,12142,12194,8001274,12144,12264,12264,12161,12161,12162,11321,11311,,1,3,2,2,4,4066,2738,5096,3036,2126,5036,3126,4096,5036,2066,8015,8044,8068,8112,8440,8413,8342,8320,8566,8620
Vulcan,,12264,12194,12264,12194,12264,12123,12123,12123,12264,12142,12142,12194,12143,12194,12264,12142,12264,8001277,12161,12162,12151,11331,12155,,1,3,2,2,4,5096,2036,3066,4126,2126,5096,3036,2126,5036,3126,8270,8243,8214,8015,8069,8113,8174,8143,8652,8710
??????????,12194,,12194,12265,12194,12265,12118,12119,12120,12144,12144,12265,12194,12142,12143,12265,12265,12162,12162,12152,,11341,,,1,2,3,3,2,4,2036,4096,3066,5126,3066,8015,8044,8069,8114,8143,8175,8215,8271,8314,8344,4037,5067,2097,3127,4016
??????????,12193,12267,,12267,12193,12267,12128,12129,12130,12267,12142,12142,12193,12143,12193,12267,12142,12267,12267,12163,12164,12153,11351,,1,2,3,3,2,4,5126,2036,4096,3066,2036,5036,4126,5036,2096,3066,8243,8214,8174,8442,8414,8016,8314,8244,8654,8621
Dreadnaught King,12161,12162,12163,12164,12161,12162,6186,12164,11341,11331,11351,11361,12267,12267,12151,12152,8001374,12153,11351,11361,8001373,,1,2,3,3,2,1,4,4,3445,3097,3037,3127,5347,5648,4067,4097,2545,3037,3127,5067,5097,5640,3440,2440,4539,4541,3440,2438
??????,12195,,12195,12267,12195,12267,,12267,12195,12267,12144,12267,12195,12144,12144,12267,12143,12267,12267,12163,12163,12154,11301,,1,2,3,3,2,4,8270,8243,8173,8015,8043,8068,8313,8343,8413,8441,8916,5066,3639,4036,4066,8620,8589,8710,8737,8775
Elder Mammoth,12195,,12195,12267,12195,12267,,12267,12195,12267,12142,12267,12195,12142,12195,12267,12144,12144,8001371,8001372,,12153,12154,11361,,1,3,2,2,4,8173,8440,8412,8342,8312,8270,8243,8214,8043,8015,8917,4036,5096,2066,3066,8774,8799,8835,8710,8588
????????,12195,12270,8516,8681,8713,8739,8777,8801,8836,8860,8546,8567,8589,8621,8653,8861,8836,8802,8776,8738,8681,8655,8621,8590,8568,8548,8517,12153,12154,12155,,,,,,,,,,,,,,,,,,,,
Behemoth King,12381,12270,12152,12153,12154,12155,12156,12157,8001376,8861,8836,8802,8776,8738,8681,8655,8621,8590,8568,8548,8517,8518,8001375,8590,8623,8656,8682,8714,8778,8838,4432,4432,12381,12381,,,,,,,,,,,,,,,,
????(????),11402,8041,11402,8110,8438,11402,8171,8211,8240,8410,8339,8310,8269,2433,3434,4534,5634,8511,8585,8678,8708,8735,8771,8541,8564,8618,8649,8798,8831,8857,,,,,,,,,,,,,,,,,,,,
???? ????(????),11403,8310,11403,8438,8211,8171,8139,11403,8041,8066,8110,2531,2531,2533,4634,5334,3534,8858,8832,8773,8735,8512,8542,8565,8586,8619,8650,8679,8709,8799,,,,,,,,,,,,,,,,,,,,
