desc,Type (Unused),Description (Unused),Filename (Required)
Asani Cow,??,NPC,3Ddata\Event\EM-1483.con
Sun Pyramid Door,??,NPC,3Ddata\Event\SunPyramidDoor.con
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Chock Nurris,??,NPC,3Ddata\Event\EM43-001.con
Fernandi Alonzi,??,NPC,3Ddata\Event\EM43-002.con
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Login Map NPC,??,NPC,3Ddata\Event\EM04-EVENT.con
Event Team Map Teams (Louis),??,NPC,3Ddata\Event\ET_MAP.con
Event Team Map Vendor (Francis),??,NPC,3Ddata\Event\ET_MAP_vendor.CON
Event Team Map Spectators (Nick),??,NPC,3Ddata\Event\ET_MAP_spec.con
[Historian] Jujube,??,NPC,3Ddata\Event\EM-1076.con
Class VS Class NPC,??,NPC,3Ddata\Event\EM-3204.con
[Event Info] Judy,??,NPC,3Ddata\Event\EM-1201.con
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
[Journey Master] Asturia,??,NPC,3Ddata\Event\EM-3316.con
[Spiritual Guide] Lionisa,??,NPC,3Ddata\Event\EM-3321.con
[Magic Vendor] Varro,??,NPC,3Ddata\Event\EM-3317.con
[Karkian Dealer] Asemul,??,NPC,3Ddata\Event\EM-3318.con
[Karkian Technisian] Karsaja,??,NPC,3Ddata\Event\EM-3320.con
[Karkian Smith] Briolo,??,NPC,3Ddata\Event\EM-3319.con
[Karkian Historian] Gumel,??,NPC,3Ddata\Event\EM-3333.con
[Karkian Sage] Namaste,??,NPC,3Ddata\Event\EM-3322.con
[Injured Soldier] Saumun,??,NPC,3Ddata\Event\EM-3307.con
[Injured Soldier] Dolumah,??,NPC,3Ddata\Event\EM-3308.con
[Injured Soldier] Hamulod,??,NPC,3Ddata\Event\EM-3309.con
[Lonely Karkian] Baosom,??,NPC,3Ddata\Event\EM-3310.con
[Guard] Devalom,??,NPC,3Ddata\Event\EM-3311.con
[???] Lustria,??,NPC,3Ddata\Event\EM-3312.con
[???] Xuldrea,??,NPC,3Ddata\Event\EM-3313.con
[Karkian Survivor] Delmis,??,NPC,3Ddata\Event\EM-3314.con
[Karkian Researcher] Gaorlius,??,NPC,3Ddata\Event\EM-3315.con
[Karkian] Nista LUA,??,NPC,3Ddata\Event\EM-3431.con
[Journey Master] Asturia LUA,??,NPC,3Ddata\Event\EM-3433.con
Portal to Karkia LUA,??,NPC,3Ddata\Event\EM-3436.con
[Guard] Nista at Karkia,??,NPC,3Ddata\Event\EM-3437.con
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
?????????? ????,??,ITEM,3Ddata\Event\Item00-001.con
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
???????? ??????????,??,Object,3Ddata\Event\Object001.con
???? ??????,??,Object,3Ddata\Event\Object002.con
???????? ??????,??,Object,3Ddata\Event\Object003.con
???????? ?? ??,??,Object,3Ddata\Event\Object004.con
?????? ????,??,Object,3Ddata\Event\Object005.con
?????? ???? ????,??,Object,3Ddata\Event\Object006.con
?????????? ???????? ??,??,Object,3Ddata\Event\Object007.con
?????? ???? ????,??,Object,3Ddata\Event\Object008.con
????????,??,Object,3Ddata\Event\Object009.con
Prison Warper,??,Object,3Ddata\Event\prisonwarp.con
Lunar UW Warp,??,Object,3Ddata\Event\lunarwar.con
Junon Order Spawn,??,Object,3Ddata\Event\JODevotion.con
Righteous Crusaders Spawn,??,Object,3Ddata\Event\RCDevotion.con
???????? ??????????,??,Object,3Ddata\Event\EventObjectHelio.con
Cerberus portal,??,Object,3Ddata\Event\Cerberus.con
Cerberus portal 2,??,Object,3Ddata\Event\Cerberuswarp.con
Mushroom Digging,??,Object,3Ddata\Event\Object002b.con
Episode Quest Ending,??,Object,3Ddata\Event\OBJECT_ENDING.con
Zombie Alex Dialog,??,Object,3Ddata\Event\Object005b.con
Rackie,??,Object,3Ddata\Event\Object010.con
Mana Charger B,??,Object,3Ddata\Event\Object008b.con
Mana Charger C,??,Object,3Ddata\Event\Object008c.con
Eva Shroon Sequence,??,Object,3Ddata\Event\Object011.con
Eva Shroon Sequence 2,??,Object,3Ddata\Event\Object012.con
Cold Island Portal,??,Object,3Ddata\Event\ColdIslandWarp.con
Cerberus Wolves Run Away,??,Object,3Ddata\Event\Object013.con
Cerberus Wolves Interaction,??,Object,3Ddata\Event\Object014.con
Hovert Diary,??,Object,3Ddata\Event\Object015.con
Dreadful Epidemic Emblem,??,Object,3Ddata\Event\Object016.con
Dreadful Book Stealth,??,Object,3Ddata\Event\Object004b.con
Objects used in Luna EQ,??,Object,3Ddata\Event\OBJECT-LUNAEQ.con
Objects used in Luna EQ,??,Object,3Ddata\Event\OBJECT-LUNAEQ2.con
Eldeon EQ Dog Scent Talk,??,Object,3Ddata\Event\Object017.con
Eldeon EQ Netty Sikuku Talk,??,Object,3Ddata\Event\Object018.con
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
[?????? ??????] ????1,??,NPC,3Ddata\Event\EM99-101.con
[?????? ??????] ????2,??,NPC,3Ddata\Event\EM99-102.con
[?????? ??????] ????3,??,NPC,3Ddata\Event\EM99-103.con
[?????? ??????] ????4,??,NPC,3Ddata\Event\EM99-104.con
[?????? ??????] ????5,??,NPC,3Ddata\Event\EM99-105.con
[?????? ??????] ????6,??,NPC,3Ddata\Event\EM99-106.con
[?????? ??????] ????7,??,NPC,3Ddata\Event\EM99-107.con
[?????? ??????] ????8,??,NPC,3Ddata\Event\EM99-108.con
[?????? ??????] ????9,??,NPC,3Ddata\Event\EM99-109.con
[?????? ??????] ????10,??,NPC,3Ddata\Event\EM99-110.con
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,??,NPC,3Ddata\Event\BBox1-1.con
,??,NPC,3Ddata\Event\BBox1-2.con
,??,NPC,3Ddata\Event\BBox1-3.con
,??,NPC,3Ddata\Event\BBox1-4.con
,??,NPC,3Ddata\Event\BBox1-5.con
,??,NPC,3Ddata\Event\BBox2-1.con
,??,NPC,3Ddata\Event\BBox2-2.con
,??,NPC,3Ddata\Event\BBox2-3.con
,??,NPC,3Ddata\Event\BBox2-4.con
,??,NPC,3Ddata\Event\BBox2-5.con
,??,NPC,3Ddata\Event\BBox3-1.con
,??,NPC,3Ddata\Event\BBox3-2.con
,??,NPC,3Ddata\Event\BBox3-3.con
,??,NPC,3Ddata\Event\BBox3-4.con
,??,NPC,3Ddata\Event\BBox3-5.con
,??,NPC,3Ddata\Event\BBox4-1.con
,??,NPC,3Ddata\Event\BBox4-2.con
,??,NPC,3Ddata\Event\BBox4-3.con
,??,NPC,3Ddata\Event\BBox4-4.con
,??,NPC,3Ddata\Event\BBox4-5.con
,??,NPC,3Ddata\Event\SBox1-1.con
,??,NPC,3Ddata\Event\SBox1-2.con
,??,NPC,3Ddata\Event\SBox1-3.con
,??,NPC,3Ddata\Event\SBox1-4.con
,??,NPC,3Ddata\Event\SBox1-5.con
,??,NPC,3Ddata\Event\SBox2-1.con
,??,NPC,3Ddata\Event\SBox2-2.con
,??,NPC,3Ddata\Event\SBox2-3.con
,??,NPC,3Ddata\Event\SBox2-4.con
,??,NPC,3Ddata\Event\SBox2-5.con
,??,NPC,3Ddata\Event\SBox3-1.con
,??,NPC,3Ddata\Event\SBox3-2.con
,??,NPC,3Ddata\Event\SBox3-3.con
,??,NPC,3Ddata\Event\SBox3-4.con
,??,NPC,3Ddata\Event\SBox3-5.con
,??,NPC,3Ddata\Event\SBox4-1.con
,??,NPC,3Ddata\Event\SBox4-2.con
,??,NPC,3Ddata\Event\SBox4-3.con
,??,NPC,3Ddata\Event\SBox4-4.con
,??,NPC,3Ddata\Event\SBox4-5.con
,??,NPC,3Ddata\Event\GBox1-1.con
,??,NPC,3Ddata\Event\GBox1-2.con
,??,NPC,3Ddata\Event\GBox1-3.con
,??,NPC,3Ddata\Event\GBox1-4.con
,??,NPC,3Ddata\Event\GBox1-5.con
,??,NPC,3Ddata\Event\GBox2-1.con
,??,NPC,3Ddata\Event\GBox2-2.con
,??,NPC,3Ddata\Event\GBox2-3.con
,??,NPC,3Ddata\Event\GBox2-4.con
,??,NPC,3Ddata\Event\GBox2-5.con
,??,NPC,3Ddata\Event\GBox3-1.con
,??,NPC,3Ddata\Event\GBox3-2.con
,??,NPC,3Ddata\Event\GBox3-3.con
,??,NPC,3Ddata\Event\GBox3-4.con
,??,NPC,3Ddata\Event\GBox3-5.con
,??,NPC,3Ddata\Event\GBox4-1.con
,??,NPC,3Ddata\Event\GBox4-2.con
,??,NPC,3Ddata\Event\GBox4-3.con
,??,NPC,3Ddata\Event\GBox4-4.con
,??,NPC,3Ddata\Event\GBox4-5.con
,??,Object,3Ddata\Event\Switch1.con
,??,Object,3Ddata\Event\Switch2.con
,??,Object,3Ddata\Event\Switch3.con
,??,Object,3Ddata\Event\Switch4.con
,,,
,,,
,,,
,,,
,,,
,,,
,,,
