11????,,,,3 digits,0~999999,0~200,0~999,,(501~560),(69~89),,????STB,,,,,Condition Ability 1,Condition 2,Reward Ability 2,Reward 2,Function names,file_effect,,,Cooldown Group,Cooldown Time,Condition Ability 2,Condition 2,Reward Ability 2,Reward 2,Combat Block,Seasonal Event,LUA,PvP Block,Confirm,Name Strings
Quick Step,,,6,314,0,0,1,30,1705,871,580,,,,,,,,,281,0,140,548,,,3,,,,,,,,,,LUSE657
Mental Mastery,,,6,314,0,0,1,30,1705,871,580,,,,,,,,,291,0,140,548,,,3,,,,,,,,,,LUSE658
Heavy Attack,,,6,314,0,0,1,10,1703,871,580,,,,,,,,,301,0,140,548,,,3,,,,,,,,,,LUSE659
Double Attack,,,6,314,0,0,1,15,1703,871,580,,,,,,,,,321,0,140,548,,,3,,,,,,,,,,LUSE660
Leap Attack,,,6,314,0,0,1,30,1703,871,580,,,,,,,,,341,0,140,548,,,3,,,,,,,,,,LUSE661
Berserk,,,6,314,0,0,1,25,1703,871,580,,,,,,,,,361,0,140,548,,,3,,,,,,,,,,LUSE662
Shield Protect,,,6,314,0,0,1,30,1703,871,580,,,,,,,,,371,0,140,548,,,3,,,,,,,,,,LUSE663
Shield Barrier,,,6,314,0,0,1,35,1703,871,580,,,,,,,,,381,0,140,548,,,3,,,,,,,,,,LUSE664
Divine Force,,,6,314,0,0,1,50,1703,871,580,,,,,,,,,391,0,140,548,,,3,,,,,,,,,,LUSE665
Spin Attack,,,6,314,0,0,1,60,1703,871,580,,,,,,,,,401,0,140,548,,,3,,,,,,,,,,LUSE666
Taunt,,,6,314,0,0,1,45,1703,871,580,,,,,,,,,411,0,140,548,,,3,,,,,,,,,,LUSE667
Endure,,,6,314,0,0,1,55,1703,871,580,,,,,,,,,421,0,140,548,,,3,,,,,,,,,,LUSE668
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
Religious Study,,,6,314,0,0,1,70,1705,871,580,,,,,,,,,451,0,140,548,,,3,,,,,,,,,,LUSE671
Taunt Shot,,,6,314,0,0,1,55,1703,871,580,,,,,,,,,471,0,140,548,,,3,,,,,,,,,,LUSE672
Heavy Bow Shot,,,6,314,0,0,1,45,1703,871,580,,,,,,,,,481,0,140,548,,,3,,,,,,,,,,LUSE673
Slow Shot,,,6,314,0,0,1,70,1703,871,580,,,,,,,,,491,0,140,548,,,3,,,,,,,,,,LUSE674
Range Shot,,,6,314,0,0,1,80,1703,871,580,,,,,,,,,501,0,140,548,,,3,,,,,,,,,,LUSE675
Impact Wave,,,6,314,0,0,1,80,1703,871,580,,,,,,,,,511,0,140,548,,,3,,,,,,,,,,LUSE676
Lightning Crasher,,,6,314,0,0,1,90,1703,871,580,,,,,,,,,521,0,140,548,,,3,,,,,,,,,,LUSE677
Holy Blood,,,6,314,0,0,1,70,1703,871,580,,,,,,,,,531,0,140,548,,,3,,,,,,,,,,LUSE678
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,3,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,0,140,548,,,,,,,,,,,,,
Championship Study,,,6,314,0,0,1,70,1705,871,580,,,,,,,,,601,0,140,548,,,3,,,,,,,,,,LUSE686
Sharpen Blade,,,6,314,0,0,1,70,1703,871,580,,,,,,,,,621,0,140,548,,,3,,,,,,,,,,LUSE687
Raging Blood,,,6,314,0,0,1,75,1703,871,580,,,,,,,,,631,0,140,548,,,3,,,,,,,,,,LUSE688
Champion Clamor,,,6,314,0,0,1,75,1703,871,580,,,,,,,,,641,0,140,548,,,3,,,,,,,,,,LUSE689
Blood Attack,,,6,314,0,0,1,40,1703,871,580,,,,,,,,,651,0,140,548,,,3,,,,,,,,,,LUSE690
Space Attack,,,6,314,0,0,1,90,1703,871,580,,,,,,,,,661,0,140,548,,,3,,,,,,,,,,LUSE691
Champion Hit,,,6,314,0,0,1,80,1703,871,580,,,,,,,,,671,0,140,548,,,3,,,,,,,,,,LUSE692
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
Magic Arms Mastery,,,6,314,0,0,1,10,1705,871,580,,,,,,,,,801,0,140,548,,,3,,,,,,,,,,LUSE701
Meditation,,,6,314,0,0,1,10,1705,871,580,,,,,,,,,821,0,140,548,,,3,,,,,,,,,,LUSE702
Spell Mastery,,,6,314,0,0,1,10,1705,871,580,,,,,,,,,841,0,140,548,,,3,,,,,,,,,,LUSE703
Summon Mastery,,,6,314,0,0,1,40,1705,871,580,,,,,,,,,861,0,140,548,,,3,,,,,,,,,,LUSE704
0,,,0,314,150,0,1,0,1705,871,580,,,,,,,,,871,0,140,548,,,3,,,,,,,,,,LUSE705
0,,,0,314,150,0,1,0,1705,871,580,,,,,,,,,881,0,140,548,,,3,,,,,,,,,,LUSE706
Fire Ring,,,6,314,0,0,1,25,1703,871,580,,,,,,,,,911,0,140,548,,,3,,,,,,,,,,LUSE707
Mana Bolt,,,6,314,0,0,1,10,1703,871,580,,,,,,,,,901,0,140,548,,,3,,,,,,,,,,LUSE708
Healing,,,6,314,0,0,1,20,1703,871,580,,,,,,,,,921,0,140,548,,,3,,,,,,,,,,LUSE709
Cure,,,6,314,0,0,1,10,1703,871,580,,,,,,,,,931,0,140,548,,,3,,,,,,,,,,LUSE710
Staff Stun,,,6,314,0,0,1,30,1703,871,580,,,,,,,,,941,0,140,548,,,3,,,,,,,,,,LUSE711
Lightning,,,6,314,0,0,1,35,1703,871,580,,,,,,,,,951,0,140,548,,,3,,,,,,,,,,LUSE712
Dash Support,,,6,314,0,0,1,25,1703,871,580,,,,,,,,,961,0,140,548,,,3,,,,,,,,,,LUSE713
Blessing Body,,,6,314,0,0,1,35,1703,871,580,,,,,,,,,971,0,140,548,,,3,,,,,,,,,,LUSE714
Ice Bolt,,,6,314,0,0,1,15,1703,871,580,,,,,,,,,981,0,140,548,,,3,,,,,,,,,,LUSE715
Enchant Armor,,,6,314,0,0,1,50,1703,871,580,,,,,,,,,991,0,140,548,,,3,,,,,,,,,,LUSE716
Freeze,,,6,314,0,0,1,80,1703,871,580,,,,,,,,,1001,0,140,548,,,3,,,,,,,,,,LUSE717
Defense Aura,,,6,314,0,0,1,70,1703,871,580,,,,,,,,,1011,0,140,548,,,3,,,,,,,,,,LUSE718
Power Support,,,6,314,0,0,1,30,1703,871,580,,,,,,,,,1021,0,140,548,,,3,,,,,,,,,,LUSE719
Mild,,,6,314,0,0,1,50,1703,871,580,,,,,,,,,1031,0,140,548,,,3,,,,,,,,,,LUSE720
Purify,,,6,314,0,0,1,70,1703,871,580,,,,,,,,,1041,0,140,548,,,3,,,,,,,,,,LUSE721
Blessing Mind,,,6,314,0,0,1,55,1703,871,580,,,,,,,,,1051,0,140,548,,,3,,,,,,,,,,LUSE722
Fire Burn,,,6,314,0,0,1,75,1703,871,580,,,,,,,,,1061,0,140,548,,,3,,,,,,,,,,LUSE723
Silence,,,6,314,0,0,1,75,1703,871,580,,,,,,,,,1071,0,140,548,,,3,,,,,,,,,,LUSE724
Wind Storm,,,6,314,0,0,1,55,1703,871,580,,,,,,,,,1081,0,140,548,,,3,,,,,,,,,,LUSE725
Meteorite Flow,,,6,314,0,0,1,90,1703,871,580,,,,,,,,,1091,0,140,548,,,3,,,,,,,,,,LUSE726
Ice Bang,,,6,314,0,0,1,95,1703,871,580,,,,,,,,,1101,0,140,548,,,3,,,,,,,,,,LUSE727
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,1111,0,140,548,,,3,,,,,,,,,,LUSE728
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,1121,0,140,548,,,3,,,,,,,,,,LUSE729
Resurrection,,,6,314,0,0,1,70,1703,871,580,,,,,,,,,1131,0,140,548,,,3,,,,,,,,,,LUSE730
Curse,,,6,314,0,0,1,40,1703,871,580,,,,,,,,,1141,0,140,548,,,3,,,,,,,,,,LUSE731
Call Butterfly,,,6,314,0,0,1,25,1704,871,580,,,,,,,,,1151,0,140,548,,,3,,,,,,,,,,LUSE732
Bonfire,,,6,314,0,0,1,30,1704,871,580,,,,,,,,,1161,0,140,548,,,3,,,,,,,,,,LUSE733
Phantom Sword,,,6,314,0,0,1,40,1704,871,580,,,,,,,,,1171,0,140,548,,,3,,,,,,,,,,LUSE734
Call Elemental,,,6,314,0,0,1,90,1704,871,580,,,,,,,,,1181,0,140,548,,,3,,,,,,,,,,LUSE735
Call Firegon,,,6,314,0,0,1,80,1704,871,580,,,,,,,,,1191,0,140,548,,,3,,,,,,,,,,LUSE736
Battle Support,,,6,314,0,0,1,75,1703,871,580,,,,,,,,,1201,0,140,548,,,3,,,,,,,,,,LUSE737
Damage Support,,,6,314,0,0,1,85,1703,871,580,,,,,,,,,1211,0,140,548,,,3,,,,,,,,,,LUSE738
Hit Support,,,6,314,0,0,1,45,1703,871,580,,,,,,,,,1221,0,140,548,,,3,,,,,,,,,,LUSE739
Critical Support,,,6,314,0,0,1,90,1703,871,580,,,,,,,,,1231,0,140,548,,,3,,,,,,,,,,LUSE740
Magical Aura,,,6,314,0,0,1,80,1703,871,580,,,,,,,,,1241,0,140,548,,,3,,,,,,,,,,LUSE741
Evasion Aura,,,6,314,0,0,1,85,1703,871,580,,,,,,,,,1251,0,140,548,,,3,,,,,,,,,,LUSE742
Unholy Drain,,,6,314,0,0,1,100,1703,871,580,,,,,,,,,3791,0,140,548,,,3,,,,,,,,,,LUSE743
Magic Arrow,,,6,314,0,0,1,100,1703,871,580,,,,,,,,,3792,0,140,548,,,3,,,,,,,,,,LUSE744
,,,0,314,150,0,1,0,1705,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1705,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1705,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1705,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1705,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
Glaive Mastery,,,6,314,0,0,1,0,1705,871,580,,,,,,,,,1391,0,140,548,,,3,,,,,,,,,,LUSE750
Bow Mastery,,,6,314,0,0,1,10,1705,871,580,,,,,,,,,1401,0,140,548,,,3,,,,,,,,,,LUSE751
Combat Mastery,,,6,314,0,0,1,10,1705,871,580,,,,,,,,,1421,0,140,548,,,3,,,,,,,,,,LUSE752
Rest Mastery,,,6,314,0,0,1,20,1705,871,580,,,,,,,,,1441,0,140,548,,,3,,,,,,,,,,LUSE753
Hawker Spirit,,,6,314,0,0,1,25,1703,871,580,,,,,,,,,1451,0,140,548,,,3,,,,,,,,,,LUSE754
Battle Mastery,,,6,314,0,0,1,20,1705,871,580,,,,,,,,,1461,0,140,548,,,3,,,,,,,,,,LUSE755
Aim Shot,,,6,314,0,0,1,10,1703,871,580,,,,,,,,,1481,0,140,548,,,3,,,,,,,,,,LUSE756
Power Attack,,,6,314,0,0,1,10,1703,871,580,,,,,,,,,1501,0,140,548,,,3,,,,,,,,,,LUSE757
Double Shot,,,6,314,0,0,1,20,1703,871,580,,,,,,,,,1521,0,140,548,,,3,,,,,,,,,,LUSE758
Double Slash,,,6,314,0,0,1,20,1703,871,580,,,,,,,,,1541,0,140,548,,,3,,,,,,,,,,LUSE759
Sprint,,,6,314,0,0,1,30,1703,871,580,,,,,,,,,1561,0,140,548,,,3,,,,,,,,,,LUSE760
Spiral Kick,,,6,314,0,0,1,40,1703,871,580,,,,,,,,,1571,0,140,548,,,3,,,,,,,,,,LUSE761
Binding Arrow,,,6,314,0,0,1,35,1703,871,580,,,,,,,,,1581,0,140,548,,,3,,,,,,,,,,LUSE762
Screw Attack,,,6,314,0,0,1,40,1703,871,580,,,,,,,,,1591,0,140,548,,,3,,,,,,,,,,LUSE763
Spirit Heart,,,6,314,0,0,1,50,1703,871,580,,,,,,,,,1601,0,140,548,,,3,,,,,,,,,,LUSE764
Prime Hit,,,6,314,0,0,1,90,1703,871,580,,,,,,,,,1611,0,140,548,,,3,,,,,,,,,,LUSE765
Poison Arrow,,,6,314,0,0,1,75,1703,871,580,,,,,,,,,1621,0,140,548,,,3,,,,,,,,,,LUSE766
Power Burst,,,6,314,0,0,1,70,1703,871,580,,,,,,,,,1511,0,140,548,,,3,,,,,,,,,,LUSE767
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
Flame Hawk,,,6,314,0,0,1,70,1703,871,580,,,,,,,,,1641,0,140,548,,,3,,,,,,,,,,LUSE770
Natural Instinct,,,6,314,0,0,1,70,1705,871,580,,,,,,,,,1651,0,140,548,,,3,,,,,,,,,,LUSE771
Detect,,,6,314,0,0,1,70,1703,871,580,,,,,,,,,1671,0,140,548,,,3,,,,,,,,,,LUSE772
Speed Shot,,,6,314,0,0,1,55,1703,871,580,,,,,,,,,1681,0,140,548,,,3,,,,,,,,,,LUSE773
Sharpen Arrow,,,6,314,0,0,1,70,1703,871,580,,,,,,,,,1691,0,140,548,,,3,,,,,,,,,,LUSE774
Hawk Shot,,,6,314,0,0,1,80,1703,871,580,,,,,,,,,1701,0,140,548,,,3,,,,,,,,,,LUSE775
Call Hawk,,,6,314,0,0,1,80,1704,871,580,,,,,,,,,1711,0,140,548,,,3,,,,,,,,,,LUSE776
Interrogate,,,6,314,0,0,1,50,1703,871,580,,,,,,,,,1721,0,140,548,,,3,,,,,,,,,,LUSE777
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,1731,0,140,548,,,3,,,,,,,,,,LUSE778
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
Shuriken Mastery,,,6,314,0,0,1,70,1705,871,580,,,,,,,,,1801,0,140,548,,,3,,,,,,,,,,LUSE786
Sharp Claw,,,6,314,0,0,1,70,1703,871,580,,,,,,,,,1821,0,140,548,,,3,,,,,,,,,,LUSE787
Mana Blood,,,6,314,0,0,1,70,1703,871,580,,,,,,,,,1831,0,140,548,,,3,,,,,,,,,,LUSE788
Stealth,,,6,314,0,0,1,75,1703,871,580,,,,,,,,,1841,0,140,548,,,3,,,,,,,,,,LUSE789
Poison Shuriken,,,6,314,0,0,1,80,1703,871,580,,,,,,,,,1851,0,140,548,,,3,,,,,,,,,,LUSE790
Red Cloud,,,6,314,0,0,1,90,1703,871,580,,,,,,,,,1861,0,140,548,,,3,,,,,,,,,,LUSE791
Magic Shuriken,,,6,314,0,0,1,85,1703,871,580,,,,,,,,,1871,0,140,548,,,3,,,,,,,,,,LUSE792
0,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,1881,0,140,548,,,3,,,,,,,,,,LUSE793
,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
Clothing Shop Coupon,,,,321,25000,0,1,29,2549,151,,,,,,,,,96,1440,0,140,,,,3,,,,,,,,,,LUSE795
Dessert Shop Coupon,,,,321,25000,0,1,30,2550,151,,,,,,,,,96,1440,0,140,,,,3,,,,,,,,,,LUSE796
Weapon Shop Coupon,,,,321,25000,0,1,31,2551,151,,,,,,,,,96,1440,0,140,,,,3,,,,,,,,,,LUSE797
Bookstore Shop Coupon,,,,321,25000,0,1,32,2552,151,,,,,,,,,96,1440,0,140,,,,3,,,,,,,,,,LUSE798
Toy Dispenser Shop Coupon,,,,321,25000,0,1,33,2553,151,,,,,,,,,96,1440,0,140,,,,3,,,,,,,,,,LUSE799
Money Cat Shop Coupon,,,,321,25000,0,1,34,2554,151,,,,,,,,,96,1440,0,140,,,,3,,,,,,,,,,LUSE800
Market Research,,,6,314,0,0,1,10,1705,871,580,,,,,,,,,2001,0,140,548,,,3,,,,,,,,,,LUSE801
Marksmanship,,,6,314,0,0,1,10,1705,871,580,,,,,,,,,2021,0,140,548,,,3,,,,,,,,,,LUSE802
Backpack Mastery,,,6,314,0,0,1,15,1705,871,580,,,,,,,,,2041,0,140,548,,,3,,,,,,,,,,LUSE803
Discount,,,6,314,0,0,1,20,1705,871,580,,,,,,,,,2051,0,140,548,,,3,,,,,,,,,,LUSE804
Overcharge,,,6,314,0,0,1,70,1705,871,580,,,,,,,,,2071,0,140,548,,,3,,,,,,,,,,LUSE805
Stockpile,,,6,314,0,0,1,30,1705,871,580,,,,,,,,,2091,0,140,548,,,3,,,,,,,,,,LUSE806
Employ Troops,,,6,314,0,0,1,40,1705,871,580,,,,,,,,,2101,0,140,548,,,3,,,,,,,,,,LUSE807
Weapon Research,,,6,314,0,0,1,20,1705,871,580,,,,,,,,,2111,0,140,548,,,3,,,,,,,,,,LUSE808
Armor Research,,,6,314,0,0,1,30,1705,871,580,,,,,,,,,2131,0,140,548,,,3,,,,,,,,,,LUSE809
Arms Mastery,,,6,314,0,0,1,20,1705,871,580,,,,,,,,,2141,0,140,548,,,3,,,,,,,,,,LUSE810
Craft Mastery,,,6,314,0,0,1,20,1705,871,580,,,,,,,,,2081,0,140,548,,,3,,,,,,,,,,LUSE811
,,,0,314,150,0,1,0,1705,871,580,,,,,,,,,2161,0,140,548,,,3,,,,,,,,,,LUSE812
0,,,0,314,150,0,1,0,1705,871,580,,,,,,,,,2171,0,140,548,,,3,,,,,,,,,,LUSE813
Sniper Blast,,,6,314,0,0,1,0,1705,871,580,,,,,,,,,2181,0,140,548,,,3,,,,,,,,,,LUSE814
Sniping Shot,,,6,314,0,0,1,75,1703,871,580,,,,,,,,,2211,0,140,548,,,3,,,,,,,,,,LUSE815
Power Gun Shot,,,6,314,0,0,1,10,1703,871,580,,,,,,,,,2201,0,140,548,,,3,,,,,,,,,,LUSE816
Twin Shot,,,6,314,0,0,1,20,1703,871,580,,,,,,,,,2221,0,140,548,,,3,,,,,,,,,,LUSE817
Trigger Finger,,,6,314,0,0,1,25,1703,871,580,,,,,,,,,2241,0,140,548,,,3,,,,,,,,,,LUSE818
Intensify Armor,,,6,314,0,0,1,35,1703,871,580,,,,,,,,,2251,0,140,548,,,3,,,,,,,,,,LUSE819
Aim Sight,,,6,314,0,0,1,70,1703,871,580,,,,,,,,,2261,0,140,548,,,3,,,,,,,,,,LUSE820
Poison Shot,,,6,314,0,0,1,40,1703,871,580,,,,,,,,,2271,0,140,548,,,3,,,,,,,,,,LUSE821
Gun Smash,,,6,314,0,0,1,30,1703,871,580,,,,,,,,,2281,0,140,548,,,3,,,,,,,,,,LUSE822
0,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,2291,0,140,548,,,3,,,,,,,,,,LUSE823
Zuly Storm,,,6,314,0,0,1,80,1703,871,580,,,,,,,,,2301,0,140,548,,,3,,,,,,,,,,LUSE824
Zuly Throw,,,6,314,0,0,1,50,1703,871,580,,,,,,,,,2311,0,140,548,,,3,,,,,,,,,,LUSE825
0,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,2321,0,140,548,,,3,,,,,,,,,,LUSE826
0,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,2331,0,140,548,,,3,,,,,,,,,,LUSE827
0,,,0,314,150,0,1,0,1703,871,580,,,,,,,,,2341,0,140,548,,,3,,,,,,,,,,LUSE828
Employ Warrior,,,6,314,0,0,1,40,1704,871,580,,,,,,,,,2351,0,140,548,,,3,,,,,,,,,,LUSE829
Employ Hunter,,,6,314,0,0,1,70,1704,871,580,,,,,,,,,2361,0,140,548,,,3,,,,,,,,,,LUSE830
Terror Knight,,,6,314,0,0,1,80,1704,871,580,,,,,,,,,2371,0,140,548,,,3,,,,,,,,,,LUSE831
Item Craft,,,6,314,0,0,1,20,1704,871,580,,,,,,,,,2401,0,140,548,,,3,,,,,,,,,,LUSE832
SubItem Craft,,,6,314,0,0,1,20,1704,871,580,,,,,,,,,2411,0,140,548,,,3,,,,,,,,,,LUSE833
Sword Craft,,,6,314,0,0,1,25,1704,871,580,,,,,,,,,2431,0,140,548,,,3,,,,,,,,,,LUSE834
Mace Craft,,,6,314,0,0,1,25,1704,871,580,,,,,,,,,2451,0,140,548,,,3,,,,,,,,,,LUSE835
Bow Craft,,,6,314,0,0,1,25,1704,871,580,,,,,,,,,2471,0,140,548,,,3,,,,,,,,,,LUSE836
Magic Weapon Craft,,,6,314,0,0,1,25,1704,871,580,,,,,,,,,2491,0,140,548,,,3,,,,,,,,,,LUSE837
Gun Craft,,,6,314,0,0,1,25,1704,871,580,,,,,,,,,2511,0,140,548,,,3,,,,,,,,,,LUSE838
Clothing Craft,,,6,314,0,0,1,35,1704,871,580,,,,,,,,,2531,0,140,548,,,3,,,,,,,,,,LUSE839
0,,,0,314,150,0,1,0,1704,871,580,,,,,,,,,2541,0,140,548,,,3,,,,,,,,,,LUSE840
Armor Craft,,,6,314,0,0,1,35,1704,871,580,,,,,,,,,2551,0,140,548,,,3,,,,,,,,,,LUSE841
0,,,0,314,150,0,1,0,1704,871,580,,,,,,,,,2561,0,140,548,,,3,,,,,,,,,,LUSE842
Magic Armor Craft,,,6,314,0,0,1,35,1704,871,580,,,,,,,,,2571,0,140,548,,,3,,,,,,,,,,LUSE843
0,,,0,314,150,0,1,0,1704,871,580,,,,,,,,,2581,0,140,548,,,3,,,,,,,,,,LUSE844
Cart Craft,,,6,314,0,0,1,70,1704,871,580,,,,,,,,,2591,0,140,548,,,3,,,,,,,,,,LUSE845
CastleGear Craft,,,6,314,0,0,1,80,1704,871,580,,,,,,,,,2601,0,140,548,,,3,,,,,,,,,,LUSE846
Gem Cutting,,,6,314,0,0,1,70,1704,871,580,,,,,,,,,2611,0,140,548,,,3,,,,,,,,,,LUSE847
Item Divide,,,6,314,0,0,1,50,1704,871,580,,,,,,,,,2621,0,140,548,,,3,,,,,,,,,,LUSE848
Item Refine,,,6,314,0,0,1,70,1704,871,580,,,,,,,,,2631,0,140,548,,,3,,,,,,,,,,LUSE849
Accessory Craft,,,6,314,0,0,1,70,1704,871,580,,,,,,,,,2641,0,140,548,,,3,,,,,,,,,,LUSE850
,,,0,314,150,0,1,0,1704,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1704,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,0,314,150,0,1,0,1704,871,580,,,,,,,,,,,140,548,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Soldier Box (Visitor),,,6,350,1000,0,0,10,2899,1006,,,,,,,82,150,100,1,,1030,,,2,1,,,,,,,,,,LUSE855
Silver Soldier Box (Visitor),,,6,350,1000,0,0,10,2900,1006,,,,,,,82,300,120,1,,1050,,,2,1,,,,,,,,,,LUSE856
Gold Soldier Box (Visitor),,,6,350,1000,0,0,10,2901,1006,,,,,,,82,500,140,1,,1070,,,2,1,,,,,,,,,,LUSE857
Bronze Muse Box (Visitor),,,6,350,1000,0,0,10,2899,1006,,,,,,,82,350,101,1,,1031,,,2,1,,,,,,,,,,LUSE858
Silver Muse Box (Visitor),,,6,350,1000,0,0,10,2900,1006,,,,,,,82,350,121,1,,1051,,,2,1,,,,,,,,,,LUSE859
Gold Muse Box (Visitor),,,6,350,1000,0,0,10,2901,1006,,,,,,,82,350,141,1,,1071,,,2,1,,,,,,,,,,LUSE860
Bronze Hawker Box (Visitor),,,6,350,1000,0,0,10,2899,1006,,,,,,,82,350,102,1,,1032,,,2,1,,,,,,,,,,LUSE861
Silver Hawker Box (Visitor),,,6,350,1000,0,0,10,2900,1006,,,,,,,82,350,122,1,,1052,,,2,1,,,,,,,,,,LUSE862
Gold Hawker Box (Visitor),,,6,350,1000,0,0,10,2901,1006,,,,,,,82,350,142,1,,1072,,,2,1,,,,,,,,,,LUSE863
Bronze Dealer Box (Visitor),,,6,350,1000,0,0,10,2899,1006,,,,,,,82,350,103,1,,1033,,,2,1,,,,,,,,,,LUSE864
Silver Dealer Box (Visitor),,,6,350,1000,0,0,10,2900,1006,,,,,,,82,350,123,1,,1053,,,2,1,,,,,,,,,,LUSE865
Gold Dealer Box (Visitor),,,6,350,1000,0,0,10,2901,1006,,,,,,,82,350,143,1,,1073,,,2,1,,,,,,,,,,LUSE866
,,,6,350,1000,0,0,10,2899,1006,,,,,,,82,,,,,1034,,,2,1,,,,,,,,,,LUSE867
,,,6,350,1000,0,0,10,2900,1006,,,,,,,82,,,,,1054,,,2,1,,,,,,,,,,LUSE868
Random Box (Visitor),,,6,350,1000,0,0,10,2577,1006,,,,,,,82,600,144,1,,1074,,,2,1,,,,,,,,,,LUSE869
PAT Event Bag,,,6,350,1,0,1,10,7784,251,,,,,,,,,96,1,4,140,,,2,1,,,,,,,,,,LUSE1001
Healing (All),,,6,314,0,0,0,0,1713,,,,,,,,,,,3201,0,,548,,,3,,,,,,,,,,LUSE871
"Atk Power, Accuracy Up (All)",,,6,314,0,0,0,0,1713,,,,,,,,,,,3202,0,,548,,,3,,,,,,,,,,LUSE872
Defense Up (All),,,6,314,0,0,0,0,1713,,,,,,,,,,,3203,0,,548,,,3,,,,,,,,,,LUSE873
"Attack Speed, Critical Up (All)",,,6,314,0,0,0,0,1713,,,,,,,,,,,3204,0,,548,,,3,,,,,,,,,,LUSE874
Dex Up (All),,,6,314,0,0,0,0,1713,,,,,,,,,,,3205,0,,548,,,3,,,,,,,,,,LUSE875
Status Effect Cancelled (All),,,6,314,0,0,0,0,1713,,,,,,,,,,,3210,0,,548,,,3,,,,,,,,,,LUSE880
Fast Mode,,,6,314,0,0,0,0,1713,,,,,,,,,,,3213,0,,548,,,3,,,,,,,,,,LUSE883
Self Healing,,,6,314,0,0,0,0,1713,,,,,,,,,,,3215,0,,548,,,3,,,,,,,,,,LUSE885
Killing,,,6,314,0,0,0,0,1713,,,,,,,,,,,3216,0,,548,,,3,,,,,,,,,,LUSE886
Stun,,,6,314,0,0,0,0,1713,,,,,,,,,,,3217,0,,548,,,3,,,,,,,,,,LUSE887
