string,string,string,string,"0: Outdoor, 1: Underground, 2: Game Arena",string,string,list_sky,string,,,string,string,,,,,,,str_planet,list_stepsound,list_camera,string,string,string,,string,,,,1:cart/m 2:cgs,int,,,int,int,worldmap,string,No terrain,Seasonal Textures,1: Bonfires 2: None,GM Only,Block EQ Changes,Block Fairy,Block Shops,Hide On Map Dlg,Client PvP,Armory Hide,Block Bag,Skip Checksum,Block Pets,Block Skills,Leave Party,Force Weather,string,Hide Minimap,Upgrading,Team Chat,RespawnTimer,Auto PK Mode,Game Arena,Tooltip String,MaxAltitude,Wmap Zulie
Forgotten Temple (B1),3DDATA\Maps\Lunar\LZ01\LZ01.zon,start,restore,1,Sound\BGM\Lunar_dungeon.ogg,Sound\BGM\Lunar_field01.ogg,4,3Ddata\Maps\Lunar\LZ01\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LZ.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,10,237,249,1,2,3,,2051-10,2051-13,2051-14,6000,LZON056,,8,4,3,54,510828,425001,0,25,54,,,,,,,,,,,,,,,,,,56-RespawnOut,,,,60,,,2276,,1840
Forgotten Temple (B2),3DDATA\Maps\Lunar\LZ02\LZ02.zon,start,restore,1,Sound\BGM\Lunar_dungeon.ogg,Sound\BGM\Lunar_field01.ogg,4,3Ddata\Maps\Lunar\LZ02\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LZ.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,10,237,249,1,2,3,,B2_spawn_clan,,,6000,LZON057,,8,4,3,54,510828,425001,0,25,57,,,,,,,,,,,,,,,,,,B2_Respawn_ZoneEntrance,,,,60,,,2277,,
Mount Eruca,3DDATA\Maps\Lunar\LP05\LP05.zon,start,restore,0,Sound\BGM\Lunar_field02.ogg,Sound\BGM\Lunar_field01.ogg,5,3Ddata\Maps\Lunar\LP05\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,20,190,230,,2,3,,Give_Cerberus_Quest,,,6000,LZON058,1,8,4,0,,,,0,25,58,,,,,,,,,,,,,,,,,,,,,,,,,2292,,
Lunar Clan Field,3DDATA\Maps\Lunar\LPVP01\LPVP01.zon,start,restore,0,Sound\BGM\Lunar_dungeon.ogg,Sound\BGM\Lunar_dungeon.ogg,4,3Ddata\Maps\Lunar\LPVP01\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LZ.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,10,237,249,1,2,3,,ZONE_LCF,,,6000,LZON059,,8,4,1,,,,0,25,54,,,,,,,,,,,,,,,,,,59-RespawnOut,,,,60,,,2305,,
Lunar Union War,3Ddata\Maps\Lunar\UNIONWAR\Map.zon,start,restore,2,Sound\BGM\LunarUW.ogg,Sound\BGM\LunarUW.ogg,4,3Ddata\Maps\Lunar\UNIONWAR\minimap.DDS,30,30,3DDATA\\Lunar\\LIST_DECO_UM.ZSC,3DDATA\\Lunar\\LIST_CNST_UM.ZSC,300,0,20,190,230,2,2,4,,LunarUnionWar,,,8000,LZON060,,8,4,0,,,,0,25,60,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,
Xita Refuge,3DDATA\Maps\ELDEON\EJT01\EJT01.zon,start,restore,0,Sound\BGM\Plain04_eldeon.ogg,Sound\BGM\Plain04_eldeon.ogg,6,3Ddata\Maps\ELDEON\EJT01\minimap.DDS,31,31,3DDATA\\ELDEON\\LIST_DECO_EJ.ZSC,3DDATA\\ELDEON\\LIST_CNST_EJ.ZSC,200,0,10,80,90,,3,2,,PvP1301-340,,,6000,LZON061,3,4,4,0,,,,1,25,61,,,,,,,,,,,,,,,,,,,,,,,,,2279,,2140
Shady Jungle,3DDATA\Maps\ELDEON\EJ01\EJ01.zon,start,restore,0,Sound\BGM\Plain02_eldeon.ogg,Sound\BGM\Plain02_eldeon.ogg,6,3Ddata\Maps\ELDEON\EJ01\minimap.DDS,31,31,3DDATA\\ELDEON\\LIST_DECO_EJ.ZSC,3DDATA\\ELDEON\\LIST_CNST_EJ.ZSC,200,0,10,80,90,,3,2,,PvP1301-340,,,6000,LZON062,3,4,4,0,,,,1,25,62,,,,,,,,,,,,,,,,,,,,,,,,,2278,,2260
Forest of Wandering,3DDATA\Maps\ELDEON\EJ02\EJ02.zon,start,restore,0,Sound\BGM\Plain01_eldeon.ogg,Sound\BGM\Plain01_eldeon.ogg,6,3Ddata\Maps\ELDEON\EJ02\minimap.DDS,31,31,3DDATA\\ELDEON\\LIST_DECO_EJ.ZSC,3DDATA\\ELDEON\\LIST_CNST_EJ.ZSC,200,0,10,80,90,,3,2,,PvP1301-340,,,6000,LZON063,3,4,4,0,,,,1,25,63,,,,,,,,,,,,,,,,,,,,,,,,,2293,,
Marsh of Ghosts,3DDATA\Maps\ELDEON\EJ03\EJ03.zon,start,restore,0,Sound\BGM\Plain01_eldeon.ogg,Sound\BGM\Plain01_eldeon.ogg,6,3Ddata\Maps\ELDEON\EJ03\minimap.DDS,31,31,3DDATA\\ELDEON\\LIST_DECO_EJ.ZSC,3DDATA\\ELDEON\\LIST_CNST_EJ.ZSC,200,0,10,80,90,,3,2,,PvP1301-340,,,6000,LZON064,3,4,4,0,,,,1,25,64,,,,,,,,,,,,,,,,,,,,,,,,,2280,,
Sikuku Underground Prison,3DDATA\Maps\ELDEON\EZ01\Ez01.zon,start,restore,1,Sound\BGM\Plain01_eldeon.ogg,Sound\BGM\Plain01_eldeon.ogg,9,3Ddata\Maps\ELDEON\EZ01\minimap.DDS,31,31,3DDATA\\ELDEON\\LIST_DECO_EZ.ZSC,3DDATA\\ELDEON\\LIST_CNST_EJ.ZSC,200,0,10,80,90,,3,2,,PvP1301-340,,,6000,LZON065,,4,4,0,,,,1,25,65,,,,,,,,,,,,,,,,,,,,,,,,,2262,,2620
Pedion,3DDATA\Maps\Lunar\LPVP05\LPVP05.zon,start,restore,2,Sound\BGM\BGM_Fedion.ogg,Sound\BGM\BGM_Fedion.ogg,5,3DDATA\Maps\Lunar\LPVP05\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,20,190,230,2,2,3,,Clan-003PvP,,,6000,LZON066,,8,4,1,,,,0,25,54,,,,2,,,,,2,,,,1,,,,,,,,,,,,,,
Sikuku Ruins,3DDATA\Maps\ELDEON\EJ05\EJ05.zon,start,restore,0,Sound\BGM\Plain05_eldeon_d.ogg,Sound\BGM\Plain05_eldeon_n.ogg,6,3Ddata\Maps\ELDEON\EJ05\minimap.DDS,31,31,3DDATA\\ELDEON\\LIST_DECO_EJ.ZSC,3DDATA\\ELDEON\\LIST_CNST_EJ.ZSC,200,0,10,80,90,5,3,2,,PvP1301-340,,,6000,LZON067,3,4,4,0,,,,1,25,67,,,,,,,,,,1,,,,,,,,67-RespawnOut,,,,60,,,2294,,
Sealed Door,3DDATA\Maps\Eldeon\ECLE01\ECLE01.ZON,start,restore,1,Sound\BGM\Plain01_eldeon.ogg,Sound\BGM\Plain01_eldeon.ogg,1,3Ddata\Maps\ELDEON\ECLE01\minimap.DDS,31,31,3DDATA\\ELDEON\\LIST_DECO_ECL.ZSC,3DDATA\\ELDEON\LIST_CNST_ECL.ZSC,720,0,0,0,0,,3,2,,,,,6000,LZON068,,4,4,0,,,,0,25,65,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Execution Chamber,3DData\Maps\Eldeon\ECL01\ECL01.ZON,start,restore,0,Sound\BGM\eldeoncf.ogg,Sound\BGM\eldeoncf.ogg,33,3Ddata\Maps\ELDEON\ECL01\minimap.DDS,31,30,3DDATA\\ELDEON\\LIST_DECO_ECL.ZSC,3DDATA\\ELDEON\LIST_CNST_ECL.ZSC,720,0,0,0,0,5,3,8,,PvP1301-340,,,6000,LZON069,,4,4,3,,,,0,25,65,,,,,,,,,,,,,,,,,,69-RespawnOut,,,,60,1,,2307,,
Seth Shrine Entrance,3DDATA\Maps\Oro\OZP00\OZP00.zon,start,restore,2,Sound\BGM\Junon_Temple01.ogg,Sound\BGM\Junon_Temple01.ogg,0,3Ddata\Maps\Oro\OZP00\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JZP.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,6,102,112,,4,5,3,Stuck1,,,,LZON070,,4,4,1,,,,0,90,24,,,,,,,,,2,,,1,,1,,,,,,,1,,,,,,
Geb Desert,3Ddata\Maps\Oro\GebDesert\or_geb01.zon,start,restore,0,Sound\BGM\Geb01.ogg,Sound\BGM\Geb02.ogg,10,3Ddata\Maps\Oro\GebDesert\minimap.dds,30,31,3DDATA\\ORO\\LIST_DECO_ORO.ZSC,3DDATA\\ORO\\LIST_CNST_ORO.ZSC,200,0,20,170,200,1,4,4,,MapNormal,,,4000,LZON071,,4,4,0,,,,0,25,71,,,,,,,,1,,1,,,,,,,,,,,,,,,2297,,
Paradise of Ra,3Ddata\Maps\Oro\field\or_f01_p01.zon,start,restore,0,Sound\BGM\Paradise_of_Rar.ogg,Sound\BGM\Paradise_of_Rar.ogg,10,3Ddata\Maps\Oro\field\minimap.dds,29,30,3DDATA\\ORO\\LIST_DECO_ORO.ZSC,3DDATA\\ORO\\LIST_CNST_ORO.ZSC,200,0,10,80,90,,4,4,,PvP1301-340,,,4000,LZON072,,4,4,0,,,,0,25,72,,,,,,,,,,,,,,,,,,,,,,,,,2301,,3450
Eldeon Clan Field,3DDATA\Maps\ELDEON\EPVP01\EPVP01.zon,start,restore,0,Sound\BGM\Plain02_eldeon.ogg,Sound\BGM\Plain02_eldeon.ogg,6,3Ddata\Maps\ELDEON\EPVP01\minimap.DDS,31,31,3DDATA\\ELDEON\\LIST_DECO_ECF.ZSC,3DDATA\\ELDEON\\LIST_CNST_ECF.ZSC,200,0,10,80,90,1,3,2,,No_Clan,,,6000,LZON073,3,4,4,1,,,,1,25,73,,,,,,,,,,,,,,,,,,73-RespawnOut,,,,60,,,2306,,
Pedion,3DDATA\Maps\Lunar\LPVP05\LPVP05.zon,start,restore,2,Sound\BGM\BGM_Fedion.ogg,Sound\BGM\BGM_Fedion.ogg,5,3DDATA\Maps\Lunar\LPVP05\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,20,190,230,2,2,3,,Clan-003PvP,,,6000,LZON074,,8,4,1,,,,0,25,54,,,,2,,,,,2,,,,1,,,,,,,,,,,,,,
Heliopolis,3Ddata\MAPS\ORO\TOWN\OR_T01_M01.zon,start,restore,0,Sound\BGM\Town01_Oro2.ogg,Sound\BGM\Town01_Oro2.ogg,10,3Ddata\Maps\Oro\town\minimap.dds,31,30,3DDATA\\ORO\\LIST_DECO_NA_ODT.ZSC,3DDATA\\ORO\\LIST_CNST_NA_ODT.ZSC,200,0,10,80,90,,4,4,,PvP1301-340,,,5000,LZON075,,4,4,0,,,,0,25,75,,,,,,,,,,,,,,,,,,,,,,,,,2298,,3240
Seth Shrine (B1),3DDATA\Maps\Oro\OZP01\OZP01.zon,start,restore,2,Sound\BGM\Seth_Shrine.ogg,Sound\BGM\Seth_Shrine.ogg,10,3Ddata\Maps\Oro\OZP01\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JZP.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,720,0,0,720,720,,4,5,3,ByeBye1,,,,LZON076,,4,4,3,76,507725,520507,0,25,41,OROINST_DEATHTR,,,1,,,,,2,,,1,,1,,,,76-Respawn,,,1,20,,,,,
Seth Shrine (B2),3DDATA\Maps\Oro\OZP02\OZP02.zon,start,restore,2,Sound\BGM\Seth_Shrine.ogg,Sound\BGM\Seth_Shrine.ogg,1,3Ddata\Maps\Oro\OZP02\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JZP.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,720,0,0,720,720,,4,5,3,ByeBye1,,,,LZON077,,4,4,3,77,531894,520577,0,25,22,OROINST_DEATHTR,,,1,,,,,2,,,1,,1,,,,77-Respawn,,,1,20,,,,,
Seth Shrine (B3),3DDATA\Maps\Oro\OZP03\OZP03.zon,start,restore,2,Sound\BGM\Seth_Shrine.ogg,Sound\BGM\Seth_Shrine.ogg,1,3Ddata\Maps\Oro\OZP03\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JZP.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,720,0,0,720,720,,4,5,3,ByeBye1,,,,LZON078,,4,4,3,78,527657,510972,0,25,22,OROINST_DEATHTR,,,1,,,,,2,,,1,,1,,,,78-Respawn,,,1,20,,,,,
Seth Shrine (B4),3DDATA\Maps\Oro\OZP04\OZP04.zon,start,restore,2,Sound\BGM\Seth_Shrine.ogg,Sound\BGM\Seth_Shrine.ogg,1,3Ddata\Maps\Oro\OZP04\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JZP.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,720,0,0,720,720,,4,5,3,ByeBye1,,,,LZON079,,4,4,3,79,510130,535883,0,25,22,OROINST_DEATHTR,,,1,,,,,2,,,1,,1,,,,79-Respawn,,,1,20,,,,,
Ramesses Mines,3DData\Maps\Oro\RamessesMines\RamessesMines.ZON,start,restore,1,Sound\BGM\RamessesMines.ogg,Sound\BGM\RamessesMines.ogg,12,3Ddata\Maps\Oro\RamessesMines\minimap.DDS,30,30,3DDATA\\ORO\\LIST_DECO_ORO_RAMESSES_MINES.ZSC,3DDATA\\ORO\\LIST_CNST_ORO_RAMESSES_MINES.ZSC,200,0,10,100,150,,4,4,,,,,4000,LZON080,,4,4,0,,,,0,25,80,,,,,,,,,,,,,,,,,,,,,,,,,2419,,4600
Oro Clan Field,3DData\Maps\Oro\OroClanField\OroClanField.ZON,start,restore,0,Sound\BGM\OCF.ogg,Sound\BGM\OCF.ogg,10,3Ddata\Maps\Oro\OroClanField\minimap.DDS,30,30,3DDATA\\ORO\\LIST_DECO_ORO.ZSC,3DDATA\\ORO\\LIST_CNST_ORO.ZSC,200,0,10,80,90,1,4,4,,Set_Clan_OCF,,,4000,LZON081,,4,4,1,,,,0,25,81,,,,,,,,,,,,,,,,,,OCF-RES-Out,,,,60,,,2300,,
Deitys Realm,3DDATA\MAPS\ORO\OCFRealm2\OCFRealm2.ZON,start,restore,3,Sound\BGM\nageki_n.ogg,Sound\BGM\nageki_n.ogg,13,3Ddata\Maps\Oro\OCFRealm2\minimap.DDS,30,30,3DDATA\\ORO\\LIST_DECO_ORO.ZSC,3DDATA\\ORO\\LIST_CNST_ORO.ZSC,200,0,10,80,90,1,4,4,,No_Respawn_Realm,,,4000,LZON082,,4,4,3,81,520000,502000,0,25,82,,,,2,,,,,2,,,,,,,,,82-RespawnOut,,,,60,,,2295,,
Ras Pyramid,3DData\Maps\Oro\Pyramid\Pyramid.ZON,start,restore,1,Sound\BGM\Junon_Temple01.ogg,Sound\BGM\Junon_Temple01.ogg,15,3Ddata\Maps\Oro\Pyramid\minimap.dds,30,30,3DDATA\\ORO\\LIST_DECO_ORO.ZSC,3DDATA\\ORO\\LIST_CNST_ORO.ZSC,360,0,30,18,210,,4,4,,,,,4000,LZON083,,4,4,1,83,513387,514077,0,25,83,,,,1,,,,,2,,,,,,,,,,,,,,,,2304,,
Memphis,3Ddata\MAPS\ORO\Memphis\Memphis.zon,start,restore,0,Sound\BGM\Memphis.ogg,Sound\BGM\Memphis.ogg,10,3Ddata\MAPS\ORO\Memphis\minimap.dds,30,30,3DDATA\ORO\LIST_DECO_ORO.ZSC,3DDATA\ORO\LIST_CNST_ORO.ZSC,160,0,11,112,128,,4,4,,Mem_Reset_QSwitch,,,4000,LZON084,,4,4,0,,,,0,25,84,,,,,,,,,,,,,,,,,,,,,,,,,2299,,5290
OLD Portal Room,3Ddata\MAPS\ORO\PortalRoom\OROIP.zon,start,restore,2,Sound\BGM\Junon_Temple03.ogg,Sound\BGM\Junon_Temple03.ogg,1,3Ddata\MAPS\ORO\PortalRoom\minimap.dds,31,31,3DDATA\\ORO\\LIST_DECO_TOMBS.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,720,0,0,0,0,,4,4,,MAP85-Out,,,4000,LZON085,,4,4,3,85,511680,530877,0,25,85,Mem_Dung_Death,,,1,,,,,2,,1,,,,,,,,,,1,,,,,,
Forsaken Village of Menes,3Ddata\MAPS\ORO\OroClanFields2\OroClanFields2.zon,start,restore,0,Sound\BGM\Orlo_Golden_Ring.ogg,Sound\BGM\Orlo_Golden_Ring.ogg,13,3Ddata\MAPS\ORO\OroClanFields2\minimap.dds,30,30,3DDATA\ORO\LIST_DECO_ORO.ZSC,3DDATA\ORO\LIST_CNST_ORO.ZSC,200,0,10,80,90,1,4,4,,Set_Clan_OCF,,,4000,LZON086,,4,4,1,,,,0,25,86,,,,,,,,,,,,,,,,,,86-RespawnOut,,,,60,,,2296,,
OLD Tomb of Sorrows B1,3Ddata\MAPS\ORO\PortalRoom\OROIP.zon,start,restore,2,Sound\BGM\Junon_Temple03.ogg,Sound\BGM\Junon_Temple03.ogg,1,3Ddata\MAPS\ORO\PortalRoom\minimap.dds,31,31,3DDATA\\ORO\\LIST_DECO_TOMBS.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,720,0,0,0,0,,4,4,,MAP85-Out,,,4000,LZON085,,4,4,3,85,511680,530877,0,25,85,Mem_Dung_Death,,,1,,,,,2,,1,,,,,,,,,,1,,,,,,
OLD Tomb of Sorrows B2,3Ddata\MAPS\ORO\PortalRoom\OROIP.zon,start,restore,2,Sound\BGM\Junon_Temple03.ogg,Sound\BGM\Junon_Temple03.ogg,1,3Ddata\MAPS\ORO\PortalRoom\minimap.dds,31,31,3DDATA\\ORO\\LIST_DECO_TOMBS.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,720,0,0,0,0,,4,4,,MAP85-Out,,,4000,LZON085,,4,4,3,85,511680,530877,0,25,85,Mem_Dung_Death,,,1,,,,,2,,1,,,,,,,,,,1,,,,,,
Snowflake Town,3Ddata\MAPS\LUNAR\Santa\Santa.zon,start,restore,0,Sound\BGM\Event02_carol.ogg,Sound\BGM\Event02_carol.ogg,2,3Ddata\MAPS\LUNAR\Santa\minimap.DDS,30,31,3DDATA\LUNAR\LIST_DECO_LP.ZSC,3DDATA\LUNAR\LIST_CNST_LMT.ZSC,160,0,11,112,128,,2,3,,MAP89-QSD,,,4000,LZON089,1,4,4,0,,,,0,25,89,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Sunshine Islands,3Ddata\MAPS\JUNON\SummerIslands\SummerIslands.zon,start,restore,0,Sound\BGM\Plain01_junon_remix.ogg,Sound\BGM\Plain01_junon_remix.ogg,0,3Ddata\MAPS\JUNON\SummerIslands\SummerIslands.dds,30,30,3DDATA\JUNON\LIST_DECO_JG.ZSC,3DDATA\JUNON\LIST_CNST_JG.ZSC,160,0,11,112,128,,1,2,,ZONE_SI,,,4000,LZON090,,4,4,0,,,,0,25,90,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Forgotten Temple World Map,,,,,,,,,,,,,,,,,,,0,,,DONTEDIT,,,,LZON091,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,2343,,1840
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Void,3Ddata\MAPS\JUNON\Halloween\Halloween.zon,start,restore,0,Sound\BGM\Halloween_DylansMusic.ogg,Sound\BGM\Halloween_DylansMusic.ogg,16,3Ddata\MAPS\JUNON\Halloween\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JG_Halloween.ZSC,3DDATA\JUNON\LIST_CNST_JG_Halloween.ZSC,720,720,720,0,0,,1,2,,MAP93-QSD,,,4000,LZON093,,4,4,1,,,,0,25,93,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Dark_Forest,3Ddata\MAPS\JUNON\Dark_Forest\Dark_Forest.zon,start,restore,0,Sound\BGM\Dark_Forest.ogg,Sound\BGM\Dark_Forest.ogg,0,3Ddata\MAPS\JUNON\Dark_Forest\Dark_Forest.dds,30,30,3DDATA\JUNON\LIST_DECO_JG.ZSC,3DDATA\JUNON\LIST_CNST_JG.ZSC,720,720,720,0,0,,1,,,,,,4000,LZON094,,4,4,0,,,,0,25,94,,,,,,,,,2,,1,,,,,,,,,,,,,,,,
Akram Quest (Lv50-69),3Ddata\MAPS\GameArenas\AkramQuest\map.zon,start,restore,2,Sound\BGM\AkramQuest.ogg,Sound\BGM\AkramQuest.ogg,0,3DDATA\MAPS\GameArenas\AkramQuest\map.dds,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,11,112,128,,1,4,,AQ_JoinZone,,,4000,LZON095,,4,4,0,,,,0,25,95,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,
Akram Quest (Lv70-89),3Ddata\MAPS\GameArenas\AkramQuest\map.zon,start,restore,2,Sound\BGM\AkramQuest.ogg,Sound\BGM\AkramQuest.ogg,0,3DDATA\MAPS\GameArenas\AkramQuest\map.dds,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,11,112,128,,1,4,,AQ_JoinZone,,,4000,LZON096,,4,4,0,,,,0,25,96,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,
Akram Quest (Lv90-109),3Ddata\MAPS\GameArenas\AkramQuest\map.zon,start,restore,2,Sound\BGM\AkramQuest.ogg,Sound\BGM\AkramQuest.ogg,0,3DDATA\MAPS\GameArenas\AkramQuest\map.dds,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,11,112,128,,1,4,,AQ_JoinZone,,,4000,LZON097,,4,4,0,,,,0,25,97,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,
Akram Quest (Lv110-129),3Ddata\MAPS\GameArenas\AkramQuest\map.zon,start,restore,2,Sound\BGM\AkramQuest.ogg,Sound\BGM\AkramQuest.ogg,0,3DDATA\MAPS\GameArenas\AkramQuest\map.dds,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,11,112,128,,1,4,,AQ_JoinZone,,,4000,LZON098,,4,4,0,,,,0,25,98,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,
Akram Quest (Lv130-149),3Ddata\MAPS\GameArenas\AkramQuest\map.zon,start,restore,2,Sound\BGM\AkramQuest.ogg,Sound\BGM\AkramQuest.ogg,0,3DDATA\MAPS\GameArenas\AkramQuest\map.dds,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,11,112,128,,1,4,,AQ_JoinZone,,,4000,LZON099,,4,4,0,,,,0,25,99,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,
Event Map Quiz,3Ddata\MAPS\JUNON\ETMAP_FLAT\etmap_flat.zon,start,restore,0,,,6,3Ddata\MAPS\JUNON\ETMAP_FLAT\etmap_flat.dds,30,30,3Ddata\JUNON\LIST_DECO_JPT.ZSC,3Ddata\JUNON\LIST_CNST_JPT.ZSC,720,0,0,720,720,,1,,,MAP100-Quiz,,,4000,LZON100,,4,4,3,,,,0,25,100,,,,1,,,,1,1,,1,,,1,128,1,,,,,,,,,,,
Class VS Class,3Ddata\Maps\Junon\PVP-CVC\Arua01.zon,start,restore,1,Sound\BGM\sadakoFix.ogg,Sound\BGM\sadakoFix.ogg,0,3Ddata\MAPS\JUNON\PVP-CVC\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,720,0,0,720,720,50,1,4,,MAP101-CVC,MAP101-KILL,MAP101-DEATH,4000,LZON101,,4,4,0,101,515902,527601,0,25,101,,,,2,,1,1,1,1,,1,,,,,,,,,,,,,,,,
Graceful Town,3Ddata\MAPS\JUNON\SKTOWN\SKTOWN.zon,start,restore,0,Sound\BGM\Plain06_Junon.ogg,Sound\BGM\Plain06_Junon.ogg,0,3Ddata\Maps\JUNON\SkTown\minimap.dds,29,29,3DDATA\\JUNON\\LIST_DECO_JSK.ZSC,3DDATA\\JUNON\\LIST_CNST_JSK.ZSC,720,0,0,720,720,,1,4,,MAP102-Town,,,4000,LZON102,,4,4,0,,,,0,25,102,,,,1,,,,1,2,,1,,,1,,,,,,,,,,,,,
Garden of Arua,3DDATA\Maps\Junon\JGARDEN\JGARDEN.zon,start,restore,0,Sound\BGM\Prologue.ogg,Sound\BGM\Prologue.ogg,0,3Ddata\Maps\Junon\JGARDEN\minimap.DDS,35,32,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,720,0,0,720,720,,1,4,,MAP103-QSD,,,4000,LZON104,,4,4,3,103,567910,503529,0,25,103,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akram Tower Entrance,3Ddata\Maps\GameArenas\Tower_Entrance\mugen01.zon,start,restore,2,Sound\BGM\AkramTowerEntrance.ogg,Sound\BGM\AkramTowerEntrance.ogg,17,3Ddata\Maps\GameArenas\Tower_Entrance\Minimap.dds,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,13,125,151,,1,4,,,,,4000,LZON105,,4,4,0,,,,0,25,105,,,,1,,,,,2,,,,1,,,,,,,,1,,,,,,
Akram Tower [Easy Mode],3Ddata\Maps\GameArenas\Tower_Easy\TowerEasy.zon,start,restore,2,Sound\BGM\AkramTower.ogg,Sound\BGM\AkramTower.ogg,0,3Ddata\Maps\GameArenas\Tower_Easy\Minimap.dds,29,29,3DDATA\TENKU\LIST_DECO_ROOM.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,,1,4,,AT_12_Chk_Map,,,4000,LZON106,,4,4,0,,,,0,25,106,AT_12_Life,,,1,,,,,2,,,,1,,,,,,,,1,,,,,,
Akram Tower [Normal Mode],3Ddata\Maps\GameArenas\Tower_Easy\TowerEasy.zon,start,restore,2,Sound\BGM\AkramTower.ogg,Sound\BGM\AkramTower.ogg,0,3Ddata\Maps\GameArenas\Tower_Easy\Minimap.dds,29,29,3Ddata\TENKU\LIST_DECO_ROOM_B.ZSC,3Ddata\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,,1,4,,AT_13_Chk_Map,,,4000,LZON107,,4,4,0,,,,0,25,107,,,,1,,,,,2,,,,1,,,,,,,,1,,,,,,
Akram Tower [Hard Mode],3Ddata\Maps\GameArenas\Tower_Easy\TowerEasy.zon,start,restore,2,Sound\BGM\AkramTower.ogg,Sound\BGM\AkramTower.ogg,0,3Ddata\Maps\GameArenas\Tower_Easy\Minimap.dds,29,29,3Ddata\TENKU\LIST_DECO_ROOM_BOSS.ZSC,3Ddata\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,,1,4,,AT_14_Chk_Map,,,4000,LZON108,,4,4,0,,,,0,25,108,,,,1,,,,,2,,,,1,,,,,,,,1,,,,,,
